WELLMODEL,DRAWDOWN,PRESSURE,CONJPOS,WELL,CONBPRES,CONKPOS,SGAS,SWAT,DEPTH,DATE,CONIDX,CONIPOS
STANDARD,0,298.55322265625,41,R_A3,298.55322265625,2,0.0,0.1996900886297226,1610.5078125,2018-01-01,2,28
STANDARD,0,298.6922302246094,41,R_A3,298.6922302246094,3,0.0,0.23945237696170807,1612.5819091796875,2018-01-01,3,28
STANDARD,0,298.83123779296875,41,R_A3,298.83123779296875,4,0.0,0.32275497913360596,1614.656005859375,2018-01-01,4,28
STANDARD,0,298.9702453613281,41,R_A3,298.9702453613281,5,0.0,0.6481541991233826,1616.7301025390625,2018-01-01,5,28
STANDARD,0,299.1092834472656,41,R_A3,299.1092834472656,6,0.0,0.3511899709701538,1618.80419921875,2018-01-01,6,28
STANDARD,0,299.248291015625,41,R_A3,299.248291015625,7,0.0,0.20921261608600616,1620.8782958984375,2018-01-01,7,28
STANDARD,0,298.8162536621094,41,R_A3,298.8162536621094,7,0.0,0.20243537425994873,1614.4324951171875,2018-01-01,8,29
STANDARD,0,298.9437255859375,41,R_A3,298.9437255859375,8,0.0,0.2038721889257431,1616.334228515625,2018-01-01,9,29
STANDARD,0,299.0711975097656,41,R_A3,299.0711975097656,9,0.0,0.8110237121582031,1618.236083984375,2018-01-01,10,29
STANDARD,0,299.19866943359375,41,R_A3,299.19866943359375,10,0.0,0.8138827681541443,1620.137939453125,2018-01-01,11,29
STANDARD,0,299.33880615234375,41,R_A3,299.33880615234375,11,0.0,0.048988357186317444,1622.228759765625,2018-01-01,12,29
STANDARD,0,299.49163818359375,41,R_A3,299.49163818359375,12,0.0,0.058339059352874756,1624.5086669921875,2018-01-01,13,29
STANDARD,0,299.64447021484375,41,R_A3,299.64447021484375,13,0.0,0.38608884811401367,1626.78857421875,2018-01-01,14,29
STANDARD,0,299.79730224609375,41,R_A3,299.79730224609375,14,0.0,0.3904763162136078,1629.0684814453125,2018-01-01,15,29
STANDARD,0,299.94232177734375,41,R_A3,299.94232177734375,15,0.0,0.5089775919914246,1631.2314453125,2018-01-01,16,29
STANDARD,0,300.0410461425781,41,R_A3,300.0410461425781,16,0.0,0.8115513324737549,1632.7039794921875,2018-01-01,17,29
STANDARD,0,300.18634033203125,41,R_A3,300.18634033203125,24,0.0,1.0,1634.87158203125,2018-01-01,18,29
STANDARD,0,300.4167175292969,41,R_A3,300.4167175292969,25,0.0,0.04583025723695755,1638.3074951171875,2018-01-01,19,29
STANDARD,0,300.6470947265625,41,R_A3,300.6470947265625,26,0.0,0.05653773248195648,1641.743408203125,2018-01-01,20,29
STANDARD,0,300.87750244140625,41,R_A3,300.87750244140625,27,0.0,1.0,1645.179443359375,2018-01-01,21,29
STANDARD,0,301.10791015625,41,R_A3,301.10791015625,28,0.0,0.1174168735742569,1648.6153564453125,2018-01-01,22,29
STANDARD,0,299.9488525390625,52,R_A4,299.9488525390625,1,0.0,0.05276115983724594,1631.3292236328125,2018-01-01,1,30
STANDARD,0,299.63153076171875,52,R_A4,299.63153076171875,1,0.0,0.049902211874723434,1626.595458984375,2018-01-01,2,31
STANDARD,0,299.77001953125,52,R_A4,299.77001953125,2,0.0,0.16543634235858917,1628.661376953125,2018-01-01,3,31
STANDARD,0,299.90850830078125,52,R_A4,299.90850830078125,3,0.0,0.26172056794166565,1630.7274169921875,2018-01-01,4,31
STANDARD,0,300.0470275878906,52,R_A4,300.0470275878906,4,0.0,0.3103172779083252,1632.7933349609375,2018-01-01,5,31
STANDARD,0,299.8529357910156,52,R_A4,299.8529357910156,4,0.0,0.13563457131385803,1629.898193359375,2018-01-01,6,32
STANDARD,0,299.9841613769531,52,R_A4,299.9841613769531,5,0.0,0.1354072391986847,1631.85546875,2018-01-01,7,32
STANDARD,0,300.0281982421875,51,R_A4,300.0281982421875,5,0.0,0.05899009481072426,1632.5123291015625,2018-01-01,8,32
STANDARD,0,300.15765380859375,51,R_A4,300.15765380859375,6,0.0,0.06029244512319565,1634.443603515625,2018-01-01,9,32
STANDARD,0,300.2871398925781,51,R_A4,300.2871398925781,7,0.0,0.06060345843434334,1636.374755859375,2018-01-01,10,32
STANDARD,0,300.31182861328125,51,R_A4,300.31182861328125,7,0.0,0.05963284522294998,1636.7430419921875,2018-01-01,11,33
STANDARD,0,300.4696044921875,50,R_A4,300.4696044921875,7,0.0,0.06325513869524002,1639.0963134765625,2018-01-01,12,33
STANDARD,0,300.63153076171875,50,R_A4,300.63153076171875,7,0.0,0.06429179012775421,1641.51123046875,2018-01-01,13,34
STANDARD,0,300.5103454589844,50,R_A4,300.5103454589844,6,0.0,0.0652923732995987,1639.7039794921875,2018-01-01,14,34
STANDARD,0,300.38916015625,50,R_A4,300.38916015625,5,0.0,0.06506400555372238,1637.8966064453125,2018-01-01,15,34
STANDARD,0,300.6636047363281,50,R_A4,300.6636047363281,5,0.0,0.06643744558095932,1641.989501953125,2018-01-01,16,35
STANDARD,0,300.5455322265625,50,R_A4,300.5455322265625,4,0.0,0.1465519815683365,1640.228515625,2018-01-01,17,35
STANDARD,0,300.76800537109375,49,R_A4,300.76800537109375,4,0.0,0.15077047049999237,1643.54638671875,2018-01-01,18,35
STANDARD,0,300.6478576660156,49,R_A4,300.6478576660156,3,0.0,0.2419821172952652,1641.754638671875,2018-01-01,19,35
STANDARD,0,300.5277099609375,49,R_A4,300.5277099609375,2,0.0,0.24159570038318634,1639.9630126953125,2018-01-01,20,35
STANDARD,0,300.9518737792969,49,R_A4,300.9518737792969,28,0.0,0.059781257063150406,1646.2886962890625,2018-01-01,21,36
STANDARD,0,300.55389404296875,49,R_A4,300.55389404296875,27,0.0,0.09561560302972794,1640.353271484375,2018-01-01,22,36
STANDARD,0,300.49700927734375,48,R_A4,300.49700927734375,27,0.0,0.0942888930439949,1639.505126953125,2018-01-01,23,36
STANDARD,0,301.24761962890625,48,R_A4,301.24761962890625,27,0.0,0.2794957756996155,1650.69873046875,2018-01-01,24,37
STANDARD,0,300.876953125,48,R_A4,300.876953125,26,0.0,0.690880537033081,1645.17138671875,2018-01-01,25,37
STANDARD,0,301.456787109375,48,R_A4,301.456787109375,26,0.0,0.8421341776847839,1653.8175048828125,2018-01-01,26,38
STANDARD,0,301.0784912109375,48,R_A4,301.0784912109375,25,0.0,0.1767549365758896,1648.1767578125,2018-01-01,27,38
STANDARD,0,301.7842102050781,47,R_A4,301.7842102050781,25,0.0,0.12866435945034027,1658.699462890625,2018-01-01,28,38
STANDARD,0,303.7218017578125,20,R_A5,303.7218017578125,1,0.0,1.0,1683.7362060546875,2018-01-01,1,31
STANDARD,0,303.9175109863281,20,R_A5,303.9175109863281,2,0.0,1.0,1685.80126953125,2018-01-01,2,31
STANDARD,0,304.1131896972656,20,R_A5,304.1131896972656,3,0.0,1.0,1687.8662109375,2018-01-01,3,31
STANDARD,0,304.3088684082031,20,R_A5,304.3088684082031,4,0.0,1.0,1689.9312744140625,2018-01-01,4,31
STANDARD,0,304.5045471191406,20,R_A5,304.5045471191406,5,0.0,1.0,1691.9962158203125,2018-01-01,5,31
