CONKPOS,PRESSURE,DATE,WELL,CONIPOS,SGAS,WELLMODEL,CONIDX,DRAWDOWN,CONBPRES,DEPTH,SWAT,CONJPOS
31,301.14129638671875,2018-01-01,R_A3,29,0.0,STANDARD,22,0,301.14129638671875,1648.0740966796875,0.06317919492721558,41
1,300.009033203125,2018-01-01,R_A4,30,0.0,STANDARD,1,0,300.009033203125,1631.1873779296875,0.05148448422551155,52
1,299.7571105957031,2018-01-01,R_A4,31,0.0,STANDARD,2,0,299.7571105957031,1627.4293212890625,0.04942012205719948,52
2,299.89520263671875,2018-01-01,R_A4,31,0.0,STANDARD,3,0,299.89520263671875,1629.4896240234375,0.05094006285071373,52
3,300.0333251953125,2018-01-01,R_A4,31,0.0,STANDARD,4,0,300.0333251953125,1631.5498046875,0.05282565578818321,52
4,300.17144775390625,2018-01-01,R_A4,31,0.0,STANDARD,5,0,300.17144775390625,1633.610107421875,0.059012703597545624,52
4,300.0901184082031,2018-01-01,R_A4,32,0.0,STANDARD,6,0,300.0901184082031,1632.3968505859375,0.05643600597977638,52
4,300.3236999511719,2018-01-01,R_A4,32,0.0,STANDARD,7,0,300.3236999511719,1635.880615234375,0.05788363516330719,51
4,300.4202575683594,2018-01-01,R_A4,33,0.0,STANDARD,8,0,300.4202575683594,1637.321044921875,0.058634817600250244,51
3,300.29644775390625,2018-01-01,R_A4,33,0.0,STANDARD,9,0,300.29644775390625,1635.474609375,0.05906778573989868,51
4,300.74395751953125,2018-01-01,R_A4,33,0.0,STANDARD,10,0,300.74395751953125,1642.1485595703125,0.13861097395420074,50
4,300.67578125,2018-01-01,R_A4,34,0.0,STANDARD,11,0,300.67578125,1641.132080078125,0.13421428203582764,50
3,300.5467224121094,2018-01-01,R_A4,34,0.0,STANDARD,12,0,300.5467224121094,1639.20703125,0.1400769203901291,50
3,300.66064453125,2018-01-01,R_A4,35,0.0,STANDARD,13,0,300.66064453125,1640.9061279296875,0.23393802344799042,50
2,300.53570556640625,2018-01-01,R_A4,35,0.0,STANDARD,14,0,300.53570556640625,1639.0426025390625,0.22923102974891663,50
2,300.72943115234375,2018-01-01,R_A4,35,0.0,STANDARD,15,0,300.72943115234375,1641.93212890625,0.23608194291591644,49
30,300.7579650878906,2018-01-01,R_A4,36,0.0,STANDARD,16,0,300.7579650878906,1642.357421875,0.6481541991233826,49
30,300.5735168457031,2018-01-01,R_A4,36,0.0,STANDARD,17,0,300.5735168457031,1639.6068115234375,0.31965819001197815,48
30,301.0526123046875,2018-01-01,R_A4,37,0.0,STANDARD,18,0,301.0526123046875,1646.7513427734375,0.6481541991233826,48
30,301.5025939941406,2018-01-01,R_A4,38,0.0,STANDARD,19,0,301.5025939941406,1653.461669921875,0.6481541991233826,48
30,301.7947998046875,2018-01-01,R_A4,38,0.0,STANDARD,20,0,301.7947998046875,1657.8184814453125,0.23997251689434052,47
1,303.8440856933594,2018-01-01,R_A5,31,0.0,STANDARD,1,0,303.8440856933594,1685.026611328125,1.0,20
2,304.0601806640625,2018-01-01,R_A5,31,0.0,STANDARD,2,0,304.0601806640625,1687.3070068359375,1.0,20
3,304.27630615234375,2018-01-01,R_A5,31,0.0,STANDARD,3,0,304.27630615234375,1689.5875244140625,1.0,20
4,304.4924011230469,2018-01-01,R_A5,31,0.0,STANDARD,4,0,304.4924011230469,1691.8680419921875,1.0,20
5,304.7085266113281,2018-01-01,R_A5,31,0.0,STANDARD,5,0,304.7085266113281,1694.1485595703125,1.0,20
6,304.9246520996094,2018-01-01,R_A5,31,0.0,STANDARD,6,0,304.9246520996094,1696.4290771484375,1.0,20
7,305.446533203125,2018-01-01,R_A5,31,0.0,STANDARD,7,0,305.446533203125,1698.70947265625,1.0,20
11,305.988037109375,2018-01-01,R_A5,31,0.0,STANDARD,8,0,305.988037109375,1707.6488037109375,1.0,20
12,306.1695251464844,2018-01-01,R_A5,31,0.0,STANDARD,9,0,306.1695251464844,1709.5638427734375,1.0,20
12,305.4322814941406,2018-01-01,R_A5,31,0.0,STANDARD,10,0,305.4322814941406,1701.7845458984375,1.0,21
13,305.6291198730469,2018-01-01,R_A5,31,0.0,STANDARD,11,0,305.6291198730469,1703.735107421875,1.0,21
14,305.81396484375,2018-01-01,R_A5,31,0.0,STANDARD,12,0,305.81396484375,1705.6856689453125,1.0,21
