CONJPOS,DEPTH,PRESSURE,CONIDX,DRAWDOWN,WELLMODEL,CONIPOS,CONBPRES,SGAS,SWAT,CONKPOS,WELL,DATE
41,1644.4439697265625,301.0156555175781,20,0,STANDARD,29,301.0156555175781,0.0,0.6481541991233826,29,R_A3,2018-01-01
41,1648.0283203125,301.2560119628906,21,0,STANDARD,29,301.2560119628906,0.0,0.05953094735741615,30,R_A3,2018-01-01
52,1634.7862548828125,300.3680725097656,1,0,STANDARD,30,300.3680725097656,0.0,0.05057673528790474,1,R_A4,2018-01-01
52,1628.7877197265625,299.9659118652344,2,0,STANDARD,31,299.9659118652344,0.0,0.049269530922174454,1,R_A4,2018-01-01
52,1630.8314208984375,300.1029357910156,3,0,STANDARD,31,300.1029357910156,0.0,0.05137156322598457,2,R_A4,2018-01-01
52,1632.875244140625,300.2399597167969,4,0,STANDARD,31,300.2399597167969,0.0,0.05380554869771004,3,R_A4,2018-01-01
52,1630.5789794921875,300.08599853515625,5,0,STANDARD,32,300.08599853515625,0.0,0.05218866094946861,3,R_A4,2018-01-01
52,1632.44482421875,300.2110900878906,6,0,STANDARD,32,300.2110900878906,0.0,0.05250333249568939,4,R_A4,2018-01-01
51,1636.5609130859375,300.487060546875,7,0,STANDARD,32,300.487060546875,0.0,0.05531740561127663,4,R_A4,2018-01-01
51,1637.324951171875,300.5382995605469,8,0,STANDARD,33,300.5382995605469,0.0,0.05735195800662041,4,R_A4,2018-01-01
51,1635.4476318359375,300.41241455078125,9,0,STANDARD,33,300.41241455078125,0.0,0.07420720160007477,3,R_A4,2018-01-01
50,1642.7587890625,300.90264892578125,10,0,STANDARD,33,300.90264892578125,0.0,0.062347304075956345,4,R_A4,2018-01-01
50,1640.1168212890625,300.7254943847656,11,0,STANDARD,34,300.7254943847656,0.0,0.05955946817994118,4,R_A4,2018-01-01
50,1639.288818359375,300.66998291015625,12,0,STANDARD,35,300.66998291015625,0.0,0.05694428086280823,4,R_A4,2018-01-01
50,1637.378662109375,300.5419006347656,13,0,STANDARD,35,300.5419006347656,0.0,0.23347565531730652,3,R_A4,2018-01-01
49,1642.1416015625,300.86126708984375,14,0,STANDARD,35,300.86126708984375,0.0,0.07707690447568893,3,R_A4,2018-01-01
49,1644.4373779296875,301.01519775390625,15,0,STANDARD,36,301.01519775390625,0.0,0.050984933972358704,29,R_A4,2018-01-01
48,1646.5137939453125,301.1544494628906,16,0,STANDARD,36,301.1544494628906,0.0,0.05126948654651642,29,R_A4,2018-01-01
48,1650.62060546875,301.42987060546875,17,0,STANDARD,37,301.42987060546875,0.0,0.06250780820846558,29,R_A4,2018-01-01
48,1645.0169677734375,301.0540771484375,18,0,STANDARD,37,301.0540771484375,0.0,0.09247878938913345,28,R_A4,2018-01-01
48,1648.6673583984375,301.2988586425781,19,0,STANDARD,38,301.2988586425781,0.0,0.06138455867767334,28,R_A4,2018-01-01
47,1655.2169189453125,301.7381286621094,20,0,STANDARD,38,301.7381286621094,0.0,0.06776811182498932,28,R_A4,2018-01-01
20,1685.802001953125,303.9175720214844,1,0,STANDARD,31,303.9175720214844,0.0,1.0,1,R_A5,2018-01-01
20,1688.1253662109375,304.1377258300781,2,0,STANDARD,31,304.1377258300781,0.0,1.0,2,R_A5,2018-01-01
20,1690.4488525390625,304.35791015625,3,0,STANDARD,31,304.35791015625,0.0,1.0,3,R_A5,2018-01-01
20,1692.772216796875,304.5780944824219,4,0,STANDARD,31,304.5780944824219,0.0,1.0,4,R_A5,2018-01-01
20,1695.095703125,304.79827880859375,5,0,STANDARD,31,304.79827880859375,0.0,1.0,5,R_A5,2018-01-01
20,1697.4190673828125,305.0184631347656,6,0,STANDARD,31,305.0184631347656,0.0,1.0,6,R_A5,2018-01-01
20,1699.7425537109375,305.54443359375,7,0,STANDARD,31,305.54443359375,0.0,1.0,7,R_A5,2018-01-01
21,1699.27783203125,305.1947326660156,8,0,STANDARD,31,305.1947326660156,0.0,1.0,11,R_A5,2018-01-01
21,1701.2564697265625,305.3822326660156,9,0,STANDARD,31,305.3822326660156,0.0,1.0,12,R_A5,2018-01-01
21,1703.2349853515625,305.58172607421875,10,0,STANDARD,31,305.58172607421875,0.0,1.0,13,R_A5,2018-01-01
21,1705.213623046875,305.76922607421875,11,0,STANDARD,31,305.76922607421875,0.0,1.0,14,R_A5,2018-01-01
21,1707.1922607421875,305.9567565917969,12,0,STANDARD,31,305.9567565917969,0.0,1.0,15,R_A5,2018-01-01
21,1709.1708984375,306.2892761230469,13,0,STANDARD,31,306.2892761230469,0.0,1.0,16,R_A5,2018-01-01
21,1711.1494140625,306.4767761230469,14,0,STANDARD,31,306.4767761230469,0.0,1.0,17,R_A5,2018-01-01
21,1712.8447265625,306.637451171875,15,0,STANDARD,31,306.637451171875,0.0,1.0,18,R_A5,2018-01-01
21,1713.798583984375,306.72784423828125,16,0,STANDARD,31,306.72784423828125,0.0,1.0,19,R_A5,2018-01-01
21,1714.1859130859375,306.7645568847656,17,0,STANDARD,31,306.7645568847656,0.0,1.0,20,R_A5,2018-01-01
21,1715.4788818359375,306.7300109863281,18,0,STANDARD,31,306.7300109863281,0.0,1.0,26,R_A5,2018-01-01
21,1717.785400390625,306.9486083984375,19,0,STANDARD,31,306.9486083984375,0.0,1.0,27,R_A5,2018-01-01
21,1720.0919189453125,307.4729919433594,20,0,STANDARD,31,307.4729919433594,0.0,1.0,28,R_A5,2018-01-01
21,1722.3984375,307.69158935546875,21,0,STANDARD,31,307.69158935546875,0.0,1.0,29,R_A5,2018-01-01
21,1724.705078125,307.91021728515625,22,0,STANDARD,31,307.91021728515625,0.0,1.0,30,R_A5,2018-01-01
42,1695.706298828125,304.85614013671875,1,0,STANDARD,17,304.85614013671875,0.0,1.0,1,R_A6,2018-01-01
42,1697.2598876953125,305.0033874511719,2,0,STANDARD,17,305.0033874511719,0.0,1.0,2,R_A6,2018-01-01
42,1698.8134765625,305.4563903808594,3,0,STANDARD,17,305.4563903808594,0.0,1.0,3,R_A6,2018-01-01
42,1700.3671875,305.6036376953125,4,0,STANDARD,17,305.6036376953125,0.0,1.0,4,R_A6,2018-01-01
42,1701.9207763671875,305.7508544921875,5,0,STANDARD,17,305.7508544921875,0.0,1.0,5,R_A6,2018-01-01
42,1703.474365234375,305.59906005859375,6,0,STANDARD,17,305.59906005859375,0.0,1.0,6,R_A6,2018-01-01
42,1705.02783203125,305.74627685546875,7,0,STANDARD,17,305.74627685546875,0.0,1.0,7,R_A6,2018-01-01
42,1706.58154296875,305.8935241699219,8,0,STANDARD,17,305.8935241699219,0.0,1.0,8,R_A6,2018-01-01
42,1708.1351318359375,306.3398132324219,9,0,STANDARD,17,306.3398132324219,0.0,1.0,9,R_A6,2018-01-01
42,1709.688720703125,306.1812438964844,10,0,STANDARD,17,306.1812438964844,0.0,1.0,10,R_A6,2018-01-01
42,1711.638916015625,306.3661804199219,11,0,STANDARD,17,306.3661804199219,0.0,1.0,11,R_A6,2018-01-01
42,1713.9857177734375,306.588623046875,12,0,STANDARD,17,306.588623046875,0.0,1.0,12,R_A6,2018-01-01
42,1716.33251953125,306.822998046875,13,0,STANDARD,17,306.822998046875,0.0,1.0,13,R_A6,2018-01-01
42,1718.6793212890625,307.04541015625,14,0,STANDARD,17,307.04541015625,0.0,1.0,14,R_A6,2018-01-01
42,1721.026123046875,307.267822265625,15,0,STANDARD,17,307.267822265625,0.0,1.0,15,R_A6,2018-01-01
42,1723.3729248046875,307.63525390625,16,0,STANDARD,17,307.63525390625,0.0,1.0,16,R_A6,2018-01-01
42,1725.7197265625,307.8576965332031,17,0,STANDARD,17,307.8576965332031,0.0,1.0,17,R_A6,2018-01-01
42,1727.19140625,307.9971618652344,18,0,STANDARD,17,307.9971618652344,0.0,1.0,18,R_A6,2018-01-01
42,1728.3551025390625,307.95037841796875,19,0,STANDARD,17,307.95037841796875,0.0,1.0,26,R_A6,2018-01-01
42,1730.0858154296875,308.4201965332031,20,0,STANDARD,17,308.4201965332031,0.0,1.0,27,R_A6,2018-01-01
42,1731.81640625,308.584228515625,21,0,STANDARD,17,308.584228515625,0.0,1.0,28,R_A6,2018-01-01
42,1733.547119140625,308.7482604980469,22,0,STANDARD,17,308.7482604980469,0.0,1.0,29,R_A6,2018-01-01
42,1735.27783203125,308.60650634765625,23,0,STANDARD,17,308.60650634765625,0.0,1.0,30,R_A6,2018-01-01
30,1642.349609375,299.0982971191406,1,0,STANDARD,22,299.0982971191406,0.0,0.052934303879737854,1,R_A2,2018-03-01
30,1644.20068359375,299.2223815917969,2,0,STANDARD,22,299.2223815917969,0.0,0.05649476498365402,2,R_A2,2018-03-01
30,1646.0517578125,299.34649658203125,3,0,STANDARD,22,299.34649658203125,0.0,0.058884553611278534,3,R_A2,2018-03-01
30,1647.90283203125,299.4710693359375,4,0,STANDARD,22,299.4710693359375,0.0,0.17154619097709656,4,R_A2,2018-03-01
30,1649.75390625,299.5953674316406,5,0,STANDARD,22,299.5953674316406,0.0,0.06865312159061432,5,R_A2,2018-03-01
30,1651.60498046875,299.7416687011719,6,0,STANDARD,22,299.7416687011719,0.0,0.30257704854011536,6,R_A2,2018-03-01
30,1653.4560546875,299.8702697753906,7,0,STANDARD,22,299.8702697753906,0.0,0.883975088596344,7,R_A2,2018-03-01
30,1655.30712890625,299.99810791015625,8,0,STANDARD,22,299.99810791015625,0.0,0.8669908046722412,8,R_A2,2018-03-01
30,1657.158203125,300.3149719238281,9,0,STANDARD,22,300.3149719238281,0.0,0.8957358598709106,9,R_A2,2018-03-01
