CONJPOS,WELL,SGAS,CONKPOS,SWAT,DATE,WELLMODEL,CONIDX,DRAWDOWN,PRESSURE,DEPTH,CONBPRES,CONIPOS
41,R_A3,0.0,16,0.8038750886917114,2018-01-01,STANDARD,17,0,300.14544677734375,1631.2266845703125,300.14544677734375,29
41,R_A3,0.0,25,0.6481541991233826,2018-01-01,STANDARD,18,0,300.3365173339844,1634.0762939453125,300.3365173339844,29
41,R_A3,0.0,26,0.0419284962117672,2018-01-01,STANDARD,19,0,300.5851745605469,1637.7852783203125,300.5851745605469,29
41,R_A3,0.0,27,0.049573544412851334,2018-01-01,STANDARD,20,0,300.8338928222656,1641.494140625,300.8338928222656,29
41,R_A3,0.0,28,0.14510604739189148,2018-01-01,STANDARD,21,0,301.08258056640625,1645.203125,301.08258056640625,29
41,R_A3,0.0,29,0.0597740113735199,2018-01-01,STANDARD,22,0,301.3313293457031,1648.912109375,301.3313293457031,29
52,R_A4,0.0,1,0.04840286448597908,2018-01-01,STANDARD,1,0,300.1640319824219,1631.5037841796875,300.1640319824219,30
52,R_A4,0.0,1,0.048407796770334244,2018-01-01,STANDARD,2,0,299.8775939941406,1627.2314453125,299.8775939941406,31
52,R_A4,0.0,2,0.04956613853573799,2018-01-01,STANDARD,3,0,300.0123291015625,1629.2412109375,300.0123291015625,31
52,R_A4,0.0,3,0.050300661474466324,2018-01-01,STANDARD,4,0,300.1470947265625,1631.2509765625,300.1470947265625,31
52,R_A4,0.0,4,0.05231339856982231,2018-01-01,STANDARD,5,0,300.2818298339844,1633.2607421875,300.2818298339844,31
52,R_A4,0.0,4,0.05275661498308182,2018-01-01,STANDARD,6,0,300.1385498046875,1631.1239013671875,300.1385498046875,32
52,R_A4,0.0,5,0.05414501205086708,2018-01-01,STANDARD,7,0,300.2633056640625,1632.984619140625,300.2633056640625,32
51,R_A4,0.0,5,0.0568913109600544,2018-01-01,STANDARD,8,0,300.4312438964844,1635.4892578125,300.4312438964844,32
51,R_A4,0.0,6,0.05719416216015816,2018-01-01,STANDARD,9,0,300.55511474609375,1637.336669921875,300.55511474609375,32
51,R_A4,0.0,6,0.0582999549806118,2018-01-01,STANDARD,10,0,300.5621643066406,1637.44189453125,300.5621643066406,33
51,R_A4,0.0,5,0.054933685809373856,2018-01-01,STANDARD,11,0,300.43890380859375,1635.603515625,300.43890380859375,33
50,R_A4,0.0,5,0.05731697008013725,2018-01-01,STANDARD,12,0,300.8070068359375,1641.09326171875,300.8070068359375,33
50,R_A4,0.0,5,0.059733230620622635,2018-01-01,STANDARD,13,0,300.7750549316406,1640.6170654296875,300.7750549316406,34
50,R_A4,0.0,4,0.13358329236507416,2018-01-01,STANDARD,14,0,300.65020751953125,1638.7548828125,300.65020751953125,34
50,R_A4,0.0,4,0.09552597254514694,2018-01-01,STANDARD,15,0,300.8846435546875,1642.2510986328125,300.8846435546875,35
50,R_A4,0.0,3,0.22385744750499725,2018-01-01,STANDARD,16,0,300.7633056640625,1640.441650390625,300.7633056640625,35
49,R_A4,0.0,3,0.1762414127588272,2018-01-01,STANDARD,17,0,300.9276123046875,1642.89208984375,300.9276123046875,35
49,R_A4,0.0,2,0.22586575150489807,2018-01-01,STANDARD,18,0,300.80743408203125,1641.0999755859375,300.80743408203125,35
49,R_A4,0.0,1,0.22538432478904724,2018-01-01,STANDARD,19,0,300.6872863769531,1639.307861328125,300.6872863769531,35
49,R_A4,0.0,28,0.05669716000556946,2018-01-01,STANDARD,20,0,300.9890441894531,1643.807861328125,300.9890441894531,36
49,R_A4,0.0,27,0.13785861432552338,2018-01-01,STANDARD,21,0,300.58819580078125,1637.8302001953125,300.58819580078125,36
48,R_A4,0.0,27,0.6481541991233826,2018-01-01,STANDARD,22,0,300.5706787109375,1637.56884765625,300.5706787109375,36
48,R_A4,0.0,27,0.6481541991233826,2018-01-01,STANDARD,23,0,301.213623046875,1647.156982421875,301.213623046875,37
48,R_A4,0.0,27,0.148769810795784,2018-01-01,STANDARD,24,0,301.5943908691406,1652.834716796875,301.5943908691406,38
