DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-01-01,0.7999659776687622,STANDARD,16,41,0.0,1630.7034912109375,17,300.1090087890625,0,300.1090087890625,29,R_A3
2018-01-01,0.7619131207466125,STANDARD,17,41,0.0,1631.8951416015625,18,300.1888732910156,0,300.1888732910156,29,R_A3
2018-01-01,0.30219706892967224,STANDARD,26,41,0.0,1633.9010009765625,19,300.3233642578125,0,300.3233642578125,29,R_A3
2018-01-01,0.04482872039079666,STANDARD,27,41,0.0,1637.6553955078125,20,300.5751037597656,0,300.5751037597656,29,R_A3
2018-01-01,0.1944044679403305,STANDARD,28,41,0.0,1641.409912109375,21,300.82684326171875,0,300.82684326171875,29,R_A3
2018-01-01,0.80655837059021,STANDARD,29,41,0.0,1645.1644287109375,22,301.07861328125,0,301.07861328125,29,R_A3
2018-01-01,0.11676891148090363,STANDARD,30,41,0.0,1648.9188232421875,23,301.33038330078125,0,301.33038330078125,29,R_A3
2018-01-01,0.04945379123091698,STANDARD,1,52,0.0,1629.692626953125,1,300.0412292480469,0,300.0412292480469,30,R_A4
2018-01-01,0.04700760915875435,STANDARD,1,52,0.0,1625.9342041015625,2,299.7892761230469,0,299.7892761230469,31,R_A4
2018-01-01,0.048089928925037384,STANDARD,2,52,0.0,1627.950927734375,3,299.9244689941406,0,299.9244689941406,31,R_A4
2018-01-01,0.0481899194419384,STANDARD,3,52,0.0,1629.967529296875,4,300.0596618652344,0,300.0596618652344,31,R_A4
2018-01-01,0.051403142511844635,STANDARD,4,52,0.0,1631.984130859375,5,300.1948547363281,0,300.1948547363281,31,R_A4
2018-01-01,0.05338725447654724,STANDARD,5,52,0.0,1634.000732421875,6,300.3300476074219,0,300.3300476074219,31,R_A4
2018-01-01,0.05465574562549591,STANDARD,5,52,0.0,1633.2850341796875,7,300.2820739746094,0,300.2820739746094,32,R_A4
2018-01-01,0.05477943643927574,STANDARD,5,51,0.0,1635.5189208984375,8,300.4318542480469,0,300.4318542480469,32,R_A4
2018-01-01,0.0577235110104084,STANDARD,5,51,0.0,1638.99755859375,9,300.66510009765625,0,300.66510009765625,33,R_A4
2018-01-01,0.056254662573337555,STANDARD,4,51,0.0,1637.209716796875,10,300.54522705078125,0,300.54522705078125,33,R_A4
2018-01-01,0.05994235724210739,STANDARD,4,50,0.0,1642.3515625,11,300.8899841308594,0,300.8899841308594,33,R_A4
2018-01-01,0.0590447261929512,STANDARD,4,50,0.0,1641.21875,12,300.81402587890625,0,300.81402587890625,34,R_A4
2018-01-01,0.05996408313512802,STANDARD,3,50,0.0,1639.3826904296875,13,300.69091796875,0,300.69091796875,34,R_A4
2018-01-01,0.06159844249486923,STANDARD,3,50,0.0,1642.36083984375,14,300.890625,0,300.890625,35,R_A4
2018-01-01,0.26064547896385193,STANDARD,2,50,0.0,1640.627197265625,15,300.77435302734375,0,300.77435302734375,35,R_A4
2018-01-01,0.22368130087852478,STANDARD,1,50,0.0,1638.8935546875,16,300.6581115722656,0,300.6581115722656,35,R_A4
2018-01-01,0.23354792594909668,STANDARD,1,49,0.0,1644.4599609375,17,301.0313720703125,0,301.0313720703125,35,R_A4
2018-01-01,0.05589815601706505,STANDARD,28,49,0.0,1643.2418212890625,18,300.9496765136719,0,300.9496765136719,36,R_A4
2018-01-01,0.05144689604640007,STANDARD,28,48,0.0,1641.3511962890625,19,300.8229064941406,0,300.8229064941406,36,R_A4
2018-01-01,0.05734029784798622,STANDARD,28,48,0.0,1646.6739501953125,20,301.1798400878906,0,301.1798400878906,37,R_A4
2018-01-01,0.216093510389328,STANDARD,28,48,0.0,1649.101318359375,21,301.3426208496094,0,301.3426208496094,38,R_A4
2018-01-01,0.13811974227428436,STANDARD,29,48,0.0,1654.884765625,22,301.7304992675781,0,301.7304992675781,38,R_A4
2018-01-01,0.13239769637584686,STANDARD,29,47,0.0,1657.9908447265625,23,301.9388427734375,0,301.9388427734375,38,R_A4
2018-01-01,1.0,STANDARD,1,20,0.0,1683.7694091796875,1,303.7249450683594,0,303.7249450683594,31,R_A5
2018-01-01,1.0,STANDARD,2,20,0.0,1686.099853515625,2,303.94580078125,0,303.94580078125,31,R_A5
2018-01-01,1.0,STANDARD,3,20,0.0,1688.43017578125,3,304.1666259765625,0,304.1666259765625,31,R_A5
2018-01-01,1.0,STANDARD,4,20,0.0,1690.7606201171875,4,304.387451171875,0,304.387451171875,31,R_A5
2018-01-01,1.0,STANDARD,5,20,0.0,1693.0909423828125,5,304.6083068847656,0,304.6083068847656,31,R_A5
