SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
0.0,1.0,2018-01-01,304.2237548828125,0,1685.806396484375,STANDARD,29,22,29,24,304.2237548828125,R_A2
0.0,0.30414560437202454,2018-01-01,298.6532897949219,0,1609.060791015625,STANDARD,41,28,1,1,298.6532897949219,R_A3
0.0,0.11823459714651108,2018-01-01,298.7879638671875,0,1611.0703125,STANDARD,41,28,2,2,298.7879638671875,R_A3
0.0,0.14202730357646942,2018-01-01,298.3056640625,0,1603.873291015625,STANDARD,41,29,3,3,298.3056640625,R_A3
0.0,0.17468702793121338,2018-01-01,298.447998046875,0,1605.99755859375,STANDARD,41,29,4,4,298.447998046875,R_A3
0.0,0.6481541991233826,2018-01-01,298.5903625488281,0,1608.121826171875,STANDARD,41,29,5,5,298.5903625488281,R_A3
0.0,0.6546434760093689,2018-01-01,298.73272705078125,0,1610.2459716796875,STANDARD,41,29,6,6,298.73272705078125,R_A3
0.0,0.3660667836666107,2018-01-01,298.8750915527344,0,1612.3702392578125,STANDARD,41,29,7,7,298.8750915527344,R_A3
0.0,0.19454295933246613,2018-01-01,299.0174560546875,0,1614.494384765625,STANDARD,41,29,8,8,299.0174560546875,R_A3
0.0,0.7932541966438293,2018-01-01,299.15985107421875,0,1616.61865234375,STANDARD,41,29,9,9,299.15985107421875,R_A3
0.0,0.796744167804718,2018-01-01,299.30224609375,0,1618.742919921875,STANDARD,41,29,10,10,299.30224609375,R_A3
0.0,0.04701415076851845,2018-01-01,299.45050048828125,0,1620.955078125,STANDARD,41,29,11,11,299.45050048828125,R_A3
0.0,0.05319417640566826,2018-01-01,299.6047058105469,0,1623.2552490234375,STANDARD,41,29,12,12,299.6047058105469,R_A3
0.0,0.3579545021057129,2018-01-01,299.7589111328125,0,1625.555419921875,STANDARD,41,29,13,13,299.7589111328125,R_A3
0.0,0.601466715335846,2018-01-01,300.0672912597656,0,1630.15576171875,STANDARD,41,29,15,14,300.0672912597656,R_A3
0.0,0.8047552108764648,2018-01-01,300.1936950683594,0,1632.0408935546875,STANDARD,41,29,16,15,300.1936950683594,R_A3
0.0,0.3030117154121399,2018-01-01,300.3620910644531,0,1634.5528564453125,STANDARD,41,29,25,16,300.3620910644531,R_A3
0.0,0.04498375579714775,2018-01-01,300.59954833984375,0,1638.09423828125,STANDARD,41,29,26,17,300.59954833984375,R_A3
0.0,0.04723016545176506,2018-01-01,300.8370056152344,0,1641.635498046875,STANDARD,41,29,27,18,300.8370056152344,R_A3
0.0,0.22495442628860474,2018-01-01,301.0744934082031,0,1645.177001953125,STANDARD,41,29,28,19,301.0744934082031,R_A3
0.0,0.06065058335661888,2018-01-01,301.3119812011719,0,1648.71826171875,STANDARD,41,29,29,20,301.3119812011719,R_A3
0.0,0.048774585127830505,2018-01-01,300.20770263671875,0,1632.250244140625,STANDARD,52,30,1,1,300.20770263671875,R_A4
0.0,0.04836863651871681,2018-01-01,299.8359680175781,0,1626.705322265625,STANDARD,52,31,1,2,299.8359680175781,R_A4
0.0,0.04908636957406998,2018-01-01,299.97332763671875,0,1628.7540283203125,STANDARD,52,31,2,3,299.97332763671875,R_A4
0.0,0.05104370042681694,2018-01-01,300.1106872558594,0,1630.8028564453125,STANDARD,52,31,3,4,300.1106872558594,R_A4
