SWAT,CONKPOS,DRAWDOWN,CONIPOS,SGAS,CONBPRES,PRESSURE,WELLMODEL,CONIDX,CONJPOS,DATE,WELL,DEPTH
1.0,7,0,17,0.0,305.671142578125,305.671142578125,STANDARD,7,42,2018-01-01,R_A6,1704.235107421875
1.0,8,0,17,0.0,305.81732177734375,305.81732177734375,STANDARD,8,42,2018-01-01,R_A6,1705.777587890625
1.0,9,0,17,0.0,306.2625732421875,306.2625732421875,STANDARD,9,42,2018-01-01,R_A6,1707.3201904296875
1.0,10,0,17,0.0,306.10296630859375,306.10296630859375,STANDARD,10,42,2018-01-01,R_A6,1708.86279296875
1.0,11,0,17,0.0,306.28778076171875,306.28778076171875,STANDARD,11,42,2018-01-01,R_A6,1710.8115234375
1.0,12,0,17,0.0,306.5109558105469,306.5109558105469,STANDARD,12,42,2018-01-01,R_A6,1713.16650390625
1.0,13,0,17,0.0,306.7461242675781,306.7461242675781,STANDARD,13,42,2018-01-01,R_A6,1715.5213623046875
1.0,14,0,17,0.0,306.96929931640625,306.96929931640625,STANDARD,14,42,2018-01-01,R_A6,1717.8763427734375
1.0,15,0,17,0.0,307.1925048828125,307.1925048828125,STANDARD,15,42,2018-01-01,R_A6,1720.2313232421875
1.0,16,0,17,0.0,307.5606994628906,307.5606994628906,STANDARD,16,42,2018-01-01,R_A6,1722.586181640625
1.0,17,0,17,0.0,307.7839050292969,307.7839050292969,STANDARD,17,42,2018-01-01,R_A6,1724.941162109375
1.0,18,0,17,0.0,307.91510009765625,307.91510009765625,STANDARD,18,42,2018-01-01,R_A6,1726.3253173828125
1.0,26,0,17,0.0,307.8589172363281,307.8589172363281,STANDARD,19,42,2018-01-01,R_A6,1727.39013671875
1.0,27,0,17,0.0,308.32733154296875,308.32733154296875,STANDARD,20,42,2018-01-01,R_A6,1729.106201171875
1.0,28,0,17,0.0,308.489990234375,308.489990234375,STANDARD,21,42,2018-01-01,R_A6,1730.822265625
1.0,29,0,17,0.0,308.65264892578125,308.65264892578125,STANDARD,22,42,2018-01-01,R_A6,1732.5384521484375
1.0,30,0,17,0.0,308.509521484375,308.509521484375,STANDARD,23,42,2018-01-01,R_A6,1734.2545166015625
0.053920719772577286,1,0,22,0.0,300.09124755859375,300.09124755859375,STANDARD,1,30,2018-03-01,R_A2,1642.3150634765625
