DATE,GROUPNAME,GGIR,GGIRH,GGLIR,GGLR,GGOR,GGORH,GGPP,GGPR,GGPRF,GGPRH,GGPRS,GGPT,GGPTF,GGPTH,GGPTS,GLPR,GLPT,GMCTP,GMWPR,GOPP,GOPR,GOPRF,GOPRH,GOPRS,GOPT,GOPTF,GOPTH,GOPTS,GVIR,GVPR,GVPT,GWCT,GWCTH,GWGR,GWIR,GWIRH,GWPP,GWPR,GWPRH,GWPT,GWPTH
2001-04-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,OP,0.0,0.0,0.0,148.2538604736328,184.0,184.07760620117188,101951792.0,1358628.125,0.0,1301814.625,1358628.0,655421888.0,0.0,637160000.0,655421888.0,9164.2001953125,3821518.25,0.0,,554085.8125,7383.84814453125,7383.84814453125,7072.09716796875,0.0,3562075.25,3562075.25,3461960.0,0.0,0.0,13743.251953125,5991359.0,0.1942724734544754,0.24257031083106995,0.001310404040850699,0.0,0.0,44926.7421875,1780.351806640625,2264.871337890625,259442.9375,414866.03125
2001-04-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15324.0283203125,0.0,0.0,0.0,0.0,0.0,14838.0,14838.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,OP,0.0,0.0,0.0,138.50991821289062,184.0,184.0958251953125,100899848.0,1364555.625,0.0,1283700.25,1364555.5,696662912.0,0.0,675671040.0,696662976.0,9851.681640625,4116139.5,0.0,,548368.75,7416.0634765625,7416.0634765625,6973.00048828125,0.0,3786211.5,3786211.5,3671150.0,0.0,0.0,14469.9345703125,6425483.0,0.2472286969423294,0.3094329833984375,0.0017849169671535492,0.0,0.0,48213.89453125,2435.618408203125,3124.49951171875,329927.9375,508601.0
2001-05-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15490.94921875,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-06-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,OP,0.0,0.0,0.0,133.54180908203125,184.0,184.08229064941406,99936448.0,1359358.75,0.0,1268368.5,1359358.625,739073664.0,0.0,714990464.0,739073728.0,10179.275390625,4430871.0,0.0,,543132.875,7387.8193359375,7387.8193359375,6890.2255859375,0.0,4016704.75,4016704.75,3884747.0,0.0,0.0,14790.498046875,6884006.5,0.2742293179035187,0.34103065729141235,0.002053509233519435,0.0,0.0,52150.72265625,2791.455810546875,3565.838623046875,414166.21875,619142.0
2001-06-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15490.6796875,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-07-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,OP,0.0,0.0,0.0,129.9569854736328,184.0,184.06399536132812,99044912.0,1339899.0,0.0,1244567.125,1339898.875,779485952.0,0.0,752327488.0,779485952.0,10310.3271484375,4739524.0,0.0,,538287.5625,7282.06005859375,7282.06005859375,6761.6005859375,0.0,4236336.5,4236336.5,4087595.0,0.0,0.0,14863.4013671875,7329924.0,0.2937120199203491,0.36214128136634827,0.0022600709926337004,0.0,0.0,55708.859375,3028.266845703125,3838.866943359375,503187.46875,734308.0
2001-07-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15490.4462890625,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-08-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,OP,0.0,0.0,0.0,126.85945129394531,184.0,184.0308380126953,98145152.0,1311986.5,0.0,1216663.5,1311986.5,820363328.0,0.0,790044032.0,820363392.0,10342.0478515625,5059499.5,0.0,,533397.5625,7130.361328125,7130.361328125,6611.193359375,0.0,4458496.5,4458496.5,4292542.0,0.0,0.0,14807.0869140625,7788960.5,0.3105464577674866,0.37819480895996094,0.0024479569401592016,0.0,0.0,59339.1875,3211.686279296875,4021.06494140625,601003.125,858961.0
2001-08-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15490.197265625,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,OP,0.0,0.0,0.0,124.29732513427734,184.0,184.08834838867188,97094360.0,1297416.25,0.0,1204614.875,1297416.25,860781184.0,0.0,827387072.0,860781184.0,10438.005859375,5382474.0,0.0,,527686.75,7051.17529296875,7051.17529296875,6543.677734375,0.0,4678158.5,4678158.5,4495396.0,0.0,0.0,14859.1943359375,8249611.0,0.32447105646133423,0.3895878195762634,0.0026104426942765713,0.0,0.0,62963.32421875,3386.830810546875,4176.41943359375,704315.4375,988430.0
2001-09-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15489.96484375,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,OP,0.0,0.0,0.0,121.76017761230469,184.0,184.08433532714844,95918664.0,1279178.5,0.0,1190271.0,1279178.375,899338880.0,0.0,863095232.0,899338880.0,10505.7216796875,5697089.5,0.0,,521297.09375,6952.05712890625,6952.05712890625,6465.900390625,0.0,4887711.0,4887711.0,4689373.0,0.0,0.0,14870.6162109375,8695745.0,0.33825990557670593,0.3999665677547455,0.0027780833188444376,0.0,0.0,66474.65625,3553.66455078125,4309.99951171875,809378.3125,1117730.0
2001-10-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15489.73046875,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,OP,0.0,0.0,0.0,118.98139953613281,184.0,184.0794219970703,94495984.0,1255078.25,0.0,1170988.625,1255078.25,938439872.0,0.0,899395904.0,938439872.0,10548.5244140625,6023503.5,0.0,,513565.125,6821.07763671875,6821.07763671875,6361.3232421875,0.0,5100216.5,5100216.5,4886574.0,0.0,0.0,14837.787109375,9155733.0,0.35336196422576904,0.41120851039886475,0.0029698924627155066,0.0,0.0,70101.6171875,3727.447265625,4442.71044921875,923286.875,1255454.0
2001-11-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15489.470703125,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,OP,0.0,0.0,0.0,116.52592468261719,184.0,184.0808563232422,92705888.0,1238962.625,0.0,1160353.625,1238962.625,975789824.0,0.0,934206464.0,975789888.0,10632.505859375,6341926.5,0.0,,503836.34375,6733.4921875,6733.4921875,6303.49951171875,0.0,5303205.5,5303205.5,5075679.0,0.0,0.0,14872.6640625,9601929.0,0.366706907749176,0.42017054557800293,0.0031469983514398336,0.0,0.0,73657.3828125,3899.01318359375,4567.7998046875,1038721.0,1392488.0
2001-12-01,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15489.22265625,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,GMWIN,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
