DEPTH,DATE,CONKPOS,SWAT,CONIDX,PRESSURE,CONBPRES,CONJPOS,CONIPOS,DRAWDOWN,WELLMODEL,SGAS,WELL
1642.1485595703125,2018-01-01,4,0.06312906742095947,10,300.74395751953125,300.74395751953125,50,33,0,STANDARD,0.0,R_A4
1641.132080078125,2018-01-01,4,0.06255592405796051,11,300.67578125,300.67578125,50,34,0,STANDARD,0.0,R_A4
1639.20703125,2018-01-01,3,0.1182539239525795,12,300.5467224121094,300.5467224121094,50,34,0,STANDARD,0.0,R_A4
1640.9061279296875,2018-01-01,3,0.10039374977350235,13,300.66064453125,300.66064453125,50,35,0,STANDARD,0.0,R_A4
1639.0426025390625,2018-01-01,2,0.18232817947864532,14,300.53570556640625,300.53570556640625,50,35,0,STANDARD,0.0,R_A4
1641.93212890625,2018-01-01,2,0.23937761783599854,15,300.72943115234375,300.72943115234375,49,35,0,STANDARD,0.0,R_A4
1642.357421875,2018-01-01,30,0.05827876925468445,16,300.7579650878906,300.7579650878906,49,36,0,STANDARD,0.0,R_A4
1639.6068115234375,2018-01-01,30,0.6481541991233826,17,300.5735168457031,300.5735168457031,48,36,0,STANDARD,0.0,R_A4
1646.7513427734375,2018-01-01,30,0.05980163440108299,18,301.0526123046875,301.0526123046875,48,37,0,STANDARD,0.0,R_A4
1653.461669921875,2018-01-01,30,0.10777666419744492,19,301.5025939941406,301.5025939941406,48,38,0,STANDARD,0.0,R_A4
1657.8184814453125,2018-01-01,30,0.07282351702451706,20,301.7947998046875,301.7947998046875,47,38,0,STANDARD,0.0,R_A4
1685.026611328125,2018-01-01,1,1.0,1,303.8440856933594,303.8440856933594,20,31,0,STANDARD,0.0,R_A5
1687.3070068359375,2018-01-01,2,1.0,2,304.0601806640625,304.0601806640625,20,31,0,STANDARD,0.0,R_A5
1689.5875244140625,2018-01-01,3,1.0,3,304.27630615234375,304.27630615234375,20,31,0,STANDARD,0.0,R_A5
1691.8680419921875,2018-01-01,4,1.0,4,304.4924011230469,304.4924011230469,20,31,0,STANDARD,0.0,R_A5
1694.1485595703125,2018-01-01,5,1.0,5,304.7085266113281,304.7085266113281,20,31,0,STANDARD,0.0,R_A5
1696.4290771484375,2018-01-01,6,1.0,6,304.9246520996094,304.9246520996094,20,31,0,STANDARD,0.0,R_A5
1698.70947265625,2018-01-01,7,1.0,7,305.446533203125,305.446533203125,20,31,0,STANDARD,0.0,R_A5
1707.6488037109375,2018-01-01,11,1.0,8,305.988037109375,305.988037109375,20,31,0,STANDARD,0.0,R_A5
1709.5638427734375,2018-01-01,12,1.0,9,306.1695251464844,306.1695251464844,20,31,0,STANDARD,0.0,R_A5
1701.7845458984375,2018-01-01,12,1.0,10,305.4322814941406,305.4322814941406,21,31,0,STANDARD,0.0,R_A5
1703.735107421875,2018-01-01,13,1.0,11,305.6291198730469,305.6291198730469,21,31,0,STANDARD,0.0,R_A5
1705.6856689453125,2018-01-01,14,1.0,12,305.81396484375,305.81396484375,21,31,0,STANDARD,0.0,R_A5
1707.63623046875,2018-01-01,15,1.0,13,305.9988098144531,305.9988098144531,21,31,0,STANDARD,0.0,R_A5
1709.5867919921875,2018-01-01,16,1.0,14,306.3287048339844,306.3287048339844,21,31,0,STANDARD,0.0,R_A5
1711.537353515625,2018-01-01,17,1.0,15,306.5135498046875,306.5135498046875,21,31,0,STANDARD,0.0,R_A5
1713.35400390625,2018-01-01,18,1.0,16,306.6856994628906,306.6856994628906,21,31,0,STANDARD,0.0,R_A5
1714.3951416015625,2018-01-01,19,1.0,17,306.7843933105469,306.7843933105469,21,31,0,STANDARD,0.0,R_A5
1715.7628173828125,2018-01-01,27,1.0,18,306.75689697265625,306.75689697265625,21,31,0,STANDARD,0.0,R_A5
1718.098388671875,2018-01-01,28,1.0,19,306.978271484375,306.978271484375,21,31,0,STANDARD,0.0,R_A5
1720.43408203125,2018-01-01,29,1.0,20,307.5054016113281,307.5054016113281,21,31,0,STANDARD,0.0,R_A5
1722.7696533203125,2018-01-01,30,1.0,21,307.7267761230469,307.7267761230469,21,31,0,STANDARD,0.0,R_A5
1725.105224609375,2018-01-01,31,1.0,22,307.9481506347656,307.9481506347656,21,31,0,STANDARD,0.0,R_A5
1695.20263671875,2018-01-01,1,1.0,1,305.11419677734375,305.11419677734375,42,17,0,STANDARD,0.0,R_A6
1696.7510986328125,2018-01-01,2,1.0,2,305.2609558105469,305.2609558105469,42,17,0,STANDARD,0.0,R_A6
1698.299560546875,2018-01-01,3,1.0,3,305.4076843261719,305.4076843261719,42,17,0,STANDARD,0.0,R_A6
1699.84814453125,2018-01-01,4,1.0,4,305.554443359375,305.554443359375,42,17,0,STANDARD,0.0,R_A6
1701.3966064453125,2018-01-01,5,1.0,5,305.7012023925781,305.7012023925781,42,17,0,STANDARD,0.0,R_A6
1702.9451904296875,2018-01-01,6,1.0,6,305.84796142578125,305.84796142578125,42,17,0,STANDARD,0.0,R_A6
1704.49365234375,2018-01-01,7,1.0,7,305.6956481933594,305.6956481933594,42,17,0,STANDARD,0.0,R_A6
1706.042236328125,2018-01-01,8,1.0,8,306.1414489746094,306.1414489746094,42,17,0,STANDARD,0.0,R_A6
1707.5906982421875,2018-01-01,9,1.0,9,306.2882080078125,306.2882080078125,42,17,0,STANDARD,0.0,R_A6
1709.1392822265625,2018-01-01,10,1.0,10,306.1291809082031,306.1291809082031,42,17,0,STANDARD,0.0,R_A6
1711.055419921875,2018-01-01,11,1.0,11,306.3109130859375,306.3109130859375,42,17,0,STANDARD,0.0,R_A6
1713.3392333984375,2018-01-01,12,1.0,12,306.52734375,306.52734375,42,17,0,STANDARD,0.0,R_A6
1715.623046875,2018-01-01,13,1.0,13,306.7557678222656,306.7557678222656,42,17,0,STANDARD,0.0,R_A6
1717.9068603515625,2018-01-01,14,1.0,14,306.9721984863281,306.9721984863281,42,17,0,STANDARD,0.0,R_A6
1720.190673828125,2018-01-01,15,1.0,15,307.18865966796875,307.18865966796875,42,17,0,STANDARD,0.0,R_A6
1722.474365234375,2018-01-01,16,1.0,16,307.55010986328125,307.55010986328125,42,17,0,STANDARD,0.0,R_A6
1724.7581787109375,2018-01-01,17,1.0,17,307.7665710449219,307.7665710449219,42,17,0,STANDARD,0.0,R_A6
1726.394287109375,2018-01-01,18,1.0,18,307.921630859375,307.921630859375,42,17,0,STANDARD,0.0,R_A6
1727.7508544921875,2018-01-01,27,1.0,19,307.8930969238281,307.8930969238281,42,17,0,STANDARD,0.0,R_A6
1729.4755859375,2018-01-01,28,1.0,20,308.3623352050781,308.3623352050781,42,17,0,STANDARD,0.0,R_A6
1731.2001953125,2018-01-01,29,1.0,21,308.22003173828125,308.22003173828125,42,17,0,STANDARD,0.0,R_A6
1732.9249267578125,2018-01-01,30,1.0,22,308.68927001953125,308.68927001953125,42,17,0,STANDARD,0.0,R_A6
1734.649658203125,2018-01-01,31,1.0,23,308.5469665527344,308.5469665527344,42,17,0,STANDARD,0.0,R_A6
1641.094970703125,2018-03-01,1,0.05682807415723801,1,299.7669982910156,299.7669982910156,30,22,0,STANDARD,0.0,R_A2
1642.8890380859375,2018-03-01,2,0.05987314507365227,2,299.88726806640625,299.88726806640625,30,22,0,STANDARD,0.0,R_A2
1644.68310546875,2018-03-01,3,0.06263910979032516,3,300.0075378417969,300.0075378417969,30,22,0,STANDARD,0.0,R_A2
1646.4771728515625,2018-03-01,4,0.06647574156522751,4,300.1278076171875,300.1278076171875,30,22,0,STANDARD,0.0,R_A2
1648.2713623046875,2018-03-01,5,0.07083693891763687,5,300.24810791015625,300.24810791015625,30,22,0,STANDARD,0.0,R_A2
1650.0654296875,2018-03-01,6,0.2392282783985138,6,300.3683776855469,300.3683776855469,30,22,0,STANDARD,0.0,R_A2
1651.859619140625,2018-03-01,7,0.8951087594032288,7,300.4924011230469,300.4924011230469,30,22,0,STANDARD,0.0,R_A2
1653.6536865234375,2018-03-01,8,0.8684785962104797,8,300.61572265625,300.61572265625,30,22,0,STANDARD,0.0,R_A2
1655.44775390625,2018-03-01,9,0.894537091255188,9,300.7383117675781,300.7383117675781,30,22,0,STANDARD,0.0,R_A2
1657.2418212890625,2018-03-01,10,0.9062350988388062,10,300.890380859375,300.890380859375,30,22,0,STANDARD,0.0,R_A2
1659.1368408203125,2018-03-01,11,0.07771001756191254,11,300.97021484375,300.97021484375,30,22,0,STANDARD,0.0,R_A2
1661.132568359375,2018-03-01,12,0.08102130144834518,12,301.1040344238281,301.1040344238281,30,22,0,STANDARD,0.0,R_A2
1663.12841796875,2018-03-01,13,0.4633353054523468,13,301.2384948730469,301.2384948730469,30,22,0,STANDARD,0.0,R_A2
1665.1241455078125,2018-03-01,14,0.5079120993614197,14,301.3734436035156,301.3734436035156,30,22,0,STANDARD,0.0,R_A2
1667.1199951171875,2018-03-01,15,0.6800045371055603,15,301.5088806152344,301.5088806152344,30,22,0,STANDARD,0.0,R_A2
1669.11572265625,2018-03-01,16,0.9764924645423889,16,301.6429443359375,301.6429443359375,30,22,0,STANDARD,0.0,R_A2
1671.111572265625,2018-03-01,17,0.9521023035049438,17,301.77703857421875,301.77703857421875,30,22,0,STANDARD,0.0,R_A2
1672.9881591796875,2018-03-01,18,0.9803834557533264,18,301.90301513671875,301.90301513671875,30,22,0,STANDARD,0.0,R_A2
1674.229736328125,2018-03-01,18,0.9921026229858398,19,301.9536437988281,301.9536437988281,29,22,0,STANDARD,0.0,R_A2
1676.1676025390625,2018-03-01,27,0.4434256851673126,20,302.1341552734375,302.1341552734375,29,22,0,STANDARD,0.0,R_A2
1677.9368896484375,2018-03-01,28,1.0,21,302.9585876464844,302.9585876464844,29,22,0,STANDARD,-1.8400041147843826e-13,R_A2
1679.7061767578125,2018-03-01,29,1.0,22,303.4471130371094,303.4471130371094,29,22,0,STANDARD,-2.525966386401966e-15,R_A2
1681.4754638671875,2018-03-01,30,1.0,23,303.7370300292969,303.7370300292969,29,22,0,STANDARD,-1.735768039654339e-17,R_A2
1683.2447509765625,2018-03-01,31,1.0,24,303.94390869140625,303.94390869140625,29,22,0,STANDARD,2.5835330417507488e-17,R_A2
1685.026611328125,2018-04-28,1,1.0,1,264.1064758300781,264.1064758300781,20,31,0,STANDARD,-2.030959527345253e-14,R_A5
1687.3070068359375,2018-04-28,2,1.0,2,264.3221740722656,264.3221740722656,20,31,0,STANDARD,-1.739620851071242e-14,R_A5
1689.5875244140625,2018-04-28,3,1.0,3,264.5376892089844,264.5376892089844,20,31,0,STANDARD,-1.7537683341694622e-14,R_A5
1691.8680419921875,2018-04-28,4,1.0,4,264.75311279296875,264.75311279296875,20,31,0,STANDARD,-1.937757273433663e-14,R_A5
1694.1485595703125,2018-04-28,5,1.0,5,264.9687194824219,264.9687194824219,20,31,0,STANDARD,-1.9086596588164043e-14,R_A5
1696.4290771484375,2018-04-28,6,1.0,6,265.1844177246094,265.1844177246094,20,31,0,STANDARD,-1.9567501238033566e-14,R_A5
1698.70947265625,2018-04-28,7,1.0,7,265.7207336425781,265.7207336425781,20,31,0,STANDARD,-5.662486826679041e-15,R_A5
1707.6488037109375,2018-04-28,11,1.0,8,266.21856689453125,266.21856689453125,20,31,0,STANDARD,-7.358112193546831e-14,R_A5
1709.5638427734375,2018-04-28,12,1.0,9,266.60614013671875,266.60614013671875,20,31,0,STANDARD,-1.5158108600775433e-13,R_A5
1701.7845458984375,2018-04-28,12,1.0,10,265.36944580078125,265.36944580078125,21,31,0,STANDARD,-5.493945142570622e-13,R_A5
1703.735107421875,2018-04-28,13,1.0,11,265.56695556640625,265.56695556640625,21,31,0,STANDARD,-3.3916578177700316e-14,R_A5
1705.6856689453125,2018-04-28,14,1.0,12,265.7530822753906,265.7530822753906,21,31,0,STANDARD,-4.785852703720339e-14,R_A5
1707.63623046875,2018-04-28,15,1.0,13,265.9439697265625,265.9439697265625,21,31,0,STANDARD,-9.414136781054055e-15,R_A5
1709.5867919921875,2018-04-28,16,1.0,14,266.2991027832031,266.2991027832031,21,31,0,STANDARD,-1.1336566146274204e-14,R_A5
1711.537353515625,2018-04-28,17,1.0,15,266.5426330566406,266.5426330566406,21,31,0,STANDARD,-2.634398462111778e-15,R_A5
1713.35400390625,2018-04-28,18,1.0,16,266.7817687988281,266.7817687988281,21,31,0,STANDARD,-2.8855039204241572e-15,R_A5
1714.3951416015625,2018-04-28,19,1.0,17,266.91619873046875,266.91619873046875,21,31,0,STANDARD,0.0,R_A5
1715.7628173828125,2018-04-28,27,1.0,18,266.9080505371094,266.9080505371094,21,31,0,STANDARD,-2.413575524336242e-13,R_A5
1718.098388671875,2018-04-28,28,1.0,19,267.14306640625,267.14306640625,21,31,0,STANDARD,-3.0345046137317255e-13,R_A5
1720.43408203125,2018-04-28,29,1.0,20,267.8990783691406,267.8990783691406,21,31,0,STANDARD,-1.5827518061364149e-13,R_A5
1722.7696533203125,2018-04-28,30,1.0,21,284.4373474121094,284.4373474121094,21,31,0,STANDARD,-9.17142542586641e-18,R_A5
1725.105224609375,2018-04-28,31,1.0,22,299.5727844238281,299.5727844238281,21,31,0,STANDARD,1.9564605095074922e-20,R_A5
1609.243408203125,2018-07-03,1,0.6487694382667542,1,288.9211120605469,288.9211120605469,41,28,0,STANDARD,0.0,R_A3
1611.3077392578125,2018-07-03,2,0.19569161534309387,2,289.0646057128906,289.0646057128906,41,28,0,STANDARD,0.0,R_A3
1613.3720703125,2018-07-03,3,0.19505272805690765,3,289.20269775390625,289.20269775390625,41,28,0,STANDARD,0.0,R_A3
1615.4365234375,2018-07-03,4,0.37117427587509155,4,289.35137939453125,289.35137939453125,41,28,0,STANDARD,0.0,R_A3
1617.5008544921875,2018-07-03,5,0.831567108631134,5,289.5059814453125,289.5059814453125,41,28,0,STANDARD,0.0,R_A3
1619.565185546875,2018-07-03,6,0.6490862965583801,6,289.55511474609375,289.55511474609375,41,28,0,STANDARD,0.0,R_A3
1609.3663330078125,2018-07-03,6,0.6490258574485779,7,288.8572082519531,288.8572082519531,41,29,0,STANDARD,0.0,R_A3
1611.4163818359375,2018-07-03,7,0.19893674552440643,8,288.99822998046875,288.99822998046875,41,29,0,STANDARD,0.0,R_A3
1613.46630859375,2018-07-03,8,0.19842088222503662,9,289.1352844238281,289.1352844238281,41,29,0,STANDARD,0.0,R_A3
1615.516357421875,2018-07-03,9,0.8000529408454895,10,289.3411865234375,289.3411865234375,41,29,0,STANDARD,0.0,R_A3
1617.5662841796875,2018-07-03,10,0.798702597618103,11,289.96490478515625,289.96490478515625,41,29,0,STANDARD,0.0,R_A3
1619.750732421875,2018-07-03,11,0.050606079399585724,12,289.46942138671875,289.46942138671875,41,29,0,STANDARD,0.0,R_A3
1622.0697021484375,2018-07-03,12,0.05449787899851799,13,289.6244812011719,289.6244812011719,41,29,0,STANDARD,0.0,R_A3
1624.388671875,2018-07-03,13,0.3733838200569153,14,289.7803039550781,289.7803039550781,41,29,0,STANDARD,0.0,R_A3
1626.707763671875,2018-07-03,14,0.4008449614048004,15,290.6086730957031,290.6086730957031,41,29,0,STANDARD,0.0,R_A3
1629.026611328125,2018-07-03,15,0.49756279587745667,16,291.2222595214844,291.2222595214844,41,29,0,STANDARD,0.0,R_A3
1630.9468994140625,2018-07-03,16,0.8079026341438293,17,291.3581848144531,291.3581848144531,41,29,0,STANDARD,0.0,R_A3
1633.5262451171875,2018-07-03,27,0.9999998211860657,18,292.641845703125,292.641845703125,41,29,0,STANDARD,-1.2465657839300093e-08,R_A3
1637.1630859375,2018-07-03,28,0.04381508752703667,19,289.5218200683594,289.5218200683594,41,29,0,STANDARD,0.0,R_A3
