date,amount,phase,containment,zone,region
2040-01-01,239329.22057949528,gas,hazardous,all,all
2060-01-01,600834.176205105,gas,hazardous,all,all
2080-01-01,1366908.292730521,gas,hazardous,all,all
2100-01-01,2858718.0265279356,gas,hazardous,all,all
2120-01-01,5558155.435791453,gas,hazardous,all,all
2140-01-01,10135737.378294315,gas,hazardous,all,all
2160-01-01,17457213.67787092,gas,hazardous,all,all
2180-01-01,28556458.476746634,gas,hazardous,all,all
2200-01-01,44566506.367287144,gas,hazardous,all,all
2020-01-01,67827159.99936998,total,outside,all,all
2040-01-01,120951697.65308376,total,outside,all,all
2060-01-01,196112681.49106267,total,outside,all,all
2080-01-01,293486495.4529126,total,outside,all,all
2100-01-01,411155502.60468876,total,outside,all,all
2120-01-01,546044885.7701297,total,outside,all,all
2140-01-01,694793701.4837825,total,outside,all,all
2160-01-01,854297811.4805728,total,outside,all,all
2180-01-01,1021953364.1084363,total,outside,all,all
2200-01-01,1195726551.5315707,total,outside,all,all
2020-01-01,239025.48591606325,aqueous,outside,all,all
2040-01-01,426238.372713374,aqueous,outside,all,all
2060-01-01,691108.5321593712,aqueous,outside,all,all
2080-01-01,1034257.5479510942,aqueous,outside,all,all
2100-01-01,1448927.5947579378,aqueous,outside,all,all
2120-01-01,1924282.9001597418,aqueous,outside,all,all
2140-01-01,2448479.3718345854,aqueous,outside,all,all
2160-01-01,3010577.908732579,aqueous,outside,all,all
2180-01-01,3601402.4388142372,aqueous,outside,all,all
2200-01-01,4213785.746082058,aqueous,outside,all,all
2020-01-01,67588134.51345392,gas,outside,all,all
2040-01-01,120525459.28037038,gas,outside,all,all
2060-01-01,195421572.9589033,gas,outside,all,all
2080-01-01,292452237.9049615,gas,outside,all,all
2100-01-01,409706575.00993085,gas,outside,all,all
2120-01-01,544120602.86997,gas,outside,all,all
2140-01-01,692345222.1119479,gas,outside,all,all
2160-01-01,851287233.5718402,gas,outside,all,all
2180-01-01,1018351961.6696221,gas,outside,all,all
2200-01-01,1191512765.7854886,gas,outside,all,all
2020-01-01,44850721.81442024,total,total,toptherys,all
2040-01-01,51072846.10611427,total,total,toptherys,all
2060-01-01,57830690.9616159,total,total,toptherys,all
2080-01-01,65161833.18109357,total,total,toptherys,all
2100-01-01,73099671.46502009,total,total,toptherys,all
2120-01-01,81673160.50409311,total,total,toptherys,all
2140-01-01,90906672.75244991,total,total,toptherys,all
2160-01-01,100820951.47946882,total,total,toptherys,all
2180-01-01,111435292.9848049,total,total,toptherys,all
2200-01-01,122769901.44782214,total,total,toptherys,all
2020-01-01,3803534.5001572636,aqueous,total,toptherys,all
2040-01-01,4331197.455185019,aqueous,total,toptherys,all
2060-01-01,4904291.822784396,aqueous,total,toptherys,all
2080-01-01,5526004.277552015,aqueous,total,toptherys,all
2100-01-01,6199167.17322421,aqueous,total,toptherys,all
2120-01-01,6926235.992356262,aqueous,total,toptherys,all
2140-01-01,7709277.624095041,aqueous,total,toptherys,all
2160-01-01,8550051.187077792,aqueous,total,toptherys,all
2180-01-01,9450193.090666503,aqueous,total,toptherys,all
2200-01-01,10411416.73630992,aqueous,total,toptherys,all
2020-01-01,41047187.31426297,gas,total,toptherys,all
2040-01-01,46741648.65092925,gas,total,toptherys,all
2060-01-01,52926399.1388315,gas,total,toptherys,all
2080-01-01,59635828.90354156,gas,total,toptherys,all
2100-01-01,66900504.29179588,gas,total,toptherys,all
2120-01-01,74746924.51173685,gas,total,toptherys,all
2140-01-01,83197395.12835488,gas,total,toptherys,all
2160-01-01,92270900.29239103,gas,total,toptherys,all
2180-01-01,101985099.8941384,gas,total,toptherys,all
2200-01-01,112358484.71151221,gas,total,toptherys,all
2020-01-01,44850721.81442024,total,contained,toptherys,all
2040-01-01,51072846.10611427,total,contained,toptherys,all
2060-01-01,57830690.9616159,total,contained,toptherys,all
2080-01-01,65161833.181093566,total,contained,toptherys,all
2100-01-01,73099671.46501996,total,contained,toptherys,all
2120-01-01,81673160.50409198,total,contained,toptherys,all
2140-01-01,90906672.75244218,total,contained,toptherys,all
2160-01-01,100820951.47942449,total,contained,toptherys,all
2180-01-01,111435292.98458584,total,contained,toptherys,all
2200-01-01,122769901.4468721,total,contained,toptherys,all
2020-01-01,3803534.5001572636,aqueous,contained,toptherys,all
2040-01-01,4331197.455185019,aqueous,contained,toptherys,all
2060-01-01,4904291.822784396,aqueous,contained,toptherys,all
2080-01-01,5526004.277552015,aqueous,contained,toptherys,all
2100-01-01,6199167.173224209,aqueous,contained,toptherys,all
2120-01-01,6926235.992356258,aqueous,contained,toptherys,all
2140-01-01,7709277.624095014,aqueous,contained,toptherys,all
2160-01-01,8550051.187077636,aqueous,contained,toptherys,all
2180-01-01,9450193.090665732,aqueous,contained,toptherys,all
2200-01-01,10411416.736306572,aqueous,contained,toptherys,all
2020-01-01,41047187.31426297,gas,contained,toptherys,all
2040-01-01,46741648.65092925,gas,contained,toptherys,all
2060-01-01,52926399.1388315,gas,contained,toptherys,all
2080-01-01,59635828.90354155,gas,contained,toptherys,all
2100-01-01,66900504.291795745,gas,contained,toptherys,all
2120-01-01,74746924.51173572,gas,contained,toptherys,all
2140-01-01,83197395.12834717,gas,contained,toptherys,all
2160-01-01,92270900.29234685,gas,contained,toptherys,all
2180-01-01,101985099.89392011,gas,contained,toptherys,all
2200-01-01,112358484.71056552,gas,contained,toptherys,all
2020-01-01,0.0,total,hazardous,toptherys,all
2040-01-01,0.0,total,hazardous,toptherys,all
2060-01-01,0.0,total,hazardous,toptherys,all
2080-01-01,0.0,total,hazardous,toptherys,all
2100-01-01,0.0,total,hazardous,toptherys,all
2120-01-01,0.0,total,hazardous,toptherys,all
2140-01-01,0.0,total,hazardous,toptherys,all
2160-01-01,0.0,total,hazardous,toptherys,all
2180-01-01,0.0,total,hazardous,toptherys,all
2200-01-01,0.0,total,hazardous,toptherys,all
2020-01-01,0.0,aqueous,hazardous,toptherys,all
2040-01-01,0.0,aqueous,hazardous,toptherys,all
2060-01-01,0.0,aqueous,hazardous,toptherys,all
2080-01-01,0.0,aqueous,hazardous,toptherys,all
2100-01-01,0.0,aqueous,hazardous,toptherys,all
2120-01-01,0.0,aqueous,hazardous,toptherys,all
2140-01-01,0.0,aqueous,hazardous,toptherys,all
2160-01-01,0.0,aqueous,hazardous,toptherys,all
2180-01-01,0.0,aqueous,hazardous,toptherys,all
2200-01-01,0.0,aqueous,hazardous,toptherys,all
2020-01-01,0.0,gas,hazardous,toptherys,all
2040-01-01,0.0,gas,hazardous,toptherys,all
2060-01-01,0.0,gas,hazardous,toptherys,all
2080-01-01,0.0,gas,hazardous,toptherys,all
2100-01-01,0.0,gas,hazardous,toptherys,all
2120-01-01,0.0,gas,hazardous,toptherys,all
2140-01-01,0.0,gas,hazardous,toptherys,all
2160-01-01,0.0,gas,hazardous,toptherys,all
2180-01-01,0.0,gas,hazardous,toptherys,all
2200-01-01,0.0,gas,hazardous,toptherys,all
2020-01-01,0.0,total,outside,toptherys,all
2040-01-01,0.0,total,outside,toptherys,all
2060-01-01,0.0,total,outside,toptherys,all
2080-01-01,9.551543595712854e-09,total,outside,toptherys,all
2100-01-01,1.3215066369411605e-07,total,outside,toptherys,all
2120-01-01,1.1318667127975828e-06,total,outside,toptherys,all
2140-01-01,7.729680652440575e-06,total,outside,toptherys,all
2160-01-01,4.433569344011261e-05,total,outside,toptherys,all
2180-01-01,0.00021905925059186902,total,outside,toptherys,all
2200-01-01,0.0009500377944685139,total,outside,toptherys,all
2020-01-01,0.0,aqueous,outside,toptherys,all
2040-01-01,0.0,aqueous,outside,toptherys,all
2060-01-01,0.0,aqueous,outside,toptherys,all
2080-01-01,3.366000211766103e-11,aqueous,outside,toptherys,all
2100-01-01,4.657039540489348e-10,aqueous,outside,toptherys,all
2120-01-01,3.9887412508672406e-09,aqueous,outside,toptherys,all
2140-01-01,2.7239687964861908e-08,aqueous,outside,toptherys,all
2160-01-01,1.562406662470752e-07,aqueous,outside,toptherys,all
2180-01-01,7.719731125056175e-07,aqueous,outside,toptherys,all
2200-01-01,3.347969242167457e-06,aqueous,outside,toptherys,all
2020-01-01,0.0,gas,outside,toptherys,all
2040-01-01,0.0,gas,outside,toptherys,all
2060-01-01,0.0,gas,outside,toptherys,all
2080-01-01,9.517883593595192e-09,gas,outside,toptherys,all
2100-01-01,1.3168495974006713e-07,gas,outside,toptherys,all
2120-01-01,1.1278779715467156e-06,gas,outside,toptherys,all
2140-01-01,7.702440964475714e-06,gas,outside,toptherys,all
2160-01-01,4.417945277386554e-05,gas,outside,toptherys,all
2180-01-01,0.0002182872774793634,gas,outside,toptherys,all
2200-01-01,0.0009466898252263465,gas,outside,toptherys,all
2020-01-01,1794041219.8075771,total,total,topvolantis,all
2040-01-01,2026572079.2293794,total,total,topvolantis,all
2060-01-01,2275682598.788377,total,total,topvolantis,all
2080-01-01,2538345825.2449503,total,total,topvolantis,all
2100-01-01,2810882112.1933594,total,total,topvolantis,all
2120-01-01,3089901054.0535073,total,total,topvolantis,all
2140-01-01,3372906772.6790113,total,total,topvolantis,all
2160-01-01,3658524840.523306,total,total,topvolantis,all
2180-01-01,3946452774.657024,total,total,topvolantis,all
2200-01-01,4237262726.2476654,total,total,topvolantis,all
2020-01-01,146628115.02070916,aqueous,total,topvolantis,all
2040-01-01,162027385.25434116,aqueous,total,topvolantis,all
2060-01-01,177038376.14326152,aqueous,total,topvolantis,all
2080-01-01,191387019.46798453,aqueous,total,topvolantis,all
2100-01-01,204912201.09451592,aqueous,total,topvolantis,all
2120-01-01,217568924.34035012,aqueous,total,topvolantis,all
2140-01-01,229408413.09741974,aqueous,total,topvolantis,all
2160-01-01,240553124.83183724,aqueous,total,topvolantis,all
2180-01-01,251173178.1799294,aqueous,total,topvolantis,all
2200-01-01,261465008.964096,aqueous,total,topvolantis,all
2020-01-01,1647413104.786868,gas,total,topvolantis,all
2040-01-01,1864544693.9750385,gas,total,topvolantis,all
2060-01-01,2098644222.6451156,gas,total,topvolantis,all
2080-01-01,2346958805.7769656,gas,total,topvolantis,all
2100-01-01,2605969911.0988436,gas,total,topvolantis,all
2120-01-01,2872332129.713157,gas,total,topvolantis,all
2140-01-01,3143498359.581591,gas,total,topvolantis,all
2160-01-01,3417971715.6914682,gas,total,topvolantis,all
2180-01-01,3695279596.4770947,gas,total,topvolantis,all
2200-01-01,3975797717.283569,gas,total,topvolantis,all
2020-01-01,1726122803.1268158,total,contained,topvolantis,all
2040-01-01,1905362889.9639177,total,contained,topvolantis,all
2060-01-01,2078923486.5755317,total,contained,topvolantis,all
2080-01-01,2243388688.5581093,total,contained,topvolantis,all
2100-01-01,2396650947.0673847,total,contained,topvolantis,all
2120-01-01,2537876211.4626265,total,contained,topvolantis,all
2140-01-01,2667208145.529007,total,contained,topvolantis,all
2160-01-01,2785445009.502292,total,contained,topvolantis,all
2180-01-01,2893775838.562366,total,contained,topvolantis,all
2200-01-01,2993587572.5590734,total,contained,topvolantis,all
2020-01-01,146382652.66647583,aqueous,contained,topvolantis,all
2040-01-01,161582984.48982918,aqueous,contained,topvolantis,all
2060-01-01,176301671.0655245,aqueous,contained,topvolantis,all
2080-01-01,190249028.97883552,aqueous,contained,topvolantis,all
2100-01-01,203246329.0049998,aqueous,contained,topvolantis,all
2120-01-01,215222840.0552284,aqueous,contained,topvolantis,all
2140-01-01,226190745.43764263,aqueous,contained,topvolantis,all
2160-01-01,236217741.06044662,aqueous,contained,topvolantis,all
2180-01-01,245404662.23120362,aqueous,contained,topvolantis,all
2200-01-01,253869127.42638665,aqueous,contained,topvolantis,all
2020-01-01,1579740150.46034,gas,contained,topvolantis,all
2040-01-01,1743779905.4740887,gas,contained,topvolantis,all
2060-01-01,1902621815.5100071,gas,contained,topvolantis,all
2080-01-01,2053139659.5792737,gas,contained,topvolantis,all
2100-01-01,2193404618.062385,gas,contained,topvolantis,all
2120-01-01,2322653371.407398,gas,contained,topvolantis,all
2140-01-01,2441017400.0913644,gas,contained,topvolantis,all
2160-01-01,2549227268.4418454,gas,contained,topvolantis,all
2180-01-01,2648371176.3311625,gas,contained,topvolantis,all
2200-01-01,2739718445.1326866,gas,contained,topvolantis,all
2020-01-01,91256.68139138893,total,hazardous,topvolantis,all
2040-01-01,257491.61237808364,total,hazardous,topvolantis,all
2060-01-01,646430.7217827666,total,hazardous,topvolantis,all
2080-01-01,1470641.2339284176,total,hazardous,topvolantis,all
2100-01-01,3075662.521286116,total,hazardous,topvolantis,all
2120-01-01,5979956.820753415,total,hazardous,topvolantis,all
2140-01-01,10904925.666236913,total,hazardous,topvolantis,all
2160-01-01,18782019.540529266,total,hazardous,topvolantis,all
2180-01-01,30723571.986659717,total,hazardous,topvolantis,all
2200-01-01,47948602.15892112,total,hazardous,topvolantis,all
2020-01-01,6436.868317231549,aqueous,hazardous,topvolantis,all
2040-01-01,18162.39179858836,aqueous,hazardous,topvolantis,all
2060-01-01,45596.545577661636,aqueous,hazardous,topvolantis,all
2080-01-01,103732.94119789668,aqueous,hazardous,topvolantis,all
2100-01-01,216944.49475818026,aqueous,hazardous,topvolantis,all
2120-01-01,421801.38496196194,aqueous,hazardous,topvolantis,all
2140-01-01,769188.2879425972,aqueous,hazardous,topvolantis,all
2160-01-01,1324805.8626583442,aqueous,hazardous,topvolantis,all
2180-01-01,2167113.509913082,aqueous,hazardous,topvolantis,all
2200-01-01,3382095.791633982,aqueous,hazardous,topvolantis,all
2020-01-01,84819.81307415738,gas,hazardous,topvolantis,all
2040-01-01,239329.22057949528,gas,hazardous,topvolantis,all
2060-01-01,600834.176205105,gas,hazardous,topvolantis,all
2080-01-01,1366908.292730521,gas,hazardous,topvolantis,all
2100-01-01,2858718.0265279356,gas,hazardous,topvolantis,all
2120-01-01,5558155.435791453,gas,hazardous,topvolantis,all
2140-01-01,10135737.378294315,gas,hazardous,topvolantis,all
2160-01-01,17457213.67787092,gas,hazardous,topvolantis,all
2180-01-01,28556458.476746634,gas,hazardous,topvolantis,all
2200-01-01,44566506.367287144,gas,hazardous,topvolantis,all
2020-01-01,67827159.99936998,total,outside,topvolantis,all
2040-01-01,120951697.65308376,total,outside,topvolantis,all
2060-01-01,196112681.49106267,total,outside,topvolantis,all
2080-01-01,293486495.4529126,total,outside,topvolantis,all
2100-01-01,411155502.6046885,total,outside,topvolantis,all
2120-01-01,546044885.7701274,total,outside,topvolantis,all
2140-01-01,694793701.483767,total,outside,topvolantis,all
2160-01-01,854297811.4804841,total,outside,topvolantis,all
2180-01-01,1021953364.1079983,total,outside,topvolantis,all
2200-01-01,1195726551.5296707,total,outside,topvolantis,all
2020-01-01,239025.48591606325,aqueous,outside,topvolantis,all
2040-01-01,426238.372713374,aqueous,outside,topvolantis,all
2060-01-01,691108.5321593712,aqueous,outside,topvolantis,all
2080-01-01,1034257.5479510941,aqueous,outside,topvolantis,all
2100-01-01,1448927.594757937,aqueous,outside,topvolantis,all
2120-01-01,1924282.9001597338,aqueous,outside,topvolantis,all
2140-01-01,2448479.371834531,aqueous,outside,topvolantis,all
2160-01-01,3010577.9087322666,aqueous,outside,topvolantis,all
2180-01-01,3601402.438812693,aqueous,outside,topvolantis,all
2200-01-01,4213785.746075362,aqueous,outside,topvolantis,all
2020-01-01,67588134.51345392,gas,outside,topvolantis,all
2040-01-01,120525459.28037038,gas,outside,topvolantis,all
2060-01-01,195421572.9589033,gas,outside,topvolantis,all
2080-01-01,292452237.9049615,gas,outside,topvolantis,all
2100-01-01,409706575.0099306,gas,outside,topvolantis,all
2120-01-01,544120602.8699677,gas,outside,topvolantis,all
2140-01-01,692345222.1119325,gas,outside,topvolantis,all
2160-01-01,851287233.5717518,gas,outside,topvolantis,all
2180-01-01,1018351961.6691855,gas,outside,topvolantis,all
2200-01-01,1191512765.7835953,gas,outside,topvolantis,all
2020-01-01,44850721.81442024,total,total,topvolon,all
2040-01-01,51072846.10611427,total,total,topvolon,all
2060-01-01,57830690.9616159,total,total,topvolon,all
2080-01-01,65161833.18109357,total,total,topvolon,all
2100-01-01,73099671.46502009,total,total,topvolon,all
2120-01-01,81673160.50409311,total,total,topvolon,all
2140-01-01,90906672.75244991,total,total,topvolon,all
2160-01-01,100820951.47946882,total,total,topvolon,all
2180-01-01,111435292.9848049,total,total,topvolon,all
2200-01-01,122769901.44782214,total,total,topvolon,all
2020-01-01,3803534.5001572636,aqueous,total,topvolon,all
2040-01-01,4331197.455185019,aqueous,total,topvolon,all
2060-01-01,4904291.822784396,aqueous,total,topvolon,all
2080-01-01,5526004.277552015,aqueous,total,topvolon,all
2100-01-01,6199167.17322421,aqueous,total,topvolon,all
2120-01-01,6926235.992356262,aqueous,total,topvolon,all
2140-01-01,7709277.624095041,aqueous,total,topvolon,all
2160-01-01,8550051.187077792,aqueous,total,topvolon,all
2180-01-01,9450193.090666503,aqueous,total,topvolon,all
2200-01-01,10411416.73630992,aqueous,total,topvolon,all
2020-01-01,41047187.31426297,gas,total,topvolon,all
2040-01-01,46741648.65092925,gas,total,topvolon,all
2060-01-01,52926399.1388315,gas,total,topvolon,all
2080-01-01,59635828.90354156,gas,total,topvolon,all
2100-01-01,66900504.29179588,gas,total,topvolon,all
2120-01-01,74746924.51173685,gas,total,topvolon,all
2140-01-01,83197395.12835488,gas,total,topvolon,all
2160-01-01,92270900.29239103,gas,total,topvolon,all
2180-01-01,101985099.8941384,gas,total,topvolon,all
2200-01-01,112358484.71151221,gas,total,topvolon,all
2020-01-01,44850721.81442024,total,contained,topvolon,all
2040-01-01,51072846.10611427,total,contained,topvolon,all
2060-01-01,57830690.9616159,total,contained,topvolon,all
2080-01-01,65161833.181093566,total,contained,topvolon,all
2100-01-01,73099671.46501996,total,contained,topvolon,all
2120-01-01,81673160.50409198,total,contained,topvolon,all
2140-01-01,90906672.75244218,total,contained,topvolon,all
2160-01-01,100820951.47942449,total,contained,topvolon,all
2180-01-01,111435292.98458584,total,contained,topvolon,all
2200-01-01,122769901.4468721,total,contained,topvolon,all
2020-01-01,3803534.5001572636,aqueous,contained,topvolon,all
2040-01-01,4331197.455185019,aqueous,contained,topvolon,all
2060-01-01,4904291.822784396,aqueous,contained,topvolon,all
2080-01-01,5526004.277552015,aqueous,contained,topvolon,all
2100-01-01,6199167.173224209,aqueous,contained,topvolon,all
2120-01-01,6926235.992356258,aqueous,contained,topvolon,all
2140-01-01,7709277.624095014,aqueous,contained,topvolon,all
2160-01-01,8550051.187077636,aqueous,contained,topvolon,all
2180-01-01,9450193.090665732,aqueous,contained,topvolon,all
2200-01-01,10411416.736306572,aqueous,contained,topvolon,all
2020-01-01,41047187.31426297,gas,contained,topvolon,all
2040-01-01,46741648.65092925,gas,contained,topvolon,all
2060-01-01,52926399.1388315,gas,contained,topvolon,all
2080-01-01,59635828.90354155,gas,contained,topvolon,all
2100-01-01,66900504.291795745,gas,contained,topvolon,all
2120-01-01,74746924.51173572,gas,contained,topvolon,all
2140-01-01,83197395.12834717,gas,contained,topvolon,all
2160-01-01,92270900.29234685,gas,contained,topvolon,all
2180-01-01,101985099.89392011,gas,contained,topvolon,all
2200-01-01,112358484.71056552,gas,contained,topvolon,all
2020-01-01,0.0,total,hazardous,topvolon,all
2040-01-01,0.0,total,hazardous,topvolon,all
2060-01-01,0.0,total,hazardous,topvolon,all
2080-01-01,0.0,total,hazardous,topvolon,all
2100-01-01,0.0,total,hazardous,topvolon,all
2120-01-01,0.0,total,hazardous,topvolon,all
2140-01-01,0.0,total,hazardous,topvolon,all
2160-01-01,0.0,total,hazardous,topvolon,all
2180-01-01,0.0,total,hazardous,topvolon,all
2200-01-01,0.0,total,hazardous,topvolon,all
2020-01-01,0.0,aqueous,hazardous,topvolon,all
2040-01-01,0.0,aqueous,hazardous,topvolon,all
2060-01-01,0.0,aqueous,hazardous,topvolon,all
2080-01-01,0.0,aqueous,hazardous,topvolon,all
2100-01-01,0.0,aqueous,hazardous,topvolon,all
2120-01-01,0.0,aqueous,hazardous,topvolon,all
2140-01-01,0.0,aqueous,hazardous,topvolon,all
2160-01-01,0.0,aqueous,hazardous,topvolon,all
2180-01-01,0.0,aqueous,hazardous,topvolon,all
2200-01-01,0.0,aqueous,hazardous,topvolon,all
2020-01-01,0.0,gas,hazardous,topvolon,all
2040-01-01,0.0,gas,hazardous,topvolon,all
2060-01-01,0.0,gas,hazardous,topvolon,all
2080-01-01,0.0,gas,hazardous,topvolon,all
2100-01-01,0.0,gas,hazardous,topvolon,all
2120-01-01,0.0,gas,hazardous,topvolon,all
2140-01-01,0.0,gas,hazardous,topvolon,all
2160-01-01,0.0,gas,hazardous,topvolon,all
2180-01-01,0.0,gas,hazardous,topvolon,all
2200-01-01,0.0,gas,hazardous,topvolon,all
2020-01-01,0.0,total,outside,topvolon,all
2040-01-01,0.0,total,outside,topvolon,all
2060-01-01,0.0,total,outside,topvolon,all
2080-01-01,9.551543595712854e-09,total,outside,topvolon,all
2100-01-01,1.3215066369411605e-07,total,outside,topvolon,all
2120-01-01,1.1318667127975828e-06,total,outside,topvolon,all
2140-01-01,7.729680652440575e-06,total,outside,topvolon,all
2160-01-01,4.433569344011261e-05,total,outside,topvolon,all
2180-01-01,0.00021905925059186902,total,outside,topvolon,all
2200-01-01,0.0009500377944685139,total,outside,topvolon,all
2020-01-01,0.0,aqueous,outside,topvolon,all
2040-01-01,0.0,aqueous,outside,topvolon,all
2060-01-01,0.0,aqueous,outside,topvolon,all
2080-01-01,3.366000211766103e-11,aqueous,outside,topvolon,all
2100-01-01,4.657039540489348e-10,aqueous,outside,topvolon,all
2120-01-01,3.9887412508672406e-09,aqueous,outside,topvolon,all
2140-01-01,2.7239687964861908e-08,aqueous,outside,topvolon,all
2160-01-01,1.562406662470752e-07,aqueous,outside,topvolon,all
2180-01-01,7.719731125056175e-07,aqueous,outside,topvolon,all
2200-01-01,3.347969242167457e-06,aqueous,outside,topvolon,all
2020-01-01,0.0,gas,outside,topvolon,all
2040-01-01,0.0,gas,outside,topvolon,all
2060-01-01,0.0,gas,outside,topvolon,all
2080-01-01,9.517883593595192e-09,gas,outside,topvolon,all
2100-01-01,1.3168495974006713e-07,gas,outside,topvolon,all
2120-01-01,1.1278779715467156e-06,gas,outside,topvolon,all
2140-01-01,7.702440964475714e-06,gas,outside,topvolon,all
2160-01-01,4.417945277386554e-05,gas,outside,topvolon,all
2180-01-01,0.0002182872774793634,gas,outside,topvolon,all
2200-01-01,0.0009466898252263465,gas,outside,topvolon,all
