date,amount,phase,containment,zone,region,plume_group
2040-01-01,20624.74978659533,aqueous,contained,toptherys,all,all
2060-01-01,23353.7705846876,aqueous,contained,toptherys,all,all
2080-01-01,26314.306083581025,aqueous,contained,toptherys,all,all
2100-01-01,29519.843682020037,aqueous,contained,toptherys,all,all
2120-01-01,32982.076154077426,aqueous,contained,toptherys,all,all
2140-01-01,36710.84582902388,aqueous,contained,toptherys,all,all
2160-01-01,40714.52946227446,aqueous,contained,toptherys,all,all
2180-01-01,45000.91947936062,aqueous,contained,toptherys,all,all
2200-01-01,49578.17493479323,aqueous,contained,toptherys,all,all
2020-01-01,195462.7967345856,gas,contained,toptherys,all,all
2040-01-01,222579.27929013927,gas,contained,toptherys,all,all
2060-01-01,252030.47208967386,gas,contained,toptherys,all,all
2080-01-01,283980.13763591216,gas,contained,toptherys,all,all
2100-01-01,318573.8299609321,gas,contained,toptherys,all,all
2120-01-01,355937.73577017017,gas,contained,toptherys,all,all
2140-01-01,396178.0720397484,gas,contained,toptherys,all,all
2160-01-01,439385.23948736605,gas,contained,toptherys,all,all
2180-01-01,485643.33282819093,gas,contained,toptherys,all,all
2200-01-01,535040.4033836456,gas,contained,toptherys,all,all
2020-01-01,0.0,total,hazardous,toptherys,all,all
2040-01-01,0.0,total,hazardous,toptherys,all,all
2060-01-01,0.0,total,hazardous,toptherys,all,all
2080-01-01,0.0,total,hazardous,toptherys,all,all
2100-01-01,0.0,total,hazardous,toptherys,all,all
2120-01-01,0.0,total,hazardous,toptherys,all,all
2140-01-01,0.0,total,hazardous,toptherys,all,all
2160-01-01,0.0,total,hazardous,toptherys,all,all
2180-01-01,0.0,total,hazardous,toptherys,all,all
2200-01-01,0.0,total,hazardous,toptherys,all,all
2020-01-01,0.0,aqueous,hazardous,toptherys,all,all
2040-01-01,0.0,aqueous,hazardous,toptherys,all,all
2060-01-01,0.0,aqueous,hazardous,toptherys,all,all
2080-01-01,0.0,aqueous,hazardous,toptherys,all,all
2100-01-01,0.0,aqueous,hazardous,toptherys,all,all
2120-01-01,0.0,aqueous,hazardous,toptherys,all,all
2140-01-01,0.0,aqueous,hazardous,toptherys,all,all
2160-01-01,0.0,aqueous,hazardous,toptherys,all,all
2180-01-01,0.0,aqueous,hazardous,toptherys,all,all
2200-01-01,0.0,aqueous,hazardous,toptherys,all,all
2020-01-01,0.0,gas,hazardous,toptherys,all,all
2040-01-01,0.0,gas,hazardous,toptherys,all,all
2060-01-01,0.0,gas,hazardous,toptherys,all,all
2080-01-01,0.0,gas,hazardous,toptherys,all,all
2100-01-01,0.0,gas,hazardous,toptherys,all,all
2120-01-01,0.0,gas,hazardous,toptherys,all,all
2140-01-01,0.0,gas,hazardous,toptherys,all,all
2160-01-01,0.0,gas,hazardous,toptherys,all,all
2180-01-01,0.0,gas,hazardous,toptherys,all,all
2200-01-01,0.0,gas,hazardous,toptherys,all,all
2020-01-01,0.0,total,outside,toptherys,all,all
2040-01-01,0.0,total,outside,toptherys,all,all
2060-01-01,0.0,total,outside,toptherys,all,all
2080-01-01,4.548354093196597e-11,total,outside,toptherys,all,all
2100-01-01,6.29288874733886e-10,total,outside,toptherys,all,all
2120-01-01,5.389841489512298e-09,total,outside,toptherys,all,all
2140-01-01,3.6808003106859875e-08,total,outside,toptherys,all,all
2160-01-01,2.1112234971482198e-07,total,outside,toptherys,all,all
2180-01-01,1.0431392885327096e-06,total,outside,toptherys,all,all
2200-01-01,4.5239894974691145e-06,total,outside,toptherys,all,all
2020-01-01,0.0,aqueous,outside,toptherys,all,all
2040-01-01,0.0,aqueous,outside,toptherys,all,all
2060-01-01,0.0,aqueous,outside,toptherys,all,all
2080-01-01,1.602857243698144e-13,aqueous,outside,toptherys,all,all
2100-01-01,2.2176378764234997e-12,aqueous,outside,toptherys,all,all
2120-01-01,1.8994005956510665e-11,aqueous,outside,toptherys,all,all
2140-01-01,1.2971279983267573e-10,aqueous,outside,toptherys,all,all
2160-01-01,7.440031726051201e-10,aqueous,outside,toptherys,all,all
2180-01-01,3.6760624405029406e-09,aqueous,outside,toptherys,all,all
2200-01-01,1.5942710676987893e-08,aqueous,outside,toptherys,all,all
2020-01-01,0.0,gas,outside,toptherys,all,all
2040-01-01,0.0,gas,outside,toptherys,all,all
2060-01-01,0.0,gas,outside,toptherys,all,all
