CONJPOS,PRESSURE,SGAS,WELL,SWAT,DRAWDOWN,WELLMODEL,CONIPOS,CONKPOS,CONIDX,CONBPRES,DATE,DEPTH
29,303.16400146484375,0.0,R_A2,1.0,0,STANDARD,22,27,20,303.16400146484375,2018-01-01,1676.1676025390625
29,303.28271484375,0.0,R_A2,1.0,0,STANDARD,22,28,21,303.28271484375,2018-01-01,1677.9368896484375
29,303.40142822265625,0.0,R_A2,1.0,0,STANDARD,22,29,22,303.40142822265625,2018-01-01,1679.7061767578125
29,303.5201416015625,0.0,R_A2,1.0,0,STANDARD,22,30,23,303.5201416015625,2018-01-01,1681.4754638671875
29,303.98101806640625,0.0,R_A2,1.0,0,STANDARD,22,31,24,303.98101806640625,2018-01-01,1683.2447509765625
41,298.6763000488281,0.0,R_A3,0.6481541991233826,0,STANDARD,28,1,1,298.6763000488281,2018-01-01,1609.243408203125
41,298.8146667480469,0.0,R_A3,0.18918605148792267,0,STANDARD,28,2,2,298.8146667480469,2018-01-01,1611.3077392578125
41,298.9530334472656,0.0,R_A3,0.18991050124168396,0,STANDARD,28,3,3,298.9530334472656,2018-01-01,1613.3720703125
41,299.09136962890625,0.0,R_A3,0.24541521072387695,0,STANDARD,28,4,4,299.09136962890625,2018-01-01,1615.4365234375
41,299.2297668457031,0.0,R_A3,0.6481541991233826,0,STANDARD,28,5,5,299.2297668457031,2018-01-01,1617.5008544921875
41,299.3681335449219,0.0,R_A3,0.14640825986862183,0,STANDARD,28,6,6,299.3681335449219,2018-01-01,1619.565185546875
41,298.6845397949219,0.0,R_A3,0.2708485722541809,0,STANDARD,29,6,7,298.6845397949219,2018-01-01,1609.3663330078125
41,298.8219299316406,0.0,R_A3,0.19444257020950317,0,STANDARD,29,7,8,298.8219299316406,2018-01-01,1611.4163818359375
41,298.9593200683594,0.0,R_A3,0.14256900548934937,0,STANDARD,29,8,9,298.9593200683594,2018-01-01,1613.46630859375
41,299.09674072265625,0.0,R_A3,0.6481541991233826,0,STANDARD,29,9,10,299.09674072265625,2018-01-01,1615.516357421875
41,299.234130859375,0.0,R_A3,0.7950109243392944,0,STANDARD,29,10,11,299.234130859375,2018-01-01,1617.5662841796875
41,299.38055419921875,0.0,R_A3,0.04650134965777397,0,STANDARD,29,11,12,299.38055419921875,2018-01-01,1619.750732421875
41,299.5360107421875,0.0,R_A3,0.051771730184555054,0,STANDARD,29,12,13,299.5360107421875,2018-01-01,1622.0697021484375
41,299.69146728515625,0.0,R_A3,0.36520108580589294,0,STANDARD,29,13,14,299.69146728515625,2018-01-01,1624.388671875
41,299.846923828125,0.0,R_A3,0.3387845456600189,0,STANDARD,29,14,15,299.846923828125,2018-01-01,1626.707763671875
41,300.00238037109375,0.0,R_A3,0.48508220911026,0,STANDARD,29,15,16,300.00238037109375,2018-01-01,1629.026611328125
41,300.1311340332031,0.0,R_A3,0.7916339039802551,0,STANDARD,29,16,17,300.1311340332031,2018-01-01,1630.9468994140625
41,300.3040466308594,0.0,R_A3,0.6481541991233826,0,STANDARD,29,27,18,300.3040466308594,2018-01-01,1633.5262451171875
41,300.54791259765625,0.0,R_A3,0.04341445118188858,0,STANDARD,29,28,19,300.54791259765625,2018-01-01,1637.1630859375
41,300.7917785644531,0.0,R_A3,0.04927171394228935,0,STANDARD,29,29,20,300.7917785644531,2018-01-01,1640.8001708984375
41,301.03564453125,0.0,R_A3,0.6481541991233826,0,STANDARD,29,30,21,301.03564453125,2018-01-01,1644.4371337890625
41,301.279541015625,0.0,R_A3,0.05693795159459114,0,STANDARD,29,31,22,301.279541015625,2018-01-01,1648.0740966796875
52,300.1472473144531,0.0,R_A4,0.049403607845306396,0,STANDARD,30,1,1,300.1472473144531,2018-01-01,1631.1873779296875
52,299.8952941894531,0.0,R_A4,0.048515621572732925,0,STANDARD,31,1,2,299.8952941894531,2018-01-01,1627.4293212890625
52,300.0334167480469,0.0,R_A4,0.04929593950510025,0,STANDARD,31,2,3,300.0334167480469,2018-01-01,1629.4896240234375
52,300.1715393066406,0.0,R_A4,0.05102291703224182,0,STANDARD,31,3,4,300.1715393066406,2018-01-01,1631.5498046875
52,300.3096618652344,0.0,R_A4,0.6481541991233826,0,STANDARD,31,4,5,300.3096618652344,2018-01-01,1633.610107421875
52,300.22833251953125,0.0,R_A4,0.054458148777484894,0,STANDARD,32,4,6,300.22833251953125,2018-01-01,1632.3968505859375
51,300.4619140625,0.0,R_A4,0.6481541991233826,0,STANDARD,32,4,7,300.4619140625,2018-01-01,1635.880615234375
51,300.5585021972656,0.0,R_A4,0.6481541991233826,0,STANDARD,33,4,8,300.5585021972656,2018-01-01,1637.321044921875
51,300.4346923828125,0.0,R_A4,0.05647505819797516,0,STANDARD,33,3,9,300.4346923828125,2018-01-01,1635.474609375
50,300.8821716308594,0.0,R_A4,0.6481541991233826,0,STANDARD,33,4,10,300.8821716308594,2018-01-01,1642.1485595703125
50,300.81402587890625,0.0,R_A4,0.09477177262306213,0,STANDARD,34,4,11,300.81402587890625,2018-01-01,1641.132080078125
50,300.6849365234375,0.0,R_A4,0.14856912195682526,0,STANDARD,34,3,12,300.6849365234375,2018-01-01,1639.20703125
50,300.7988586425781,0.0,R_A4,0.22048725187778473,0,STANDARD,35,3,13,300.7988586425781,2018-01-01,1640.9061279296875
50,300.6739196777344,0.0,R_A4,0.2204122096300125,0,STANDARD,35,2,14,300.6739196777344,2018-01-01,1639.0426025390625
49,300.86767578125,0.0,R_A4,0.23153099417686462,0,STANDARD,35,2,15,300.86767578125,2018-01-01,1641.93212890625
49,300.89617919921875,0.0,R_A4,0.04863177239894867,0,STANDARD,36,30,16,300.89617919921875,2018-01-01,1642.357421875
48,300.7117614746094,0.0,R_A4,0.19212527573108673,0,STANDARD,36,30,17,300.7117614746094,2018-01-01,1639.6068115234375
48,301.19085693359375,0.0,R_A4,0.09461348503828049,0,STANDARD,37,30,18,301.19085693359375,2018-01-01,1646.7513427734375
48,301.640869140625,0.0,R_A4,0.09683582931756973,0,STANDARD,38,30,19,301.640869140625,2018-01-01,1653.461669921875
47,301.9330749511719,0.0,R_A4,0.10702082514762878,0,STANDARD,38,30,20,301.9330749511719,2018-01-01,1657.8184814453125
20,303.8440856933594,0.0,R_A5,1.0,0,STANDARD,31,1,1,303.8440856933594,2018-01-01,1685.026611328125
20,304.0601806640625,0.0,R_A5,1.0,0,STANDARD,31,2,2,304.0601806640625,2018-01-01,1687.3070068359375
20,304.58209228515625,0.0,R_A5,1.0,0,STANDARD,31,3,3,304.58209228515625,2018-01-01,1689.5875244140625
20,304.4924011230469,0.0,R_A5,1.0,0,STANDARD,31,4,4,304.4924011230469,2018-01-01,1691.8680419921875
