CONIPOS,SGAS,CONJPOS,WELL,CONIDX,DATE,SWAT,PRESSURE,WELLMODEL,CONKPOS,CONBPRES,DRAWDOWN,DEPTH
29,0.0,41,R_A3,16,2018-01-01,0.8076774477958679,299.992919921875,STANDARD,16,299.992919921875,0,1630.9468994140625
29,0.0,41,R_A3,17,2018-01-01,1.0,300.16583251953125,STANDARD,27,300.16583251953125,0,1633.5262451171875
29,0.0,41,R_A3,18,2018-01-01,0.04337825998663902,300.40966796875,STANDARD,28,300.40966796875,0,1637.1630859375
29,0.0,41,R_A3,19,2018-01-01,0.05151337385177612,300.6535339355469,STANDARD,29,300.6535339355469,0,1640.8001708984375
29,0.0,41,R_A3,20,2018-01-01,1.0,300.89739990234375,STANDARD,30,300.89739990234375,0,1644.4371337890625
29,0.0,41,R_A3,21,2018-01-01,0.06231296807527542,301.14129638671875,STANDARD,31,301.14129638671875,0,1648.0740966796875
30,0.0,52,R_A4,1,2018-01-01,0.053005583584308624,300.009033203125,STANDARD,1,300.009033203125,0,1631.1873779296875
31,0.0,52,R_A4,2,2018-01-01,0.04966719448566437,299.7571105957031,STANDARD,1,299.7571105957031,0,1627.4293212890625
31,0.0,52,R_A4,3,2018-01-01,0.050943583250045776,299.89520263671875,STANDARD,2,299.89520263671875,0,1629.4896240234375
31,0.0,52,R_A4,4,2018-01-01,0.05345940962433815,300.0333251953125,STANDARD,3,300.0333251953125,0,1631.5498046875
31,0.0,52,R_A4,5,2018-01-01,0.058497145771980286,300.17144775390625,STANDARD,4,300.17144775390625,0,1633.610107421875
32,0.0,52,R_A4,6,2018-01-01,0.05785714462399483,300.0901184082031,STANDARD,4,300.0901184082031,0,1632.3968505859375
32,0.0,51,R_A4,7,2018-01-01,0.058354947715997696,300.3236999511719,STANDARD,4,300.3236999511719,0,1635.880615234375
33,0.0,51,R_A4,8,2018-01-01,0.0618814118206501,300.4202575683594,STANDARD,4,300.4202575683594,0,1637.321044921875
33,0.0,51,R_A4,9,2018-01-01,0.05655122175812721,300.29644775390625,STANDARD,3,300.29644775390625,0,1635.474609375
33,0.0,50,R_A4,10,2018-01-01,0.14695020020008087,300.74395751953125,STANDARD,4,300.74395751953125,0,1642.1485595703125
34,0.0,50,R_A4,11,2018-01-01,0.08094248175621033,300.67578125,STANDARD,4,300.67578125,0,1641.132080078125
34,0.0,50,R_A4,12,2018-01-01,0.12245088070631027,300.5467224121094,STANDARD,3,300.5467224121094,0,1639.20703125
35,0.0,50,R_A4,13,2018-01-01,0.12450994551181793,300.66064453125,STANDARD,3,300.66064453125,0,1640.9061279296875
35,0.0,50,R_A4,14,2018-01-01,0.22938384115695953,300.53570556640625,STANDARD,2,300.53570556640625,0,1639.0426025390625
35,0.0,49,R_A4,15,2018-01-01,0.23677265644073486,300.72943115234375,STANDARD,2,300.72943115234375,0,1641.93212890625
36,0.0,49,R_A4,16,2018-01-01,0.12670636177062988,300.7579650878906,STANDARD,30,300.7579650878906,0,1642.357421875
36,0.0,48,R_A4,17,2018-01-01,0.04889002442359924,300.5735168457031,STANDARD,30,300.5735168457031,0,1639.6068115234375
37,0.0,48,R_A4,18,2018-01-01,0.2428145408630371,301.0526123046875,STANDARD,30,301.0526123046875,0,1646.7513427734375
38,0.0,48,R_A4,19,2018-01-01,0.3171052634716034,301.5025939941406,STANDARD,30,301.5025939941406,0,1653.461669921875
38,0.0,47,R_A4,20,2018-01-01,0.6481541991233826,301.7947998046875,STANDARD,30,301.7947998046875,0,1657.8184814453125
31,0.0,20,R_A5,1,2018-01-01,1.0,304.1498718261719,STANDARD,1,304.1498718261719,0,1685.026611328125
31,0.0,20,R_A5,2,2018-01-01,1.0,304.0601806640625,STANDARD,2,304.0601806640625,0,1687.3070068359375
31,0.0,20,R_A5,3,2018-01-01,1.0,304.27630615234375,STANDARD,3,304.27630615234375,0,1689.5875244140625
31,0.0,20,R_A5,4,2018-01-01,1.0,304.4924011230469,STANDARD,4,304.4924011230469,0,1691.8680419921875
31,0.0,20,R_A5,5,2018-01-01,1.0,304.7085266113281,STANDARD,5,304.7085266113281,0,1694.1485595703125
31,0.0,20,R_A5,6,2018-01-01,1.0,304.9246520996094,STANDARD,6,304.9246520996094,0,1696.4290771484375
31,0.0,20,R_A5,7,2018-01-01,1.0,305.446533203125,STANDARD,7,305.446533203125,0,1698.70947265625
31,0.0,20,R_A5,8,2018-01-01,1.0,305.66265869140625,STANDARD,8,305.66265869140625,0,1700.989990234375
31,0.0,20,R_A5,9,2018-01-01,1.0,305.8787841796875,STANDARD,9,305.8787841796875,0,1703.2706298828125
31,0.0,20,R_A5,10,2018-01-01,1.0,305.988037109375,STANDARD,11,305.988037109375,0,1707.6488037109375
31,0.0,20,R_A5,11,2018-01-01,1.0,306.1695251464844,STANDARD,12,306.1695251464844,0,1709.5638427734375
31,0.0,21,R_A5,12,2018-01-01,1.0,305.4322814941406,STANDARD,12,305.4322814941406,0,1701.7845458984375
31,0.0,21,R_A5,13,2018-01-01,1.0,305.6291198730469,STANDARD,13,305.6291198730469,0,1703.735107421875
31,0.0,21,R_A5,14,2018-01-01,1.0,305.81396484375,STANDARD,14,305.81396484375,0,1705.6856689453125
31,0.0,21,R_A5,15,2018-01-01,1.0,305.9988098144531,STANDARD,15,305.9988098144531,0,1707.63623046875
31,0.0,21,R_A5,16,2018-01-01,1.0,306.3287048339844,STANDARD,16,306.3287048339844,0,1709.5867919921875
