CONIDX,WELLMODEL,DEPTH,CONBPRES,SGAS,PRESSURE,CONKPOS,DATE,DRAWDOWN,CONJPOS,CONIPOS,WELL,SWAT
20,STANDARD,1672.6441650390625,302.86981201171875,0.0,302.86981201171875,19,2018-01-01,0,29,22,R_A2,0.9128166437149048
21,STANDARD,1673.861083984375,302.9514465332031,0.0,302.9514465332031,26,2018-01-01,0,29,22,R_A2,1.0
22,STANDARD,1675.6822509765625,303.0736389160156,0.0,303.0736389160156,27,2018-01-01,0,29,22,R_A2,1.0
23,STANDARD,1677.50341796875,303.1958312988281,0.0,303.1958312988281,28,2018-01-01,0,29,22,R_A2,1.0
24,STANDARD,1679.3245849609375,303.3180236816406,0.0,303.3180236816406,29,2018-01-01,0,29,22,R_A2,0.8446741104125977
25,STANDARD,1681.145751953125,303.7821044921875,0.0,303.7821044921875,30,2018-01-01,0,29,22,R_A2,1.0
1,STANDARD,1606.2474365234375,298.41778564453125,0.0,298.41778564453125,1,2018-01-01,0,41,28,R_A3,0.22407586872577667
2,STANDARD,1608.1845703125,298.547607421875,0.0,298.547607421875,2,2018-01-01,0,41,28,R_A3,0.1903751790523529
3,STANDARD,1603.4696044921875,298.23162841796875,0.0,298.23162841796875,2,2018-01-01,0,41,29,R_A3,0.18960173428058624
4,STANDARD,1605.51611328125,298.3687744140625,0.0,298.3687744140625,3,2018-01-01,0,41,29,R_A3,0.1873820424079895
5,STANDARD,1607.562744140625,298.50592041015625,0.0,298.50592041015625,4,2018-01-01,0,41,29,R_A3,0.35276591777801514
6,STANDARD,1609.609375,298.6430969238281,0.0,298.6430969238281,5,2018-01-01,0,41,29,R_A3,0.8083595633506775
7,STANDARD,1611.656005859375,298.7802429199219,0.0,298.7802429199219,6,2018-01-01,0,41,29,R_A3,0.6481541991233826
8,STANDARD,1613.7025146484375,298.91741943359375,0.0,298.91741943359375,7,2018-01-01,0,41,29,R_A3,0.19536834955215454
9,STANDARD,1615.7491455078125,299.0545959472656,0.0,299.0545959472656,8,2018-01-01,0,41,29,R_A3,0.19864773750305176
10,STANDARD,1617.795654296875,299.1917724609375,0.0,299.1917724609375,9,2018-01-01,0,41,29,R_A3,0.797890841960907
11,STANDARD,1619.84228515625,299.3289489746094,0.0,299.3289489746094,10,2018-01-01,0,41,29,R_A3,0.8044021725654602
12,STANDARD,1621.9984130859375,299.4734802246094,0.0,299.4734802246094,11,2018-01-01,0,41,29,R_A3,0.047999218106269836
13,STANDARD,1624.2640380859375,299.6253356933594,0.0,299.6253356933594,12,2018-01-01,0,41,29,R_A3,0.05440237373113632
14,STANDARD,1626.5296630859375,299.7772216796875,0.0,299.7772216796875,13,2018-01-01,0,41,29,R_A3,0.37296363711357117
15,STANDARD,1628.7952880859375,299.9291076660156,0.0,299.9291076660156,14,2018-01-01,0,41,29,R_A3,0.1451229453086853
16,STANDARD,1631.0609130859375,300.08099365234375,0.0,300.08099365234375,15,2018-01-01,0,41,29,R_A3,0.49573269486427307
17,STANDARD,1632.8486328125,300.2008361816406,0.0,300.2008361816406,16,2018-01-01,0,41,29,R_A3,0.8134028911590576
18,STANDARD,1635.2281494140625,300.3603820800781,0.0,300.3603820800781,26,2018-01-01,0,41,29,R_A3,1.0
19,STANDARD,1638.677490234375,300.5916748046875,0.0,300.5916748046875,27,2018-01-01,0,41,29,R_A3,0.0443895049393177
20,STANDARD,1642.1268310546875,300.82293701171875,0.0,300.82293701171875,28,2018-01-01,0,41,29,R_A3,0.050201430916786194
21,STANDARD,1645.576171875,301.05426025390625,0.0,301.05426025390625,29,2018-01-01,0,41,29,R_A3,0.8137161135673523
22,STANDARD,1649.0255126953125,301.2855529785156,0.0,301.2855529785156,30,2018-01-01,0,41,29,R_A3,0.061013881117105484
1,STANDARD,1629.7734375,299.99468994140625,0.0,299.99468994140625,1,2018-01-01,0,52,30,R_A4,0.05061948299407959
2,STANDARD,1625.9796142578125,299.7403564453125,0.0,299.7403564453125,1,2018-01-01,0,52,31,R_A4,0.04974580556154251
3,STANDARD,1628.0458984375,299.8788757324219,0.0,299.8788757324219,2,2018-01-01,0,52,31,R_A4,0.04945499077439308
4,STANDARD,1630.1121826171875,300.01739501953125,0.0,300.01739501953125,3,2018-01-01,0,52,31,R_A4,0.05069801211357117
5,STANDARD,1632.178466796875,300.1559143066406,0.0,300.1559143066406,4,2018-01-01,0,52,31,R_A4,0.05233415216207504
6,STANDARD,1634.2447509765625,300.2944641113281,0.0,300.2944641113281,5,2018-01-01,0,52,31,R_A4,0.05563514307141304
7,STANDARD,1631.8759765625,300.1356506347656,0.0,300.1356506347656,5,2018-01-01,0,52,32,R_A4,0.05425720289349556
8,STANDARD,1635.57958984375,300.3839416503906,0.0,300.3839416503906,5,2018-01-01,0,51,32,R_A4,0.056652653962373734
9,STANDARD,1635.8045654296875,300.3990478515625,0.0,300.3990478515625,5,2018-01-01,0,51,33,R_A4,0.056920312345027924
10,STANDARD,1642.5968017578125,300.8544616699219,0.0,300.8544616699219,5,2018-01-01,0,50,33,R_A4,0.06243767589330673
11,STANDARD,1641.246826171875,300.7639465332031,0.0,300.7639465332031,5,2018-01-01,0,50,34,R_A4,0.06089789792895317
12,STANDARD,1639.360595703125,300.6374816894531,0.0,300.6374816894531,4,2018-01-01,0,50,34,R_A4,0.13311849534511566
13,STANDARD,1639.6702880859375,300.6582336425781,0.0,300.6582336425781,4,2018-01-01,0,50,35,R_A4,0.13655054569244385
14,STANDARD,1637.875,300.537841796875,0.0,300.537841796875,3,2018-01-01,0,50,35,R_A4,0.19898970425128937
15,STANDARD,1642.774169921875,300.8663635253906,0.0,300.8663635253906,30,2018-01-01,0,49,35,R_A4,0.13358066976070404
16,STANDARD,1636.763916015625,300.4633483886719,0.0,300.4633483886719,29,2018-01-01,0,49,35,R_A4,0.2132488191127777
17,STANDARD,1643.4814453125,300.9137878417969,0.0,300.9137878417969,29,2018-01-01,0,49,36,R_A4,0.091887928545475
18,STANDARD,1643.6949462890625,300.9281005859375,0.0,300.9281005859375,29,2018-01-01,0,48,36,R_A4,0.09262638539075851
19,STANDARD,1650.5875244140625,301.39031982421875,0.0,301.39031982421875,29,2018-01-01,0,48,37,R_A4,0.22781525552272797
20,STANDARD,1645.025390625,301.017333984375,0.0,301.017333984375,28,2018-01-01,0,48,37,R_A4,0.2620506286621094
21,STANDARD,1649.2371826171875,301.2997741699219,0.0,301.2997741699219,28,2018-01-01,0,48,38,R_A4,0.16390882432460785
22,STANDARD,1657.9501953125,301.8841247558594,0.0,301.8841247558594,28,2018-01-01,0,47,38,R_A4,0.2641284465789795
1,STANDARD,1683.7830810546875,303.72625732421875,0.0,303.72625732421875,1,2018-01-01,0,20,31,R_A5,1.0
2,STANDARD,1686.0137939453125,303.9376525878906,0.0,303.9376525878906,2,2018-01-01,0,20,31,R_A5,1.0
3,STANDARD,1688.2445068359375,304.1490173339844,0.0,304.1490173339844,3,2018-01-01,0,20,31,R_A5,1.0
4,STANDARD,1690.4752197265625,304.36041259765625,0.0,304.36041259765625,4,2018-01-01,0,20,31,R_A5,1.0
5,STANDARD,1692.7060546875,304.5718078613281,0.0,304.5718078613281,5,2018-01-01,0,20,31,R_A5,1.0
6,STANDARD,1694.936767578125,304.783203125,0.0,304.783203125,6,2018-01-01,0,20,31,R_A5,1.0
7,STANDARD,1697.16748046875,305.3004150390625,0.0,305.3004150390625,7,2018-01-01,0,20,31,R_A5,1.0
8,STANDARD,1705.9266357421875,305.8248291015625,0.0,305.8248291015625,11,2018-01-01,0,20,31,R_A5,1.0
9,STANDARD,1707.830078125,306.0052185058594,0.0,306.0052185058594,12,2018-01-01,0,20,31,R_A5,1.0
10,STANDARD,1704.6669921875,305.7054443359375,0.0,305.7054443359375,12,2018-01-01,0,21,31,R_A5,1.0
11,STANDARD,1706.595947265625,305.9002380371094,0.0,305.9002380371094,13,2018-01-01,0,21,31,R_A5,1.0
12,STANDARD,1708.5247802734375,306.0830383300781,0.0,306.0830383300781,14,2018-01-01,0,21,31,R_A5,1.0
13,STANDARD,1710.4537353515625,306.2658386230469,0.0,306.2658386230469,15,2018-01-01,0,21,31,R_A5,1.0
14,STANDARD,1712.382568359375,306.5936584472656,0.0,306.5936584472656,16,2018-01-01,0,21,31,R_A5,1.0
15,STANDARD,1714.296630859375,306.7750549316406,0.0,306.7750549316406,17,2018-01-01,0,21,31,R_A5,1.0
16,STANDARD,1715.8243408203125,306.9198303222656,0.0,306.9198303222656,18,2018-01-01,0,21,31,R_A5,1.0
17,STANDARD,1716.5732421875,306.9908142089844,0.0,306.9908142089844,19,2018-01-01,0,21,31,R_A5,1.0
18,STANDARD,1717.863037109375,307.2617492675781,0.0,307.2617492675781,26,2018-01-01,0,21,31,R_A5,1.0
19,STANDARD,1720.100830078125,307.1680603027344,0.0,307.1680603027344,27,2018-01-01,0,21,31,R_A5,1.0
20,STANDARD,1722.338623046875,307.6859436035156,0.0,307.6859436035156,28,2018-01-01,0,21,31,R_A5,1.0
21,STANDARD,1724.576416015625,307.89801025390625,0.0,307.89801025390625,29,2018-01-01,0,21,31,R_A5,1.0
22,STANDARD,1726.814208984375,308.110107421875,0.0,308.110107421875,30,2018-01-01,0,21,31,R_A5,1.0
1,STANDARD,1694.8369140625,305.07952880859375,0.0,305.07952880859375,1,2018-01-01,0,42,17,R_A6,1.0
2,STANDARD,1696.3812255859375,305.22589111328125,0.0,305.22589111328125,2,2018-01-01,0,42,17,R_A6,1.0
3,STANDARD,1697.925537109375,305.37225341796875,0.0,305.37225341796875,3,2018-01-01,0,42,17,R_A6,1.0
4,STANDARD,1699.4698486328125,305.5185852050781,0.0,305.5185852050781,4,2018-01-01,0,42,17,R_A6,1.0
5,STANDARD,1701.01416015625,305.6649475097656,0.0,305.6649475097656,5,2018-01-01,0,42,17,R_A6,1.0
6,STANDARD,1702.55859375,305.51226806640625,0.0,305.51226806640625,6,2018-01-01,0,42,17,R_A6,1.0
7,STANDARD,1704.1029052734375,305.65863037109375,0.0,305.65863037109375,7,2018-01-01,0,42,17,R_A6,1.0
8,STANDARD,1705.647216796875,305.8049621582031,0.0,305.8049621582031,8,2018-01-01,0,42,17,R_A6,1.0
9,STANDARD,1707.1915283203125,306.2503662109375,0.0,306.2503662109375,9,2018-01-01,0,42,17,R_A6,1.0
10,STANDARD,1708.73583984375,306.0909423828125,0.0,306.0909423828125,10,2018-01-01,0,42,17,R_A6,1.0
11,STANDARD,1710.666748046875,306.2740783691406,0.0,306.2740783691406,11,2018-01-01,0,42,17,R_A6,1.0
12,STANDARD,1712.9842529296875,306.4936828613281,0.0,306.4936828613281,12,2018-01-01,0,42,17,R_A6,1.0
13,STANDARD,1715.3016357421875,306.72528076171875,0.0,306.72528076171875,13,2018-01-01,0,42,17,R_A6,1.0
14,STANDARD,1717.619140625,306.9449157714844,0.0,306.9449157714844,14,2018-01-01,0,42,17,R_A6,1.0
15,STANDARD,1719.9365234375,307.16455078125,0.0,307.16455078125,15,2018-01-01,0,42,17,R_A6,1.0
16,STANDARD,1722.2540283203125,307.5292053222656,0.0,307.5292053222656,16,2018-01-01,0,42,17,R_A6,1.0
17,STANDARD,1724.5714111328125,307.7488708496094,0.0,307.7488708496094,17,2018-01-01,0,42,17,R_A6,1.0
18,STANDARD,1726.0777587890625,307.8916320800781,0.0,307.8916320800781,18,2018-01-01,0,42,17,R_A6,1.0
19,STANDARD,1727.2855224609375,307.8489990234375,0.0,307.8489990234375,26,2018-01-01,0,42,17,R_A6,1.0
20,STANDARD,1729.00537109375,308.3177795410156,0.0,308.3177795410156,27,2018-01-01,0,42,17,R_A6,1.0
21,STANDARD,1730.725341796875,308.1750183105469,0.0,308.1750183105469,28,2018-01-01,0,42,17,R_A6,1.0
22,STANDARD,1732.4453125,308.6438293457031,0.0,308.6438293457031,29,2018-01-01,0,42,17,R_A6,1.0
23,STANDARD,1734.165283203125,308.5010681152344,0.0,308.5010681152344,30,2018-01-01,0,42,17,R_A6,1.0
1,STANDARD,1640.0118408203125,298.5465087890625,0.0,298.5465087890625,1,2018-03-01,0,30,22,R_A2,0.052927758544683456
2,STANDARD,1641.8089599609375,298.6669616699219,0.0,298.6669616699219,2,2018-03-01,0,30,22,R_A2,0.05566975846886635
3,STANDARD,1643.606201171875,298.78741455078125,0.0,298.78741455078125,3,2018-03-01,0,30,22,R_A2,0.05844647064805031
4,STANDARD,1645.4033203125,298.9078674316406,0.0,298.9078674316406,4,2018-03-01,0,30,22,R_A2,0.06436920166015625
5,STANDARD,1647.200439453125,299.0283508300781,0.0,299.0283508300781,5,2018-03-01,0,30,22,R_A2,0.06690200418233871
6,STANDARD,1648.99755859375,299.14886474609375,0.0,299.14886474609375,6,2018-03-01,0,30,22,R_A2,0.16386659443378448
7,STANDARD,1650.7947998046875,299.2799987792969,0.0,299.2799987792969,7,2018-03-01,0,30,22,R_A2,0.6483031511306763
8,STANDARD,1652.5919189453125,299.4102478027344,0.0,299.4102478027344,8,2018-03-01,0,30,22,R_A2,0.22336366772651672
9,STANDARD,1654.3890380859375,299.5382080078125,0.0,299.5382080078125,9,2018-03-01,0,30,22,R_A2,0.6483736038208008
10,STANDARD,1656.186279296875,299.7916564941406,0.0,299.7916564941406,10,2018-03-01,0,30,22,R_A2,0.9003180265426636
11,STANDARD,1658.064208984375,299.52313232421875,0.0,299.52313232421875,11,2018-03-01,0,30,22,R_A2,0.06993803381919861
12,STANDARD,1660.0230712890625,299.6544494628906,0.0,299.6544494628906,12,2018-03-01,0,30,22,R_A2,0.07175438851118088
13,STANDARD,1661.98193359375,299.7860412597656,0.0,299.7860412597656,13,2018-03-01,0,30,22,R_A2,0.4137214720249176
14,STANDARD,1663.940673828125,299.9180908203125,0.0,299.9180908203125,14,2018-03-01,0,30,22,R_A2,0.47058045864105225
15,STANDARD,1665.8995361328125,300.0594482421875,0.0,300.0594482421875,15,2018-03-01,0,30,22,R_A2,0.647225558757782
16,STANDARD,1667.8583984375,300.1924133300781,0.0,300.1924133300781,16,2018-03-01,0,30,22,R_A2,0.9284005165100098
17,STANDARD,1669.817138671875,300.3249206542969,0.0,300.3249206542969,17,2018-03-01,0,30,22,R_A2,0.8859635591506958
18,STANDARD,1669.3284912109375,300.16070556640625,0.0,300.16070556640625,17,2018-03-01,0,29,22,R_A2,0.8967438340187073
19,STANDARD,1671.349609375,300.296630859375,0.0,300.296630859375,18,2018-03-01,0,29,22,R_A2,0.9362372159957886
20,STANDARD,1672.6441650390625,300.3835144042969,0.0,300.3835144042969,19,2018-03-01,0,29,22,R_A2,0.9127504229545593
21,STANDARD,1673.861083984375,302.5169982910156,-2.469282833761355e-10,302.5169982910156,26,2018-03-01,0,29,22,R_A2,1.0
22,STANDARD,1675.6822509765625,302.6207580566406,1.5703784377813835e-15,302.6207580566406,27,2018-03-01,0,29,22,R_A2,1.0
23,STANDARD,1677.50341796875,302.4172058105469,5.2927446632248035e-15,302.4172058105469,28,2018-03-01,0,29,22,R_A2,1.0
24,STANDARD,1679.3245849609375,301.6831359863281,0.0,301.6831359863281,29,2018-03-01,0,29,22,R_A2,0.8445965647697449
25,STANDARD,1681.145751953125,301.5697326660156,6.875359304103767e-08,301.5697326660156,30,2018-03-01,0,29,22,R_A2,1.0000007152557373
1,STANDARD,1683.7830810546875,275.85150146484375,-1.9376947962834734e-12,275.85150146484375,1,2018-04-28,0,20,31,R_A5,1.0
2,STANDARD,1686.0137939453125,276.062744140625,-2.1153640904908455e-12,276.062744140625,2,2018-04-28,0,20,31,R_A5,1.0
3,STANDARD,1688.2445068359375,276.2739562988281,-1.9834463932388857e-12,276.2739562988281,3,2018-04-28,0,20,31,R_A5,1.0
4,STANDARD,1690.4752197265625,276.4851989746094,-2.053439016047598e-12,276.4851989746094,4,2018-04-28,0,20,31,R_A5,1.0
5,STANDARD,1692.7060546875,276.6963806152344,-1.919001199265913e-12,276.6963806152344,5,2018-04-28,0,20,31,R_A5,1.0
6,STANDARD,1694.936767578125,276.90753173828125,-1.5605083414707566e-12,276.90753173828125,6,2018-04-28,0,20,31,R_A5,1.0
7,STANDARD,1697.16748046875,277.43975830078125,0.0,277.43975830078125,7,2018-04-28,0,20,31,R_A5,1.0
8,STANDARD,1705.9266357421875,283.0101623535156,-5.67884931787499e-13,283.0101623535156,11,2018-04-28,0,20,31,R_A5,1.0
9,STANDARD,1707.830078125,283.24444580078125,-5.888911320389711e-13,283.24444580078125,12,2018-04-28,0,20,31,R_A5,1.0
10,STANDARD,1704.6669921875,282.25518798828125,-6.883554837244787e-11,282.25518798828125,12,2018-04-28,0,21,31,R_A5,1.0
11,STANDARD,1706.595947265625,282.4500732421875,-2.5843554726789897e-12,282.4500732421875,13,2018-04-28,0,21,31,R_A5,1.0
12,STANDARD,1708.5247802734375,282.6329650878906,-3.5452604393859666e-12,282.6329650878906,14,2018-04-28,0,21,31,R_A5,1.0
13,STANDARD,1710.4537353515625,282.8192138671875,-5.590022260186511e-13,282.8192138671875,15,2018-04-28,0,21,31,R_A5,1.0
14,STANDARD,1712.382568359375,283.1085510253906,-9.769024781822178e-14,283.1085510253906,16,2018-04-28,0,21,31,R_A5,1.0
15,STANDARD,1714.296630859375,283.2864074707031,-8.363784247426495e-14,283.2864074707031,17,2018-04-28,0,21,31,R_A5,1.0
16,STANDARD,1715.8243408203125,283.4272155761719,-1.576135462378822e-13,283.4272155761719,18,2018-04-28,0,21,31,R_A5,1.0
17,STANDARD,1716.5732421875,283.4964599609375,0.0,283.4964599609375,19,2018-04-28,0,21,31,R_A5,1.0
18,STANDARD,1717.863037109375,283.68280029296875,-2.7406917881001025e-13,283.68280029296875,26,2018-04-28,0,21,31,R_A5,1.0
19,STANDARD,1720.100830078125,283.6477966308594,-3.841490927442015e-13,283.6477966308594,27,2018-04-28,0,21,31,R_A5,1.0
20,STANDARD,1722.338623046875,284.2596435546875,-1.404149555959619e-13,284.2596435546875,28,2018-04-28,0,21,31,R_A5,1.0
21,STANDARD,1724.576416015625,284.672607421875,-5.306132527175926e-14,284.672607421875,29,2018-04-28,0,21,31,R_A5,1.0
22,STANDARD,1726.814208984375,284.64459228515625,-1.3563180135681302e-21,284.64459228515625,30,2018-04-28,0,21,31,R_A5,1.0
1,STANDARD,1606.2474365234375,279.72369384765625,0.0,279.72369384765625,1,2018-07-03,0,41,28,R_A3,0.22448962926864624
2,STANDARD,1608.1845703125,279.8526916503906,0.0,279.8526916503906,2,2018-07-03,0,41,28,R_A3,0.19072286784648895
3,STANDARD,1603.4696044921875,279.5244140625,0.0,279.5244140625,2,2018-07-03,0,41,29,R_A3,0.19009381532669067
4,STANDARD,1605.51611328125,279.6609802246094,0.0,279.6609802246094,3,2018-07-03,0,41,29,R_A3,0.1879197359085083
5,STANDARD,1607.562744140625,279.8143005371094,0.0,279.8143005371094,4,2018-07-03,0,41,29,R_A3,0.35492825508117676
6,STANDARD,1609.609375,280.0506896972656,0.0,280.0506896972656,5,2018-07-03,0,41,29,R_A3,0.8059855699539185
7,STANDARD,1611.656005859375,280.1380310058594,0.0,280.1380310058594,6,2018-07-03,0,41,29,R_A3,0.649340033531189
8,STANDARD,1613.7025146484375,280.2732238769531,0.0,280.2732238769531,7,2018-07-03,0,41,29,R_A3,0.1958174854516983
9,STANDARD,1615.7491455078125,280.4097595214844,0.0,280.4097595214844,8,2018-07-03,0,41,29,R_A3,0.20047825574874878
10,STANDARD,1617.795654296875,280.6229553222656,0.0,280.6229553222656,9,2018-07-03,0,41,29,R_A3,0.7966752052307129
11,STANDARD,1619.84228515625,280.802978515625,0.0,280.802978515625,10,2018-07-03,0,41,29,R_A3,0.8025950193405151
12,STANDARD,1621.9984130859375,283.5106201171875,0.0,283.5106201171875,11,2018-07-03,0,41,29,R_A3,0.04807623475790024
13,STANDARD,1624.2640380859375,283.6618957519531,0.0,283.6618957519531,12,2018-07-03,0,41,29,R_A3,0.054501306265592575
14,STANDARD,1626.5296630859375,283.8135986328125,0.0,283.8135986328125,13,2018-07-03,0,41,29,R_A3,0.373524934053421
15,STANDARD,1628.7952880859375,283.9678649902344,0.0,283.9678649902344,14,2018-07-03,0,41,29,R_A3,0.14555078744888306
16,STANDARD,1631.0609130859375,284.16571044921875,0.0,284.16571044921875,15,2018-07-03,0,41,29,R_A3,0.49696874618530273
17,STANDARD,1632.8486328125,284.31280517578125,0.0,284.31280517578125,16,2018-07-03,0,41,29,R_A3,0.8124938607215881
18,STANDARD,1635.2281494140625,288.6403503417969,-1.0896689772721402e-08,288.6403503417969,26,2018-07-03,0,41,29,R_A3,0.9999998211860657
19,STANDARD,1638.677490234375,283.328369140625,0.0,283.328369140625,27,2018-07-03,0,41,29,R_A3,0.04476962238550186
20,STANDARD,1642.1268310546875,283.55865478515625,0.0,283.55865478515625,28,2018-07-03,0,41,29,R_A3,0.05040738359093666
21,STANDARD,1645.576171875,287.73681640625,0.0,287.73681640625,29,2018-07-03,0,41,29,R_A3,0.8129560947418213
22,STANDARD,1649.0255126953125,283.8774108886719,0.0,283.8774108886719,30,2018-07-03,0,41,29,R_A3,0.06130329146981239
1,STANDARD,1629.7734375,274.9073486328125,0.0,274.9073486328125,1,2018-09-12,0,52,30,R_A4,0.0507408082485199
2,STANDARD,1625.9796142578125,274.7923278808594,0.0,274.7923278808594,1,2018-09-12,0,52,31,R_A4,0.049869418144226074
3,STANDARD,1628.0458984375,274.9299621582031,0.0,274.9299621582031,2,2018-09-12,0,52,31,R_A4,0.04959874972701073
4,STANDARD,1630.1121826171875,275.06756591796875,0.0,275.06756591796875,3,2018-09-12,0,52,31,R_A4,0.05082743242383003
5,STANDARD,1632.178466796875,275.2051696777344,0.0,275.2051696777344,4,2018-09-12,0,52,31,R_A4,0.05246558412909508
6,STANDARD,1634.2447509765625,275.3427429199219,0.0,275.3427429199219,5,2018-09-12,0,52,31,R_A4,0.05576828122138977
7,STANDARD,1631.8759765625,275.33575439453125,0.0,275.33575439453125,5,2018-09-12,0,52,32,R_A4,0.05438798666000366
8,STANDARD,1635.57958984375,275.4083557128906,0.0,275.4083557128906,5,2018-09-12,0,51,32,R_A4,0.05678758770227432
9,STANDARD,1635.8045654296875,275.6094970703125,0.0,275.6094970703125,5,2018-09-12,0,51,33,R_A4,0.05706292763352394
10,STANDARD,1642.5968017578125,275.81890869140625,0.0,275.81890869140625,5,2018-09-12,0,50,33,R_A4,0.06259410828351974
11,STANDARD,1641.246826171875,276.0063171386719,0.0,276.0063171386719,5,2018-09-12,0,50,34,R_A4,0.061093512922525406
12,STANDARD,1639.360595703125,275.87933349609375,0.0,275.87933349609375,4,2018-09-12,0,50,34,R_A4,0.1334657222032547
13,STANDARD,1639.6702880859375,276.34405517578125,0.0,276.34405517578125,4,2018-09-12,0,50,35,R_A4,0.13668948411941528
14,STANDARD,1637.875,276.22674560546875,0.0,276.22674560546875,3,2018-09-12,0,50,35,R_A4,0.1995210498571396
15,STANDARD,1642.774169921875,278.2582702636719,0.0,278.2582702636719,30,2018-09-12,0,49,35,R_A4,0.13366401195526123
16,STANDARD,1636.763916015625,277.8607482910156,0.0,277.8607482910156,29,2018-09-12,0,49,35,R_A4,0.2129175066947937
17,STANDARD,1643.4814453125,278.3072204589844,0.0,278.3072204589844,29,2018-09-12,0,49,36,R_A4,0.0920858159661293
18,STANDARD,1643.6949462890625,278.3571472167969,0.0,278.3571472167969,29,2018-09-12,0,48,36,R_A4,0.09353797882795334
19,STANDARD,1650.5875244140625,278.83050537109375,0.0,278.83050537109375,29,2018-09-12,0,48,37,R_A4,0.22614319622516632
20,STANDARD,1645.025390625,278.4615478515625,0.0,278.4615478515625,28,2018-09-12,0,48,37,R_A4,0.25910645723342896
21,STANDARD,1649.2371826171875,278.76885986328125,0.0,278.76885986328125,28,2018-09-12,0,48,38,R_A4,0.16483952105045319
22,STANDARD,1657.9501953125,279.3954162597656,0.0,279.3954162597656,28,2018-09-12,0,47,38,R_A4,0.2624131441116333
1,STANDARD,1694.8369140625,267.8008117675781,4.5729673520122915e-11,267.8008117675781,1,2018-11-07,0,42,17,R_A6,1.0
2,STANDARD,1696.3812255859375,267.96051025390625,5.567984224727485e-13,267.96051025390625,2,2018-11-07,0,42,17,R_A6,1.0
3,STANDARD,1697.925537109375,268.126953125,3.764572475365574e-13,268.126953125,3,2018-11-07,0,42,17,R_A6,1.0
4,STANDARD,1699.4698486328125,268.29693603515625,2.196563379320074e-13,268.29693603515625,4,2018-11-07,0,42,17,R_A6,1.0
5,STANDARD,1701.01416015625,268.4638671875,3.5719425464306176e-13,268.4638671875,5,2018-11-07,0,42,17,R_A6,1.0
6,STANDARD,1702.55859375,268.3189697265625,8.769041916212306e-12,268.3189697265625,6,2018-11-07,0,42,17,R_A6,1.0
7,STANDARD,1704.1029052734375,268.4655456542969,1.2552250905351059e-11,268.4655456542969,7,2018-11-07,0,42,17,R_A6,1.0
8,STANDARD,1705.647216796875,268.6230163574219,8.070247595193258e-12,268.6230163574219,8,2018-11-07,0,42,17,R_A6,1.0
9,STANDARD,1707.1915283203125,269.111572265625,3.969148414887519e-13,269.111572265625,9,2018-11-07,0,42,17,R_A6,1.0
