SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,22,0,0.9864237904548645,18,29,R_A2,302.8672180175781,STANDARD,302.8672180175781,18,2018-01-01,1673.500244140625
0.0,22,0,1.0,25,29,R_A2,302.980712890625,STANDARD,302.980712890625,19,2018-01-01,1675.1917724609375
0.0,22,0,1.0,26,29,R_A2,303.1011962890625,STANDARD,303.1011962890625,20,2018-01-01,1676.9879150390625
0.0,22,0,1.0,27,29,R_A2,303.5583190917969,STANDARD,303.5583190917969,21,2018-01-01,1678.7840576171875
0.0,22,0,1.0,28,29,R_A2,303.728515625,STANDARD,303.728515625,22,2018-01-01,1680.5802001953125
0.0,22,0,1.0,29,29,R_A2,303.8987121582031,STANDARD,303.8987121582031,23,2018-01-01,1682.376220703125
0.0,28,0,0.6481541991233826,1,41,R_A3,298.5478210449219,STANDARD,298.5478210449219,1,2018-01-01,1609.08251953125
0.0,28,0,0.1565348207950592,2,41,R_A3,298.68896484375,STANDARD,298.68896484375,2,2018-01-01,1611.188720703125
0.0,28,0,0.11823459714651108,3,41,R_A3,298.8301086425781,STANDARD,298.8301086425781,3,2018-01-01,1613.2947998046875
0.0,28,0,0.29147660732269287,4,41,R_A3,298.9712829589844,STANDARD,298.9712829589844,4,2018-01-01,1615.40087890625
0.0,28,0,0.8322668075561523,5,41,R_A3,299.1124267578125,STANDARD,299.1124267578125,5,2018-01-01,1617.5069580078125
0.0,28,0,0.21365417540073395,6,41,R_A3,299.25360107421875,STANDARD,299.25360107421875,6,2018-01-01,1619.613037109375
0.0,29,0,0.16694149374961853,6,41,R_A3,298.6473388671875,STANDARD,298.6473388671875,7,2018-01-01,1610.5675048828125
0.0,29,0,0.07174521684646606,7,41,R_A3,298.7733459472656,STANDARD,298.7733459472656,8,2018-01-01,1612.447509765625
0.0,29,0,0.09007331728935242,8,41,R_A3,298.8993225097656,STANDARD,298.8993225097656,9,2018-01-01,1614.3275146484375
0.0,29,0,0.6481541991233826,9,41,R_A3,299.02532958984375,STANDARD,299.02532958984375,10,2018-01-01,1616.20751953125
0.0,29,0,0.8006875514984131,10,41,R_A3,299.1513366699219,STANDARD,299.1513366699219,11,2018-01-01,1618.0875244140625
0.0,29,0,0.04829813912510872,11,41,R_A3,299.29119873046875,STANDARD,299.29119873046875,12,2018-01-01,1620.174072265625
0.0,29,0,0.05667639896273613,12,41,R_A3,299.4449157714844,STANDARD,299.4449157714844,13,2018-01-01,1622.46728515625
0.0,29,0,0.37282299995422363,13,41,R_A3,299.5986328125,STANDARD,299.5986328125,14,2018-01-01,1624.7603759765625
0.0,29,0,0.49934276938438416,15,41,R_A3,299.90521240234375,STANDARD,299.90521240234375,15,2018-01-01,1629.33349609375
0.0,29,0,0.8061588406562805,16,41,R_A3,300.0220642089844,STANDARD,300.0220642089844,16,2018-01-01,1631.0767822265625
