DRAWDOWN,SWAT,PRESSURE,CONKPOS,CONBPRES,CONIPOS,DATE,WELL,CONIDX,WELLMODEL,CONJPOS,DEPTH,SGAS
0,0.24799390137195587,298.6829528808594,8,298.6829528808594,29,2018-01-01,R_A3,9,STANDARD,41,1613.46630859375,0.0
0,0.8068946599960327,298.8203430175781,9,298.8203430175781,29,2018-01-01,R_A3,10,STANDARD,41,1615.516357421875,0.0
0,0.8075867295265198,298.9577331542969,10,298.9577331542969,29,2018-01-01,R_A3,11,STANDARD,41,1617.5662841796875,0.0
0,0.05079052224755287,299.1041564941406,11,299.1041564941406,29,2018-01-01,R_A3,12,STANDARD,41,1619.750732421875,0.0
0,0.056396253407001495,299.25958251953125,12,299.25958251953125,29,2018-01-01,R_A3,13,STANDARD,41,1622.0697021484375,0.0
0,0.3780248165130615,299.4150390625,13,299.4150390625,29,2018-01-01,R_A3,14,STANDARD,41,1624.388671875,0.0
0,0.39439302682876587,299.5704650878906,14,299.5704650878906,29,2018-01-01,R_A3,15,STANDARD,41,1626.707763671875,0.0
0,0.5128024220466614,299.7259216308594,15,299.7259216308594,29,2018-01-01,R_A3,16,STANDARD,41,1629.026611328125,0.0
0,0.8274744153022766,299.85467529296875,16,299.85467529296875,29,2018-01-01,R_A3,17,STANDARD,41,1630.9468994140625,0.0
0,1.0,300.027587890625,27,300.027587890625,29,2018-01-01,R_A3,18,STANDARD,41,1633.5262451171875,0.0
0,0.053486987948417664,300.27142333984375,28,300.27142333984375,29,2018-01-01,R_A3,19,STANDARD,41,1637.1630859375,0.0
0,0.08924924582242966,300.5152587890625,29,300.5152587890625,29,2018-01-01,R_A3,20,STANDARD,41,1640.8001708984375,0.0
0,0.6905391812324524,300.7591247558594,30,300.7591247558594,29,2018-01-01,R_A3,21,STANDARD,41,1644.4371337890625,0.0
0,0.10015930235385895,301.0030212402344,31,301.0030212402344,29,2018-01-01,R_A3,22,STANDARD,41,1648.0740966796875,0.0
0,0.05256678909063339,299.87078857421875,1,299.87078857421875,30,2018-01-01,R_A4,1,STANDARD,52,1631.1873779296875,0.0
0,0.06514928489923477,299.6188659667969,1,299.6188659667969,31,2018-01-01,R_A4,2,STANDARD,52,1627.4293212890625,0.0
0,0.06960047781467438,299.7569580078125,2,299.7569580078125,31,2018-01-01,R_A4,3,STANDARD,52,1629.4896240234375,0.0
0,0.05678672716021538,299.89508056640625,3,299.89508056640625,31,2018-01-01,R_A4,4,STANDARD,52,1631.5498046875,0.0
0,0.06081501021981239,300.033203125,4,300.033203125,31,2018-01-01,R_A4,5,STANDARD,52,1633.610107421875,0.0
0,0.05964447185397148,299.9518737792969,4,299.9518737792969,32,2018-01-01,R_A4,6,STANDARD,52,1632.3968505859375,0.0
0,0.06337389349937439,300.1854248046875,4,300.1854248046875,32,2018-01-01,R_A4,7,STANDARD,51,1635.880615234375,0.0
0,0.06449484080076218,300.2820129394531,4,300.2820129394531,33,2018-01-01,R_A4,8,STANDARD,51,1637.321044921875,0.0
0,0.0623403862118721,300.158203125,3,300.158203125,33,2018-01-01,R_A4,9,STANDARD,51,1635.474609375,0.0
0,0.0688166618347168,300.6056823730469,4,300.6056823730469,33,2018-01-01,R_A4,10,STANDARD,50,1642.1485595703125,0.0
0,0.065479576587677,300.5375061035156,4,300.5375061035156,34,2018-01-01,R_A4,11,STANDARD,50,1641.132080078125,0.0
0,0.10659368336200714,300.408447265625,3,300.408447265625,34,2018-01-01,R_A4,12,STANDARD,50,1639.20703125,0.0
0,0.1036742553114891,300.5223693847656,3,300.5223693847656,35,2018-01-01,R_A4,13,STANDARD,50,1640.9061279296875,0.0
0,0.20953188836574554,300.3974304199219,2,300.3974304199219,35,2018-01-01,R_A4,14,STANDARD,50,1639.0426025390625,0.0
0,0.24962851405143738,300.5911560058594,2,300.5911560058594,35,2018-01-01,R_A4,15,STANDARD,49,1641.93212890625,0.0
0,0.057539720088243484,300.61968994140625,30,300.61968994140625,36,2018-01-01,R_A4,16,STANDARD,49,1642.357421875,0.0
0,0.09236535429954529,300.43524169921875,30,300.43524169921875,36,2018-01-01,R_A4,17,STANDARD,48,1639.6068115234375,0.0
0,0.18653729557991028,300.914306640625,30,300.914306640625,37,2018-01-01,R_A4,18,STANDARD,48,1646.7513427734375,0.0
0,0.32583004236221313,301.36431884765625,30,301.36431884765625,38,2018-01-01,R_A4,19,STANDARD,48,1653.461669921875,0.0
0,0.16371329128742218,301.656494140625,30,301.656494140625,38,2018-01-01,R_A4,20,STANDARD,47,1657.8184814453125,0.0
0,1.0,303.8440856933594,1,303.8440856933594,31,2018-01-01,R_A5,1,STANDARD,20,1685.026611328125,0.0
0,1.0,304.0601806640625,2,304.0601806640625,31,2018-01-01,R_A5,2,STANDARD,20,1687.3070068359375,0.0
0,1.0,304.27630615234375,3,304.27630615234375,31,2018-01-01,R_A5,3,STANDARD,20,1689.5875244140625,0.0
0,1.0,304.4924011230469,4,304.4924011230469,31,2018-01-01,R_A5,4,STANDARD,20,1691.8680419921875,0.0
0,1.0,304.7085266113281,5,304.7085266113281,31,2018-01-01,R_A5,5,STANDARD,20,1694.1485595703125,0.0
0,1.0,304.9246520996094,6,304.9246520996094,31,2018-01-01,R_A5,6,STANDARD,20,1696.4290771484375,0.0
0,1.0,305.446533203125,7,305.446533203125,31,2018-01-01,R_A5,7,STANDARD,20,1698.70947265625,0.0
0,1.0,305.988037109375,11,305.988037109375,31,2018-01-01,R_A5,8,STANDARD,20,1707.6488037109375,0.0
0,1.0,306.1695251464844,12,306.1695251464844,31,2018-01-01,R_A5,9,STANDARD,20,1709.5638427734375,0.0
0,1.0,305.4322814941406,12,305.4322814941406,31,2018-01-01,R_A5,10,STANDARD,21,1701.7845458984375,0.0
0,1.0,305.6291198730469,13,305.6291198730469,31,2018-01-01,R_A5,11,STANDARD,21,1703.735107421875,0.0
0,1.0,305.81396484375,14,305.81396484375,31,2018-01-01,R_A5,12,STANDARD,21,1705.6856689453125,0.0
0,1.0,305.9988098144531,15,305.9988098144531,31,2018-01-01,R_A5,13,STANDARD,21,1707.63623046875,0.0
