CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIPOS,DRAWDOWN,DEPTH,SGAS,DATE,WELL,CONIDX,CONJPOS,CONBPRES
11,1.0,305.988037109375,STANDARD,31,0,1707.6488037109375,0.0,2018-01-01,R_A5,8,20,305.988037109375
12,1.0,306.1695251464844,STANDARD,31,0,1709.5638427734375,0.0,2018-01-01,R_A5,9,20,306.1695251464844
12,1.0,305.4322814941406,STANDARD,31,0,1701.7845458984375,0.0,2018-01-01,R_A5,10,21,305.4322814941406
13,1.0,305.6291198730469,STANDARD,31,0,1703.735107421875,0.0,2018-01-01,R_A5,11,21,305.6291198730469
14,1.0,305.81396484375,STANDARD,31,0,1705.6856689453125,0.0,2018-01-01,R_A5,12,21,305.81396484375
15,1.0,305.9988098144531,STANDARD,31,0,1707.63623046875,0.0,2018-01-01,R_A5,13,21,305.9988098144531
16,1.0,306.1836853027344,STANDARD,31,0,1709.5867919921875,0.0,2018-01-01,R_A5,14,21,306.1836853027344
17,1.0,306.5135498046875,STANDARD,31,0,1711.537353515625,0.0,2018-01-01,R_A5,15,21,306.5135498046875
18,1.0,306.6856994628906,STANDARD,31,0,1713.35400390625,0.0,2018-01-01,R_A5,16,21,306.6856994628906
19,1.0,306.7843933105469,STANDARD,31,0,1714.3951416015625,0.0,2018-01-01,R_A5,17,21,306.7843933105469
27,1.0,306.75689697265625,STANDARD,31,0,1715.7628173828125,0.0,2018-01-01,R_A5,18,21,306.75689697265625
28,1.0,306.978271484375,STANDARD,31,0,1718.098388671875,0.0,2018-01-01,R_A5,19,21,306.978271484375
29,1.0,307.5054016113281,STANDARD,31,0,1720.43408203125,0.0,2018-01-01,R_A5,20,21,307.5054016113281
30,1.0,307.7267761230469,STANDARD,31,0,1722.7696533203125,0.0,2018-01-01,R_A5,21,21,307.7267761230469
31,1.0,307.9481506347656,STANDARD,31,0,1725.105224609375,0.0,2018-01-01,R_A5,22,21,307.9481506347656
1,1.0,305.11419677734375,STANDARD,17,0,1695.20263671875,0.0,2018-01-01,R_A6,1,42,305.11419677734375
2,1.0,305.2609558105469,STANDARD,17,0,1696.7510986328125,0.0,2018-01-01,R_A6,2,42,305.2609558105469
3,1.0,305.4076843261719,STANDARD,17,0,1698.299560546875,0.0,2018-01-01,R_A6,3,42,305.4076843261719
4,1.0,305.554443359375,STANDARD,17,0,1699.84814453125,0.0,2018-01-01,R_A6,4,42,305.554443359375
5,1.0,305.7012023925781,STANDARD,17,0,1701.3966064453125,0.0,2018-01-01,R_A6,5,42,305.7012023925781
6,1.0,305.84796142578125,STANDARD,17,0,1702.9451904296875,0.0,2018-01-01,R_A6,6,42,305.84796142578125
7,1.0,305.6956481933594,STANDARD,17,0,1704.49365234375,0.0,2018-01-01,R_A6,7,42,305.6956481933594
8,1.0,305.8424072265625,STANDARD,17,0,1706.042236328125,0.0,2018-01-01,R_A6,8,42,305.8424072265625
9,1.0,306.2882080078125,STANDARD,17,0,1707.5906982421875,0.0,2018-01-01,R_A6,9,42,306.2882080078125
10,1.0,306.1291809082031,STANDARD,17,0,1709.1392822265625,0.0,2018-01-01,R_A6,10,42,306.1291809082031
