WELLMODEL,CONJPOS,DEPTH,WELL,DATE,CONIPOS,SWAT,SGAS,PRESSURE,CONIDX,CONBPRES,DRAWDOWN,CONKPOS
STANDARD,50,1642.9168701171875,R_A4,2018-01-01,33,0.059762269258499146,0.0,300.9256896972656,9,300.9256896972656,0,4
STANDARD,50,1640.6259765625,R_A4,2018-01-01,34,0.06086621806025505,0.0,300.7720642089844,10,300.7720642089844,0,4
STANDARD,50,1638.7874755859375,R_A4,2018-01-01,34,0.09601987898349762,0.0,300.6488037109375,11,300.6488037109375,0,3
STANDARD,50,1640.7904052734375,R_A4,2018-01-01,35,0.058067433536052704,0.0,300.7830810546875,12,300.7830810546875,0,4
STANDARD,50,1639.0244140625,R_A4,2018-01-01,35,0.13807806372642517,0.0,300.6646728515625,13,300.6646728515625,0,3
STANDARD,49,1643.9927978515625,R_A4,2018-01-01,35,0.2289925515651703,0.0,300.9978332519531,14,300.9978332519531,0,3
STANDARD,49,1642.2301025390625,R_A4,2018-01-01,35,0.22284972667694092,0.0,300.879638671875,15,300.879638671875,0,2
STANDARD,49,1641.3201904296875,R_A4,2018-01-01,36,0.054761748760938644,0.0,300.8186340332031,16,300.8186340332031,0,28
STANDARD,48,1640.835693359375,R_A4,2018-01-01,36,0.18513846397399902,0.0,300.7861328125,17,300.7861328125,0,28
STANDARD,48,1647.133544921875,R_A4,2018-01-01,37,0.30165183544158936,0.0,301.2084655761719,18,301.2084655761719,0,28
STANDARD,48,1650.5142822265625,R_A4,2018-01-01,38,0.6481541991233826,0.0,301.4351806640625,19,301.4351806640625,0,28
STANDARD,47,1660.1334228515625,R_A4,2018-01-01,38,0.6481541991233826,0.0,302.080322265625,20,302.080322265625,0,28
STANDARD,20,1685.194091796875,R_A5,2018-01-01,31,1.0,0.0,303.8599548339844,1,303.8599548339844,0,1
STANDARD,20,1687.3074951171875,R_A5,2018-01-01,31,1.0,0.0,304.06024169921875,2,304.06024169921875,0,2
STANDARD,20,1689.4210205078125,R_A5,2018-01-01,31,1.0,0.0,304.2605285644531,3,304.2605285644531,0,3
STANDARD,20,1691.5345458984375,R_A5,2018-01-01,31,1.0,0.0,304.4608154296875,4,304.4608154296875,0,4
STANDARD,20,1693.6480712890625,R_A5,2018-01-01,31,1.0,0.0,304.6611022949219,5,304.6611022949219,0,5
STANDARD,20,1695.7615966796875,R_A5,2018-01-01,31,1.0,0.0,304.86138916015625,6,304.86138916015625,0,6
STANDARD,20,1697.875,R_A5,2018-01-01,31,1.0,0.0,305.3674621582031,7,305.3674621582031,0,7
STANDARD,20,1699.988525390625,R_A5,2018-01-01,31,1.0,0.0,305.5677490234375,8,305.5677490234375,0,8
STANDARD,21,1701.0543212890625,R_A5,2018-01-01,31,1.0,0.0,305.36309814453125,9,305.36309814453125,0,11
STANDARD,21,1703.00341796875,R_A5,2018-01-01,31,1.0,0.0,305.54779052734375,10,305.54779052734375,0,12
STANDARD,21,1704.9522705078125,R_A5,2018-01-01,31,1.0,0.0,305.7444763183594,11,305.7444763183594,0,13
STANDARD,21,1706.9012451171875,R_A5,2018-01-01,31,1.0,0.0,305.9291687011719,12,305.9291687011719,0,14
STANDARD,21,1708.8502197265625,R_A5,2018-01-01,31,1.0,0.0,306.1138610839844,13,306.1138610839844,0,15
STANDARD,21,1710.7991943359375,R_A5,2018-01-01,31,1.0,0.0,306.443603515625,14,306.443603515625,0,16
STANDARD,21,1712.7481689453125,R_A5,2018-01-01,31,1.0,0.0,306.6282958984375,15,306.6282958984375,0,17
STANDARD,21,1714.2554931640625,R_A5,2018-01-01,31,1.0,0.0,306.7711486816406,16,306.7711486816406,0,18
STANDARD,21,1715.001708984375,R_A5,2018-01-01,31,1.0,0.0,306.8418884277344,17,306.8418884277344,0,19
STANDARD,21,1716.3375244140625,R_A5,2018-01-01,31,1.0,0.0,306.8113708496094,18,306.8113708496094,0,25
