PRESSURE,DRAWDOWN,WELLMODEL,CONIDX,DATE,WELL,CONBPRES,SGAS,CONJPOS,CONIPOS,CONKPOS,DEPTH,SWAT
302.6864929199219,0,STANDARD,17,2018-01-01,R_A2,302.6864929199219,0.0,30,22,17,1671.111572265625,0.9681722521781921
302.8123779296875,0,STANDARD,18,2018-01-01,R_A2,302.8123779296875,0.0,30,22,18,1672.9881591796875,0.988319993019104
302.89569091796875,0,STANDARD,19,2018-01-01,R_A2,302.89569091796875,0.0,29,22,18,1674.229736328125,0.9956573843955994
303.02569580078125,0,STANDARD,20,2018-01-01,R_A2,303.02569580078125,0.0,29,22,27,1676.1676025390625,1.0
303.47802734375,0,STANDARD,21,2018-01-01,R_A2,303.47802734375,0.0,29,22,28,1677.9368896484375,1.0
303.64569091796875,0,STANDARD,22,2018-01-01,R_A2,303.64569091796875,0.0,29,22,29,1679.7061767578125,1.0
303.8133544921875,0,STANDARD,23,2018-01-01,R_A2,303.8133544921875,0.0,29,22,30,1681.4754638671875,1.0
303.98101806640625,0,STANDARD,24,2018-01-01,R_A2,303.98101806640625,0.0,29,22,31,1683.2447509765625,1.0
298.53814697265625,0,STANDARD,1,2018-01-01,R_A3,298.53814697265625,0.0,41,28,1,1609.243408203125,0.6481541991233826
298.676513671875,0,STANDARD,2,2018-01-01,R_A3,298.676513671875,0.0,41,28,2,1611.3077392578125,0.19344687461853027
298.8148498535156,0,STANDARD,3,2018-01-01,R_A3,298.8148498535156,0.0,41,28,3,1613.3720703125,0.19432701170444489
298.9532165527344,0,STANDARD,4,2018-01-01,R_A3,298.9532165527344,0.0,41,28,4,1615.4365234375,0.24996744096279144
299.0915832519531,0,STANDARD,5,2018-01-01,R_A3,299.0915832519531,0.0,41,28,5,1617.5008544921875,0.6481541991233826
299.2299499511719,0,STANDARD,6,2018-01-01,R_A3,299.2299499511719,0.0,41,28,6,1619.565185546875,0.1498473584651947
298.54638671875,0,STANDARD,7,2018-01-01,R_A3,298.54638671875,0.0,41,29,6,1609.3663330078125,0.2754424512386322
298.68377685546875,0,STANDARD,8,2018-01-01,R_A3,298.68377685546875,0.0,41,29,7,1611.4163818359375,0.19882161915302277
298.8211669921875,0,STANDARD,9,2018-01-01,R_A3,298.8211669921875,0.0,41,29,8,1613.46630859375,0.1460786610841751
298.95855712890625,0,STANDARD,10,2018-01-01,R_A3,298.95855712890625,0.0,41,29,9,1615.516357421875,0.6481541991233826
299.095947265625,0,STANDARD,11,2018-01-01,R_A3,299.095947265625,0.0,41,29,10,1617.5662841796875,0.8030344843864441
299.24237060546875,0,STANDARD,12,2018-01-01,R_A3,299.24237060546875,0.0,41,29,11,1619.750732421875,0.04831019043922424
299.3978271484375,0,STANDARD,13,2018-01-01,R_A3,299.3978271484375,0.0,41,29,12,1622.0697021484375,0.053891588002443314
299.5532531738281,0,STANDARD,14,2018-01-01,R_A3,299.5532531738281,0.0,41,29,13,1624.388671875,0.37262097001075745
299.7087097167969,0,STANDARD,15,2018-01-01,R_A3,299.7087097167969,0.0,41,29,14,1626.707763671875,0.3456023037433624
299.8641662597656,0,STANDARD,16,2018-01-01,R_A3,299.8641662597656,0.0,41,29,15,1629.026611328125,0.49332767724990845
299.992919921875,0,STANDARD,17,2018-01-01,R_A3,299.992919921875,0.0,41,29,16,1630.9468994140625,0.8019264936447144
300.16583251953125,0,STANDARD,18,2018-01-01,R_A3,300.16583251953125,0.0,41,29,27,1633.5262451171875,0.6481541991233826
300.40966796875,0,STANDARD,19,2018-01-01,R_A3,300.40966796875,0.0,41,29,28,1637.1630859375,0.04582946002483368
300.6535339355469,0,STANDARD,20,2018-01-01,R_A3,300.6535339355469,0.0,41,29,29,1640.8001708984375,0.05228268727660179
300.89739990234375,0,STANDARD,21,2018-01-01,R_A3,300.89739990234375,0.0,41,29,30,1644.4371337890625,0.6481541991233826
301.14129638671875,0,STANDARD,22,2018-01-01,R_A3,301.14129638671875,0.0,41,29,31,1648.0740966796875,0.06127921864390373
300.009033203125,0,STANDARD,1,2018-01-01,R_A4,300.009033203125,0.0,52,30,1,1631.1873779296875,0.05178655683994293
299.7571105957031,0,STANDARD,2,2018-01-01,R_A4,299.7571105957031,0.0,52,31,1,1627.4293212890625,0.050683874636888504
299.89520263671875,0,STANDARD,3,2018-01-01,R_A4,299.89520263671875,0.0,52,31,2,1629.4896240234375,0.051592472940683365
300.0333251953125,0,STANDARD,4,2018-01-01,R_A4,300.0333251953125,0.0,52,31,3,1631.5498046875,0.053491584956645966
300.17144775390625,0,STANDARD,5,2018-01-01,R_A4,300.17144775390625,0.0,52,31,4,1633.610107421875,0.6481541991233826
300.0901184082031,0,STANDARD,6,2018-01-01,R_A4,300.0901184082031,0.0,52,32,4,1632.3968505859375,0.05713524669408798
300.3236999511719,0,STANDARD,7,2018-01-01,R_A4,300.3236999511719,0.0,51,32,4,1635.880615234375,0.6481541991233826
300.4202575683594,0,STANDARD,8,2018-01-01,R_A4,300.4202575683594,0.0,51,33,4,1637.321044921875,0.6481541991233826
300.29644775390625,0,STANDARD,9,2018-01-01,R_A4,300.29644775390625,0.0,51,33,3,1635.474609375,0.05947340279817581
300.74395751953125,0,STANDARD,10,2018-01-01,R_A4,300.74395751953125,0.0,50,33,4,1642.1485595703125,0.6481541991233826
300.67578125,0,STANDARD,11,2018-01-01,R_A4,300.67578125,0.0,50,34,4,1641.132080078125,0.09878486394882202
300.5467224121094,0,STANDARD,12,2018-01-01,R_A4,300.5467224121094,0.0,50,34,3,1639.20703125,0.15478037297725677
300.66064453125,0,STANDARD,13,2018-01-01,R_A4,300.66064453125,0.0,50,35,3,1640.9061279296875,0.2293243557214737
300.53570556640625,0,STANDARD,14,2018-01-01,R_A4,300.53570556640625,0.0,50,35,2,1639.0426025390625,0.2288455367088318
300.72943115234375,0,STANDARD,15,2018-01-01,R_A4,300.72943115234375,0.0,49,35,2,1641.93212890625,0.24109753966331482
300.7579650878906,0,STANDARD,16,2018-01-01,R_A4,300.7579650878906,0.0,49,36,30,1642.357421875,0.05171753093600273
300.5735168457031,0,STANDARD,17,2018-01-01,R_A4,300.5735168457031,0.0,48,36,30,1639.6068115234375,0.194771870970726
301.0526123046875,0,STANDARD,18,2018-01-01,R_A4,301.0526123046875,0.0,48,37,30,1646.7513427734375,0.09849477559328079
301.5025939941406,0,STANDARD,19,2018-01-01,R_A4,301.5025939941406,0.0,48,38,30,1653.461669921875,0.10194094479084015
301.7947998046875,0,STANDARD,20,2018-01-01,R_A4,301.7947998046875,0.0,47,38,30,1657.8184814453125,0.11428860574960709
303.8440856933594,0,STANDARD,1,2018-01-01,R_A5,303.8440856933594,0.0,20,31,1,1685.026611328125,1.0
304.0601806640625,0,STANDARD,2,2018-01-01,R_A5,304.0601806640625,0.0,20,31,2,1687.3070068359375,1.0
304.58209228515625,0,STANDARD,3,2018-01-01,R_A5,304.58209228515625,0.0,20,31,3,1689.5875244140625,1.0
304.4924011230469,0,STANDARD,4,2018-01-01,R_A5,304.4924011230469,0.0,20,31,4,1691.8680419921875,1.0
304.7085266113281,0,STANDARD,5,2018-01-01,R_A5,304.7085266113281,0.0,20,31,5,1694.1485595703125,1.0
304.9246520996094,0,STANDARD,6,2018-01-01,R_A5,304.9246520996094,0.0,20,31,6,1696.4290771484375,1.0
305.446533203125,0,STANDARD,7,2018-01-01,R_A5,305.446533203125,0.0,20,31,7,1698.70947265625,1.0
305.988037109375,0,STANDARD,8,2018-01-01,R_A5,305.988037109375,0.0,20,31,11,1707.6488037109375,1.0
306.1695251464844,0,STANDARD,9,2018-01-01,R_A5,306.1695251464844,0.0,20,31,12,1709.5638427734375,1.0
305.4322814941406,0,STANDARD,10,2018-01-01,R_A5,305.4322814941406,0.0,21,31,12,1701.7845458984375,1.0
305.6291198730469,0,STANDARD,11,2018-01-01,R_A5,305.6291198730469,0.0,21,31,13,1703.735107421875,1.0
305.81396484375,0,STANDARD,12,2018-01-01,R_A5,305.81396484375,0.0,21,31,14,1705.6856689453125,1.0
305.9988098144531,0,STANDARD,13,2018-01-01,R_A5,305.9988098144531,0.0,21,31,15,1707.63623046875,1.0
306.1836853027344,0,STANDARD,14,2018-01-01,R_A5,306.1836853027344,0.0,21,31,16,1709.5867919921875,1.0
306.5135498046875,0,STANDARD,15,2018-01-01,R_A5,306.5135498046875,0.0,21,31,17,1711.537353515625,1.0
306.6856994628906,0,STANDARD,16,2018-01-01,R_A5,306.6856994628906,0.0,21,31,18,1713.35400390625,1.0
306.7843933105469,0,STANDARD,17,2018-01-01,R_A5,306.7843933105469,0.0,21,31,19,1714.3951416015625,1.0
306.75689697265625,0,STANDARD,18,2018-01-01,R_A5,306.75689697265625,0.0,21,31,27,1715.7628173828125,1.0
306.978271484375,0,STANDARD,19,2018-01-01,R_A5,306.978271484375,0.0,21,31,28,1718.098388671875,1.0
307.5054016113281,0,STANDARD,20,2018-01-01,R_A5,307.5054016113281,0.0,21,31,29,1720.43408203125,1.0
307.7267761230469,0,STANDARD,21,2018-01-01,R_A5,307.7267761230469,0.0,21,31,30,1722.7696533203125,1.0
307.9481506347656,0,STANDARD,22,2018-01-01,R_A5,307.9481506347656,0.0,21,31,31,1725.105224609375,1.0
305.11419677734375,0,STANDARD,1,2018-01-01,R_A6,305.11419677734375,0.0,42,17,1,1695.20263671875,1.0
305.2609558105469,0,STANDARD,2,2018-01-01,R_A6,305.2609558105469,0.0,42,17,2,1696.7510986328125,1.0
305.4076843261719,0,STANDARD,3,2018-01-01,R_A6,305.4076843261719,0.0,42,17,3,1698.299560546875,1.0
305.554443359375,0,STANDARD,4,2018-01-01,R_A6,305.554443359375,0.0,42,17,4,1699.84814453125,1.0
305.7012023925781,0,STANDARD,5,2018-01-01,R_A6,305.7012023925781,0.0,42,17,5,1701.3966064453125,1.0
305.84796142578125,0,STANDARD,6,2018-01-01,R_A6,305.84796142578125,0.0,42,17,6,1702.9451904296875,1.0
305.6956481933594,0,STANDARD,7,2018-01-01,R_A6,305.6956481933594,0.0,42,17,7,1704.49365234375,1.0
305.8424072265625,0,STANDARD,8,2018-01-01,R_A6,305.8424072265625,0.0,42,17,8,1706.042236328125,1.0
306.2882080078125,0,STANDARD,9,2018-01-01,R_A6,306.2882080078125,0.0,42,17,9,1707.5906982421875,1.0
306.1291809082031,0,STANDARD,10,2018-01-01,R_A6,306.1291809082031,0.0,42,17,10,1709.1392822265625,1.0
306.3109130859375,0,STANDARD,11,2018-01-01,R_A6,306.3109130859375,0.0,42,17,11,1711.055419921875,1.0
306.52734375,0,STANDARD,12,2018-01-01,R_A6,306.52734375,0.0,42,17,12,1713.3392333984375,1.0
306.7557678222656,0,STANDARD,13,2018-01-01,R_A6,306.7557678222656,0.0,42,17,13,1715.623046875,1.0
306.9721984863281,0,STANDARD,14,2018-01-01,R_A6,306.9721984863281,0.0,42,17,14,1717.9068603515625,1.0
307.18865966796875,0,STANDARD,15,2018-01-01,R_A6,307.18865966796875,0.0,42,17,15,1720.190673828125,1.0
307.55010986328125,0,STANDARD,16,2018-01-01,R_A6,307.55010986328125,0.0,42,17,16,1722.474365234375,1.0
307.7665710449219,0,STANDARD,17,2018-01-01,R_A6,307.7665710449219,0.0,42,17,17,1724.7581787109375,1.0
307.921630859375,0,STANDARD,18,2018-01-01,R_A6,307.921630859375,0.0,42,17,18,1726.394287109375,1.0
307.8930969238281,0,STANDARD,19,2018-01-01,R_A6,307.8930969238281,0.0,42,17,27,1727.7508544921875,1.0
308.3623352050781,0,STANDARD,20,2018-01-01,R_A6,308.3623352050781,0.0,42,17,28,1729.4755859375,1.0
308.52581787109375,0,STANDARD,21,2018-01-01,R_A6,308.52581787109375,0.0,42,17,29,1731.2001953125,1.0
308.68927001953125,0,STANDARD,22,2018-01-01,R_A6,308.68927001953125,0.0,42,17,30,1732.9249267578125,1.0
308.5469665527344,0,STANDARD,23,2018-01-01,R_A6,308.5469665527344,0.0,42,17,31,1734.649658203125,1.0
296.8702392578125,0,STANDARD,1,2018-03-01,R_A2,296.8702392578125,0.0,30,22,1,1641.094970703125,0.05672202259302139
296.9903869628906,0,STANDARD,2,2018-03-01,R_A2,296.9903869628906,0.0,30,22,2,1642.8890380859375,0.058713313192129135
297.11053466796875,0,STANDARD,3,2018-03-01,R_A2,297.11053466796875,0.0,30,22,3,1644.68310546875,0.06202217936515808
297.2306823730469,0,STANDARD,4,2018-03-01,R_A2,297.2306823730469,0.0,30,22,4,1646.4771728515625,0.06789658218622208
297.350830078125,0,STANDARD,5,2018-03-01,R_A2,297.350830078125,0.0,30,22,5,1648.2713623046875,0.07133402675390244
297.5087585449219,0,STANDARD,6,2018-03-01,R_A2,297.5087585449219,0.0,30,22,6,1650.0654296875,0.3213448226451874
297.66583251953125,0,STANDARD,7,2018-03-01,R_A2,297.66583251953125,0.0,30,22,7,1651.859619140625,0.894984781742096
297.8450927734375,0,STANDARD,8,2018-03-01,R_A2,297.8450927734375,0.0,30,22,8,1653.6536865234375,0.722151517868042
298.3133239746094,0,STANDARD,9,2018-03-01,R_A2,298.3133239746094,0.0,30,22,9,1655.44775390625,0.8978872299194336
299.0869445800781,0,STANDARD,10,2018-03-01,R_A2,299.0869445800781,0.0,30,22,10,1657.2418212890625,0.928381621837616
299.60662841796875,0,STANDARD,11,2018-03-01,R_A2,299.60662841796875,0.0,30,22,11,1659.1368408203125,0.07666794210672379
299.7403869628906,0,STANDARD,12,2018-03-01,R_A2,299.7403869628906,0.0,30,22,12,1661.132568359375,0.08027897775173187
299.87542724609375,0,STANDARD,13,2018-03-01,R_A2,299.87542724609375,0.0,30,22,13,1663.12841796875,0.4426713287830353
