CONIDX,WELL,DRAWDOWN,DATE,DEPTH,CONKPOS,CONBPRES,WELLMODEL,PRESSURE,SGAS,CONJPOS,SWAT,CONIPOS
4,R_A6,0,2018-01-01,1698.5338134765625,4,305.4299011230469,STANDARD,305.4299011230469,0.0,42,1.0,17
5,R_A6,0,2018-01-01,1700.0616455078125,5,305.5746765136719,STANDARD,305.5746765136719,0.0,42,1.0,17
6,R_A6,0,2018-01-01,1701.5894775390625,6,305.719482421875,STANDARD,305.719482421875,0.0,42,1.0,17
7,R_A6,0,2018-01-01,1703.1173095703125,7,305.5652160644531,STANDARD,305.5652160644531,0.0,42,1.0,17
8,R_A6,0,2018-01-01,1704.6451416015625,8,305.7099914550781,STANDARD,305.7099914550781,0.0,42,1.0,17
9,R_A6,0,2018-01-01,1706.173095703125,9,306.1538391113281,STANDARD,306.1538391113281,0.0,42,1.0,17
10,R_A6,0,2018-01-01,1707.700927734375,10,305.99285888671875,STANDARD,305.99285888671875,0.0,42,1.0,17
11,R_A6,0,2018-01-01,1709.5965576171875,11,306.1726379394531,STANDARD,306.1726379394531,0.0,42,1.0,17
12,R_A6,0,2018-01-01,1711.860107421875,12,306.38714599609375,STANDARD,306.38714599609375,0.0,42,1.0,17
13,R_A6,0,2018-01-01,1714.1236572265625,13,306.6136474609375,STANDARD,306.6136474609375,0.0,42,1.0,17
14,R_A6,0,2018-01-01,1716.3870849609375,14,306.8281555175781,STANDARD,306.8281555175781,0.0,42,1.0,17
15,R_A6,0,2018-01-01,1718.650634765625,15,307.0426940917969,STANDARD,307.0426940917969,0.0,42,1.0,17
16,R_A6,0,2018-01-01,1720.9141845703125,16,307.4022216796875,STANDARD,307.4022216796875,0.0,42,1.0,17
17,R_A6,0,2018-01-01,1723.177734375,17,307.61676025390625,STANDARD,307.61676025390625,0.0,42,1.0,17
18,R_A6,0,2018-01-01,1724.763427734375,18,307.7670593261719,STANDARD,307.7670593261719,0.0,42,1.0,17
19,R_A6,0,2018-01-01,1726.0699462890625,25,307.7337951660156,STANDARD,307.7337951660156,0.0,42,1.0,17
20,R_A6,0,2018-01-01,1727.77490234375,26,307.8953857421875,STANDARD,307.8953857421875,0.0,42,1.0,17
21,R_A6,0,2018-01-01,1729.479736328125,27,308.3627624511719,STANDARD,308.3627624511719,0.0,42,1.0,17
22,R_A6,0,2018-01-01,1731.1846923828125,28,308.52435302734375,STANDARD,308.52435302734375,0.0,42,1.0,17
23,R_A6,0,2018-01-01,1732.8896484375,29,308.3801574707031,STANDARD,308.3801574707031,0.0,42,1.0,17
1,R_A2,0,2018-03-01,1638.781005859375,1,297.622802734375,STANDARD,297.622802734375,0.0,30,0.05446460843086243,22
2,R_A2,0,2018-03-01,1640.5537109375,2,297.7415771484375,STANDARD,297.7415771484375,0.0,30,0.05641845986247063,22
3,R_A2,0,2018-03-01,1642.326416015625,3,297.8603820800781,STANDARD,297.8603820800781,0.0,30,0.05814844369888306,22
4,R_A2,0,2018-03-01,1644.09912109375,4,297.9792175292969,STANDARD,297.9792175292969,0.0,30,0.06415188312530518,22
5,R_A2,0,2018-03-01,1645.8717041015625,5,298.0980529785156,STANDARD,298.0980529785156,0.0,30,0.06679535657167435,22
6,R_A2,0,2018-03-01,1647.6444091796875,6,298.2463073730469,STANDARD,298.2463073730469,0.0,30,0.3129011392593384,22
7,R_A2,0,2018-03-01,1649.4171142578125,7,298.3766174316406,STANDARD,298.3766174316406,0.0,30,0.8801993727684021,22
8,R_A2,0,2018-03-01,1651.189697265625,8,298.50482177734375,STANDARD,298.50482177734375,0.0,30,0.8730416893959045,22
9,R_A2,0,2018-03-01,1652.96240234375,9,299.09197998046875,STANDARD,299.09197998046875,0.0,30,0.8836457133293152,22
10,R_A2,0,2018-03-01,1654.735107421875,10,299.5445556640625,STANDARD,299.5445556640625,0.0,30,0.8916690349578857,22
11,R_A2,0,2018-03-01,1656.651123046875,11,299.1852111816406,STANDARD,299.1852111816406,0.0,30,0.0730571299791336,22
12,R_A2,0,2018-03-01,1660.7696533203125,13,299.7690734863281,STANDARD,299.7690734863281,0.0,30,0.45482581853866577,22
13,R_A2,0,2018-03-01,1662.828857421875,14,299.90704345703125,STANDARD,299.90704345703125,0.0,30,0.4751491844654083,22
14,R_A2,0,2018-03-01,1664.88818359375,15,300.0436096191406,STANDARD,300.0436096191406,0.0,30,0.9181258082389832,22
15,R_A2,0,2018-03-01,1666.9473876953125,16,300.179443359375,STANDARD,300.179443359375,0.0,30,0.9384966492652893,22
16,R_A2,0,2018-03-01,1670.37158203125,16,299.9180908203125,STANDARD,299.9180908203125,0.0,29,0.9633804559707642,22
17,R_A2,0,2018-03-01,1672.36865234375,17,300.05364990234375,STANDARD,300.05364990234375,0.0,29,0.9509381055831909,22
18,R_A2,0,2018-03-01,1674.251220703125,18,300.1805419921875,STANDARD,300.1805419921875,0.0,29,0.9765704870223999,22
19,R_A2,0,2018-03-01,1676.1280517578125,25,301.7768249511719,STANDARD,301.7768249511719,0.0,29,0.558958888053894,22
20,R_A2,0,2018-03-01,1677.875244140625,26,302.1166076660156,STANDARD,302.1166076660156,-2.9242182134937844e-13,29,1.0,22
21,R_A2,0,2018-03-01,1679.622314453125,27,302.3775939941406,STANDARD,302.3775939941406,-2.0480855900117945e-10,29,1.0,22
22,R_A2,0,2018-03-01,1681.369384765625,28,302.6440124511719,STANDARD,302.6440124511719,-1.273852036224113e-13,29,1.0,22
23,R_A2,0,2018-03-01,1683.1165771484375,29,303.3102722167969,STANDARD,303.3102722167969,-7.173792403213433e-14,29,1.0,22
1,R_A5,0,2018-04-28,1685.06640625,1,272.6296691894531,STANDARD,272.6296691894531,6.264068690836622e-12,20,1.0,31
2,R_A5,0,2018-04-28,1687.2628173828125,2,272.8368225097656,STANDARD,272.8368225097656,5.388392423227861e-12,20,1.0,31
3,R_A5,0,2018-04-28,1689.459228515625,3,273.04400634765625,STANDARD,273.04400634765625,5.374547161485221e-12,20,1.0,31
4,R_A5,0,2018-04-28,1691.6556396484375,4,273.2513732910156,STANDARD,273.2513732910156,5.976376511729331e-12,20,1.0,31
5,R_A5,0,2018-04-28,1693.85205078125,5,273.45880126953125,STANDARD,273.45880126953125,5.24436136878359e-12,20,1.0,31
6,R_A5,0,2018-04-28,1696.0484619140625,6,273.6663818359375,STANDARD,273.6663818359375,4.496927569902498e-12,20,1.0,31
7,R_A5,0,2018-04-28,1698.244873046875,7,274.2086486816406,STANDARD,274.2086486816406,6.20258510351801e-14,20,1.0,31
8,R_A5,0,2018-04-28,1701.6319580078125,11,270.4862365722656,STANDARD,270.4862365722656,-1.4055930031009467e-11,21,1.0,31
9,R_A5,0,2018-04-28,1703.59033203125,12,270.7160339355469,STANDARD,270.7160339355469,-1.7950923733578428e-11,21,1.0,31
10,R_A5,0,2018-04-28,1705.5487060546875,13,270.9148864746094,STANDARD,270.9148864746094,-1.0973839024985832e-12,21,1.0,31
11,R_A5,0,2018-04-28,1707.507080078125,14,271.1032409667969,STANDARD,271.1032409667969,-1.2140186859271873e-12,21,1.0,31
12,R_A5,0,2018-04-28,1709.4654541015625,15,271.29052734375,STANDARD,271.29052734375,-2.9955267324792423e-13,21,1.0,31
13,R_A5,0,2018-04-28,1711.4237060546875,16,271.6361999511719,STANDARD,271.6361999511719,-4.348429981978347e-14,21,1.0,31
14,R_A5,0,2018-04-28,1713.3734130859375,17,271.88720703125,STANDARD,271.88720703125,-5.950485059118965e-14,21,1.0,31
15,R_A5,0,2018-04-28,1714.821533203125,18,272.06890869140625,STANDARD,272.06890869140625,-9.90403031396643e-14,21,1.0,31
16,R_A5,0,2018-04-28,1715.4576416015625,19,272.1315612792969,STANDARD,272.1315612792969,0.0,21,1.0,31
17,R_A5,0,2018-04-28,1716.73095703125,25,287.71539306640625,STANDARD,287.71539306640625,8.741604479395402e-16,21,1.0,31
18,R_A5,0,2018-04-28,1718.960693359375,26,287.91766357421875,STANDARD,287.91766357421875,7.313466166864065e-16,21,1.0,31
19,R_A5,0,2018-04-28,1721.1903076171875,27,297.8130798339844,STANDARD,297.8130798339844,4.8681625669478184e-23,21,1.0,31
20,R_A5,0,2018-04-28,1723.4200439453125,28,304.3254699707031,STANDARD,304.3254699707031,6.2083091930718775e-25,21,1.0,31
21,R_A5,0,2018-04-28,1725.6497802734375,29,306.42864990234375,STANDARD,306.42864990234375,9.230684859864608e-27,21,1.0,31
1,R_A3,0,2018-07-03,1608.36328125,1,282.98260498046875,STANDARD,282.98260498046875,0.0,41,0.6493675708770752,28
2,R_A3,0,2018-07-03,1610.362060546875,2,283.1366271972656,STANDARD,283.1366271972656,0.0,41,0.23673324286937714,28
3,R_A3,0,2018-07-03,1612.360595703125,3,283.2705078125,STANDARD,283.2705078125,0.0,41,0.22452309727668762,28
4,R_A3,0,2018-07-03,1606.1689453125,3,282.8450012207031,STANDARD,282.8450012207031,0.0,41,0.21634842455387115,29
5,R_A3,0,2018-07-03,1608.12744140625,4,282.97625732421875,STANDARD,282.97625732421875,0.0,41,0.22512488067150116,29
6,R_A3,0,2018-07-03,1610.0860595703125,5,283.1563720703125,STANDARD,283.1563720703125,0.0,41,0.670918881893158,29
7,R_A3,0,2018-07-03,1612.044677734375,6,283.32574462890625,STANDARD,283.32574462890625,0.0,41,0.6491489410400391,29
8,R_A3,0,2018-07-03,1614.003173828125,7,283.4822692871094,STANDARD,283.4822692871094,0.0,41,0.19714650511741638,29
9,R_A3,0,2018-07-03,1615.9617919921875,8,283.6138916015625,STANDARD,283.6138916015625,0.0,41,0.29400762915611267,29
10,R_A3,0,2018-07-03,1617.9202880859375,9,283.8158264160156,STANDARD,283.8158264160156,0.0,41,0.800260066986084,29
11,R_A3,0,2018-07-03,1619.87890625,10,285.14556884765625,STANDARD,285.14556884765625,0.0,41,0.8024532198905945,29
12,R_A3,0,2018-07-03,1621.9925537109375,11,292.3792419433594,STANDARD,292.3792419433594,0.0,41,0.047089096158742905,29
13,R_A3,0,2018-07-03,1624.2613525390625,12,292.53106689453125,STANDARD,292.53106689453125,0.0,41,0.05538519471883774,29
14,R_A3,0,2018-07-03,1626.5301513671875,13,292.6835021972656,STANDARD,292.6835021972656,0.0,41,0.37459760904312134,29
15,R_A3,0,2018-07-03,1628.7989501953125,14,292.8591003417969,STANDARD,292.8591003417969,0.0,41,0.24821977317333221,29
16,R_A3,0,2018-07-03,1631.067626953125,15,293.1583251953125,STANDARD,293.1583251953125,0.0,41,0.5034186244010925,29
17,R_A3,0,2018-07-03,1632.760498046875,16,293.27655029296875,STANDARD,293.27655029296875,0.0,41,0.8135805726051331,29
18,R_A3,0,2018-07-03,1635.0626220703125,25,283.8899230957031,STANDARD,283.8899230957031,0.0,41,0.6578481197357178,29
19,R_A3,0,2018-07-03,1638.5501708984375,26,284.1350402832031,STANDARD,284.1350402832031,0.0,41,0.044146232306957245,29
20,R_A3,0,2018-07-03,1642.0377197265625,27,284.3680419921875,STANDARD,284.3680419921875,0.0,41,0.054371342062950134,29
21,R_A3,0,2018-07-03,1645.525146484375,28,289.03717041015625,STANDARD,289.03717041015625,0.0,41,0.7768005132675171,29
22,R_A3,0,2018-07-03,1649.0126953125,29,284.5826416015625,STANDARD,284.5826416015625,0.0,41,0.14613185822963715,29
1,R_A4,0,2018-09-12,1630.864501953125,1,279.611572265625,STANDARD,279.611572265625,0.0,52,0.04988142102956772,30
2,R_A4,0,2018-09-12,1626.1513671875,1,279.4247741699219,STANDARD,279.4247741699219,0.0,52,0.04785998538136482,31
3,R_A4,0,2018-09-12,1628.1927490234375,2,279.5609130859375,STANDARD,279.5609130859375,0.0,52,0.0646260529756546,31
4,R_A4,0,2018-09-12,1630.234130859375,3,279.6970520019531,STANDARD,279.6970520019531,0.0,52,0.20575565099716187,31
5,R_A4,0,2018-09-12,1632.275390625,4,279.8330383300781,STANDARD,279.8330383300781,0.0,52,0.05438126251101494,31
6,R_A4,0,2018-09-12,1634.3167724609375,5,279.96905517578125,STANDARD,279.96905517578125,0.0,52,0.0562552809715271,31
7,R_A4,0,2018-09-12,1632.082275390625,5,279.9393005371094,STANDARD,279.9393005371094,0.0,52,0.054173488169908524,32
8,R_A4,0,2018-09-12,1634.0074462890625,6,280.0676574707031,STANDARD,280.0676574707031,0.0,52,0.05626443773508072,32
9,R_A4,0,2018-09-12,1634.6260986328125,6,279.96759033203125,STANDARD,279.96759033203125,0.0,51,0.05735132843255997,32
10,R_A4,0,2018-09-12,1635.947998046875,6,280.1860656738281,STANDARD,280.1860656738281,0.0,51,0.05858004838228226,33
11,R_A4,0,2018-09-12,1639.406982421875,6,280.2892761230469,STANDARD,280.2892761230469,0.0,50,0.0616888701915741,33
12,R_A4,0,2018-09-12,1640.347412109375,6,280.4898986816406,STANDARD,280.4898986816406,0.0,50,0.06247994676232338,34
13,R_A4,0,2018-09-12,1638.503173828125,5,280.366943359375,STANDARD,280.366943359375,0.0,50,0.06301404535770416,34
14,R_A4,0,2018-09-12,1641.3919677734375,5,280.6788635253906,STANDARD,280.6788635253906,0.0,50,0.06305940449237823,35
15,R_A4,0,2018-09-12,1639.614013671875,4,280.56158447265625,STANDARD,280.56158447265625,0.0,50,0.23506973683834076,35
16,R_A4,0,2018-09-12,1643.427490234375,4,280.6759338378906,STANDARD,280.6759338378906,0.0,49,0.1438257098197937,35
17,R_A4,0,2018-09-12,1641.6611328125,3,280.5570068359375,STANDARD,280.5570068359375,0.0,49,0.23182053864002228,35
18,R_A4,0,2018-09-12,1639.8948974609375,2,280.43829345703125,STANDARD,280.43829345703125,0.0,49,0.2296631634235382,35
19,R_A4,0,2018-09-12,1642.109619140625,28,280.2121276855469,STANDARD,280.2121276855469,0.0,49,0.095430389046669,36
20,R_A4,0,2018-09-12,1641.7867431640625,28,280.08428955078125,STANDARD,280.08428955078125,0.0,48,0.13938438892364502,36
21,R_A4,0,2018-09-12,1651.27392578125,28,280.8980712890625,STANDARD,280.8980712890625,0.0,48,0.25653979182243347,37
22,R_A4,0,2018-09-12,1645.7347412109375,27,283.93359375,STANDARD,283.93359375,4.483585377967891e-12,48,1.0,37
23,R_A4,0,2018-09-12,1652.2708740234375,27,284.0910949707031,STANDARD,284.0910949707031,3.12185455438041e-12,48,1.0,38
24,R_A4,0,2018-09-12,1646.637939453125,26,280.6902770996094,STANDARD,280.6902770996094,0.0,48,0.6506237983703613,38
25,R_A4,0,2018-09-12,1656.1353759765625,26,281.1965637207031,STANDARD,281.1965637207031,0.0,47,0.1497422307729721,38
1,R_A6,0,2018-11-07,1693.9501953125,1,274.8730163574219,STANDARD,274.8730163574219,-5.153555465947472e-14,42,1.0,17
2,R_A6,0,2018-11-07,1695.47802734375,2,275.0163269042969,STANDARD,275.0163269042969,-2.3604854982000982e-14,42,1.0,17
3,R_A6,0,2018-11-07,1697.005859375,3,275.1566467285156,STANDARD,275.1566467285156,-3.678867716645946e-14,42,1.0,17
4,R_A6,0,2018-11-07,1698.5338134765625,4,275.29351806640625,STANDARD,275.29351806640625,-1.2886030811192287e-14,42,1.0,17
5,R_A6,0,2018-11-07,1700.0616455078125,5,275.4288024902344,STANDARD,275.4288024902344,-1.7898837861613122e-14,42,1.0,17
6,R_A6,0,2018-11-07,1701.5894775390625,6,275.567138671875,STANDARD,275.567138671875,-5.87851165315123e-13,42,1.0,17
7,R_A6,0,2018-11-07,1703.1173095703125,7,275.4164733886719,STANDARD,275.4164733886719,-1.4110195217104105e-12,42,1.0,17
8,R_A6,0,2018-11-07,1704.6451416015625,8,275.5611572265625,STANDARD,275.5611572265625,-8.116707176167304e-13,42,1.0,17
9,R_A6,0,2018-11-07,1706.173095703125,9,276.00860595703125,STANDARD,276.00860595703125,-4.605734535618501e-14,42,1.0,17
