DATE,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIPOS,SWAT,WELL,CONIDX,CONKPOS,SGAS,CONBPRES,DEPTH
2018-01-01,STANDARD,29,0,303.21112060546875,22,0.9906941652297974,R_A2,19,18,0.0,303.21112060546875,1676.96044921875
2018-01-01,STANDARD,29,0,303.3224182128906,22,1.0,R_A2,20,25,0.0,303.3224182128906,1678.6195068359375
2018-01-01,STANDARD,29,0,303.4387512207031,22,1.0,R_A2,21,26,0.0,303.4387512207031,1680.352783203125
2018-01-01,STANDARD,29,0,303.8712463378906,22,1.0,R_A2,22,27,0.0,303.8712463378906,1682.086181640625
2018-01-01,STANDARD,29,0,304.0354919433594,22,1.0,R_A2,23,28,0.0,304.0354919433594,1683.819580078125
2018-01-01,STANDARD,29,0,304.1997375488281,22,1.0,R_A2,24,29,0.0,304.1997375488281,1685.552978515625
2018-01-01,STANDARD,41,0,298.63641357421875,28,0.3277167081832886,R_A3,1,1,0.0,298.63641357421875,1608.73876953125
2018-01-01,STANDARD,41,0,298.7723693847656,28,0.1118462011218071,R_A3,2,2,0.0,298.7723693847656,1610.767333984375
2018-01-01,STANDARD,41,0,298.9083251953125,28,0.1169327050447464,R_A3,3,3,0.0,298.9083251953125,1612.7958984375
2018-01-01,STANDARD,41,0,299.0442810058594,28,0.101432666182518,R_A3,4,4,0.0,299.0442810058594,1614.824462890625
2018-01-01,STANDARD,41,0,298.4814147949219,29,0.16127364337444305,R_A3,5,4,0.0,298.4814147949219,1606.4261474609375
2018-01-01,STANDARD,41,0,298.62042236328125,29,0.808407723903656,R_A3,6,5,0.0,298.62042236328125,1608.5003662109375
2018-01-01,STANDARD,41,0,298.7594299316406,29,0.6481541991233826,R_A3,7,6,0.0,298.7594299316406,1610.574462890625
2018-01-01,STANDARD,41,0,298.8984680175781,29,0.19325707852840424,R_A3,8,7,0.0,298.8984680175781,1612.648681640625
2018-01-01,STANDARD,41,0,299.0374755859375,29,0.19553102552890778,R_A3,9,8,0.0,299.0374755859375,1614.7227783203125
2018-01-01,STANDARD,41,0,299.1764831542969,29,0.7940930724143982,R_A3,10,9,0.0,299.1764831542969,1616.796875
2018-01-01,STANDARD,41,0,299.3155212402344,29,0.7960008382797241,R_A3,11,10,0.0,299.3155212402344,1618.87109375
2018-01-01,STANDARD,41,0,299.4603576660156,29,0.046290576457977295,R_A3,12,11,0.0,299.4603576660156,1621.0321044921875
2018-01-01,STANDARD,41,0,299.6110534667969,29,0.05301778018474579,R_A3,13,12,0.0,299.6110534667969,1623.2799072265625
2018-01-01,STANDARD,41,0,299.7617492675781,29,0.3662400543689728,R_A3,14,13,0.0,299.7617492675781,1625.52783203125
2018-01-01,STANDARD,41,0,299.9124450683594,29,0.18502755463123322,R_A3,15,14,0.0,299.9124450683594,1627.7757568359375
2018-01-01,STANDARD,41,0,300.0631408691406,29,0.601466715335846,R_A3,16,15,0.0,300.0631408691406,1630.0235595703125
2018-01-01,STANDARD,41,0,300.1955871582031,29,0.8005547523498535,R_A3,17,16,0.0,300.1955871582031,1631.999267578125
2018-01-01,STANDARD,41,0,300.37158203125,29,0.29178446531295776,R_A3,18,25,0.0,300.37158203125,1634.6241455078125
2018-01-01,STANDARD,41,0,300.609375,29,0.041827037930488586,R_A3,19,26,0.0,300.609375,1638.170654296875
2018-01-01,STANDARD,41,0,300.84716796875,29,0.04755944386124611,R_A3,20,27,0.0,300.84716796875,1641.717041015625
2018-01-01,STANDARD,41,0,301.0849914550781,29,0.24714861810207367,R_A3,21,28,0.0,301.0849914550781,1645.2635498046875
2018-01-01,STANDARD,41,0,301.32281494140625,29,0.05971340090036392,R_A3,22,29,0.0,301.32281494140625,1648.81005859375
2018-01-01,STANDARD,52,0,300.224853515625,30,0.04830498993396759,R_A4,1,1,0.0,300.224853515625,1632.4356689453125
2018-01-01,STANDARD,52,0,299.8706359863281,31,0.048140186816453934,R_A4,2,1,0.0,299.8706359863281,1627.15234375
2018-01-01,STANDARD,52,0,300.00701904296875,31,0.04955232888460159,R_A4,3,2,0.0,300.00701904296875,1629.1864013671875
2018-01-01,STANDARD,52,0,300.14337158203125,31,0.05188332125544548,R_A4,4,3,0.0,300.14337158203125,1631.220458984375
2018-01-01,STANDARD,52,0,300.2797546386719,31,0.053595252335071564,R_A4,5,4,0.0,300.2797546386719,1633.2545166015625
2018-01-01,STANDARD,52,0,300.16876220703125,32,0.05268562212586403,R_A4,6,4,0.0,300.16876220703125,1631.598876953125
2018-01-01,STANDARD,51,0,300.47711181640625,32,0.05407433584332466,R_A4,7,4,0.0,300.47711181640625,1636.1982421875
2018-01-01,STANDARD,51,0,300.5290222167969,33,0.056325603276491165,R_A4,8,4,0.0,300.5290222167969,1636.972412109375
2018-01-01,STANDARD,51,0,300.4062194824219,33,0.05248824134469032,R_A4,9,3,0.0,300.4062194824219,1635.1407470703125
2018-01-01,STANDARD,50,0,300.90008544921875,33,0.06104312092065811,R_A4,10,4,0.0,300.90008544921875,1642.5059814453125
2018-01-01,STANDARD,50,0,300.7859191894531,34,0.06074949726462364,R_A4,11,4,0.0,300.7859191894531,1640.8035888671875
2018-01-01,STANDARD,50,0,300.6609802246094,34,0.12696349620819092,R_A4,12,3,0.0,300.6609802246094,1638.9404296875
2018-01-01,STANDARD,50,0,300.67376708984375,35,0.13508325815200806,R_A4,13,3,0.0,300.67376708984375,1639.1312255859375
2018-01-01,STANDARD,49,0,300.7080078125,35,0.05189969018101692,R_A4,14,28,0.0,300.7080078125,1639.641845703125
2018-01-01,STANDARD,49,0,301.0030517578125,36,0.05676291882991791,R_A4,15,28,0.0,301.0030517578125,1644.04150390625
2018-01-01,STANDARD,48,0,301.1053466796875,36,0.0897933840751648,R_A4,16,28,0.0,301.1053466796875,1645.5672607421875
2018-01-01,STANDARD,48,0,301.4127197265625,37,0.6481541991233826,R_A4,17,28,0.0,301.4127197265625,1650.150634765625
2018-01-01,STANDARD,48,0,301.6654052734375,38,0.18581423163414001,R_A4,18,28,0.0,301.6654052734375,1653.918212890625
2018-01-01,STANDARD,48,0,301.27911376953125,38,0.058787088841199875,R_A4,19,27,0.0,301.27911376953125,1648.1583251953125
2018-01-01,STANDARD,47,0,301.81414794921875,38,0.06797582656145096,R_A4,20,27,0.0,301.81414794921875,1656.135986328125
2018-01-01,STANDARD,20,0,303.8554382324219,31,1.0,R_A5,1,1,0.0,303.8554382324219,1685.1463623046875
2018-01-01,STANDARD,20,0,304.0500183105469,31,1.0,R_A5,2,2,0.0,304.0500183105469,1687.19970703125
2018-01-01,STANDARD,20,0,304.2445983886719,31,1.0,R_A5,3,3,0.0,304.2445983886719,1689.253173828125
2018-01-01,STANDARD,20,0,304.439208984375,31,1.0,R_A5,4,4,0.0,304.439208984375,1691.3065185546875
2018-01-01,STANDARD,20,0,304.6337890625,31,1.0,R_A5,5,5,0.0,304.6337890625,1693.35986328125
2018-01-01,STANDARD,20,0,304.828369140625,31,1.0,R_A5,6,6,0.0,304.828369140625,1695.413330078125
2018-01-01,STANDARD,20,0,305.3287658691406,31,1.0,R_A5,7,7,0.0,305.3287658691406,1697.4666748046875
2018-01-01,STANDARD,20,0,305.52337646484375,31,1.0,R_A5,8,8,0.0,305.52337646484375,1699.5201416015625
2018-01-01,STANDARD,21,0,305.2466735839844,31,1.0,R_A5,9,9,0.0,305.2466735839844,1696.600341796875
2018-01-01,STANDARD,21,0,305.46246337890625,31,1.0,R_A5,10,10,0.0,305.46246337890625,1698.8775634765625
2018-01-01,STANDARD,21,0,305.360107421875,31,1.0,R_A5,11,11,0.0,305.360107421875,1701.022705078125
2018-01-01,STANDARD,21,0,305.5508728027344,31,1.0,R_A5,12,12,0.0,305.5508728027344,1703.0357666015625
2018-01-01,STANDARD,21,0,305.75360107421875,31,1.0,R_A5,13,13,0.0,305.75360107421875,1705.048828125
2018-01-01,STANDARD,21,0,305.94439697265625,31,1.0,R_A5,14,14,0.0,305.94439697265625,1707.06201171875
2018-01-01,STANDARD,21,0,306.1351623535156,31,1.0,R_A5,15,15,0.0,306.1351623535156,1709.074951171875
2018-01-01,STANDARD,21,0,306.4709777832031,31,1.0,R_A5,16,16,0.0,306.4709777832031,1711.0880126953125
2018-01-01,STANDARD,21,0,306.660400390625,31,1.0,R_A5,17,17,0.0,306.660400390625,1713.0870361328125
2018-01-01,STANDARD,21,0,306.7867736816406,31,1.0,R_A5,18,18,0.0,306.7867736816406,1714.420166015625
2018-01-01,STANDARD,21,0,306.8380432128906,31,1.0,R_A5,19,19,0.0,306.8380432128906,1714.9610595703125
2018-01-01,STANDARD,21,0,306.8034973144531,31,1.0,R_A5,20,25,0.0,306.8034973144531,1716.25439453125
2018-01-01,STANDARD,21,0,307.0107116699219,31,1.0,R_A5,21,26,0.0,307.0107116699219,1718.44091796875
2018-01-01,STANDARD,21,0,307.5237121582031,31,1.0,R_A5,22,27,0.0,307.5237121582031,1720.627197265625
2018-01-01,STANDARD,21,0,307.73095703125,31,1.0,R_A5,23,28,0.0,307.73095703125,1722.8135986328125
2018-01-01,STANDARD,21,0,307.93817138671875,31,1.0,R_A5,24,29,0.0,307.93817138671875,1725.0001220703125
2018-01-01,STANDARD,42,0,305.0710144042969,17,1.0,R_A6,1,1,0.0,305.0710144042969,1694.746826171875
2018-01-01,STANDARD,42,0,305.2171325683594,17,1.0,R_A6,2,2,0.0,305.2171325683594,1696.2886962890625
2018-01-01,STANDARD,42,0,305.3632507324219,17,1.0,R_A6,3,3,0.0,305.3632507324219,1697.83056640625
2018-01-01,STANDARD,42,0,305.5093688964844,17,1.0,R_A6,4,4,0.0,305.5093688964844,1699.372314453125
2018-01-01,STANDARD,42,0,305.6554870605469,17,1.0,R_A6,5,5,0.0,305.6554870605469,1700.9141845703125
2018-01-01,STANDARD,42,0,305.8016052246094,17,1.0,R_A6,6,6,0.0,305.8016052246094,1702.4560546875
2018-01-01,STANDARD,42,0,305.648681640625,17,1.0,R_A6,7,7,0.0,305.648681640625,1703.9979248046875
2018-01-01,STANDARD,42,0,305.7947998046875,17,1.0,R_A6,8,8,0.0,305.7947998046875,1705.539794921875
2018-01-01,STANDARD,42,0,306.2399597167969,17,1.0,R_A6,9,9,0.0,306.2399597167969,1707.08154296875
2018-01-01,STANDARD,42,0,306.3860778808594,17,1.0,R_A6,10,10,0.0,306.3860778808594,1708.62353515625
2018-01-01,STANDARD,42,0,306.2594299316406,17,1.0,R_A6,11,11,0.0,306.2594299316406,1710.512451171875
2018-01-01,STANDARD,42,0,306.4713439941406,17,1.0,R_A6,12,12,0.0,306.4713439941406,1712.74853515625
2018-01-01,STANDARD,42,0,306.69525146484375,17,1.0,R_A6,13,13,0.0,306.69525146484375,1714.984619140625
2018-01-01,STANDARD,42,0,306.90716552734375,17,1.0,R_A6,14,14,0.0,306.90716552734375,1717.220703125
2018-01-01,STANDARD,42,0,307.11907958984375,17,1.0,R_A6,15,15,0.0,307.11907958984375,1719.456787109375
2018-01-01,STANDARD,42,0,307.4760437011719,17,1.0,R_A6,16,16,0.0,307.4760437011719,1721.69287109375
2018-01-01,STANDARD,42,0,307.6879577636719,17,1.0,R_A6,17,17,0.0,307.6879577636719,1723.928955078125
