SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
0.9322637319564819,0,2018-01-01,29,16,17,302.77880859375,R_A2,0.0,1670.7353515625,302.77880859375,STANDARD,22
0.9041693806648254,0,2018-01-01,29,17,18,302.9209289550781,R_A2,0.0,1672.853515625,302.9209289550781,STANDARD,22
0.9664151668548584,0,2018-01-01,29,18,19,303.04827880859375,R_A2,0.0,1674.751953125,303.04827880859375,STANDARD,22
1.0,0,2018-01-01,29,26,20,303.16949462890625,R_A2,0.0,1676.55859375,303.16949462890625,STANDARD,22
1.0,0,2018-01-01,29,27,21,303.2903747558594,R_A2,0.0,1678.360107421875,303.2903747558594,STANDARD,22
1.0,0,2018-01-01,29,28,22,303.4112243652344,R_A2,0.0,1680.1614990234375,303.4112243652344,STANDARD,22
1.0,0,2018-01-01,29,29,23,303.85955810546875,R_A2,0.0,1681.9630126953125,303.85955810546875,STANDARD,22
1.0,0,2018-01-01,29,30,24,304.0302734375,R_A2,0.0,1683.764404296875,304.0302734375,STANDARD,22
0.6481541991233826,0,2018-01-01,41,1,1,298.6757507324219,R_A3,0.0,1609.54443359375,298.6757507324219,STANDARD,28
0.14990273118019104,0,2018-01-01,41,2,2,298.80987548828125,R_A3,0.0,1611.54541015625,298.80987548828125,STANDARD,28
0.11823459714651108,0,2018-01-01,41,3,3,298.9439697265625,R_A3,0.0,1613.5462646484375,298.9439697265625,STANDARD,28
0.08517085015773773,0,2018-01-01,41,4,4,299.07806396484375,R_A3,0.0,1615.547119140625,299.07806396484375,STANDARD,28
0.13675688207149506,0,2018-01-01,41,4,5,298.495849609375,R_A3,0.0,1606.85986328125,298.495849609375,STANDARD,29
0.810616135597229,0,2018-01-01,41,5,6,298.6319580078125,R_A3,0.0,1608.8907470703125,298.6319580078125,STANDARD,29
0.6481541991233826,0,2018-01-01,41,6,7,298.76806640625,R_A3,0.0,1610.921630859375,298.76806640625,STANDARD,29
0.1943848878145218,0,2018-01-01,41,7,8,298.9041748046875,R_A3,0.0,1612.9525146484375,298.9041748046875,STANDARD,29
0.19685615599155426,0,2018-01-01,41,8,9,299.040283203125,R_A3,0.0,1614.9833984375,299.040283203125,STANDARD,29
0.7961527705192566,0,2018-01-01,41,9,10,299.1764221191406,R_A3,0.0,1617.0142822265625,299.1764221191406,STANDARD,29
0.8011025786399841,0,2018-01-01,41,10,11,299.3125305175781,R_A3,0.0,1619.045166015625,299.3125305175781,STANDARD,29
0.0500444658100605,0,2018-01-01,41,11,12,299.4557189941406,R_A3,0.0,1621.18115234375,299.4557189941406,STANDARD,29
0.05342242866754532,0,2018-01-01,41,12,13,299.6059265136719,R_A3,0.0,1623.422119140625,299.6059265136719,STANDARD,29
0.36742717027664185,0,2018-01-01,41,13,14,299.75616455078125,R_A3,0.0,1625.6630859375,299.75616455078125,STANDARD,29
0.601466715335846,0,2018-01-01,41,15,15,300.056640625,R_A3,0.0,1630.1451416015625,300.056640625,STANDARD,29
0.8063707947731018,0,2018-01-01,41,16,16,300.1776123046875,R_A3,0.0,1631.949462890625,300.1776123046875,STANDARD,29
0.6481541991233826,0,2018-01-01,41,26,17,300.3408508300781,R_A3,0.0,1634.384521484375,300.3408508300781,STANDARD,29
