CONJPOS,CONIPOS,WELLMODEL,CONBPRES,PRESSURE,SWAT,CONKPOS,DEPTH,SGAS,DRAWDOWN,WELL,DATE,CONIDX
21,31,STANDARD,285.189453125,285.189453125,1.0,26,1717.601806640625,-9.702032607210656e-14,0,R_A5,2018-04-28,16
21,31,STANDARD,285.4304504394531,285.4304504394531,1.0,27,1719.8248291015625,-9.527909060683126e-14,0,R_A5,2018-04-28,17
21,31,STANDARD,296.30694580078125,296.30694580078125,1.0,28,1722.0477294921875,8.849674986135962e-21,0,R_A5,2018-04-28,18
21,31,STANDARD,303.0325927734375,303.0325927734375,1.0,29,1724.270751953125,6.966863580871541e-22,0,R_A5,2018-04-28,19
21,31,STANDARD,306.25921630859375,306.25921630859375,1.0,30,1726.49365234375,1.1138721503747023e-23,0,R_A5,2018-04-28,20
41,28,STANDARD,270.60174560546875,270.60174560546875,0.2334592342376709,1,1611.28564453125,0.0,0,R_A3,2018-07-03,1
41,28,STANDARD,270.7425842285156,270.7425842285156,0.2021055966615677,2,1613.4097900390625,0.0,0,R_A3,2018-07-03,2
41,28,STANDARD,270.88360595703125,270.88360595703125,0.12295938283205032,3,1615.533935546875,0.0,0,R_A3,2018-07-03,3
41,28,STANDARD,271.0249328613281,271.0249328613281,0.14743191003799438,4,1617.6580810546875,0.0,0,R_A3,2018-07-03,4
41,28,STANDARD,271.1470642089844,271.1470642089844,0.650120735168457,5,1619.7822265625,0.0,0,R_A3,2018-07-03,5
41,28,STANDARD,271.2817077636719,271.2817077636719,0.6524720788002014,6,1621.90625,0.0,0,R_A3,2018-07-03,6
41,29,STANDARD,270.3964538574219,270.3964538574219,0.3461321294307709,6,1608.4927978515625,0.0,0,R_A3,2018-07-03,7
41,29,STANDARD,270.53271484375,270.53271484375,0.19976788759231567,7,1610.5572509765625,0.0,0,R_A3,2018-07-03,8
41,29,STANDARD,270.6698303222656,270.6698303222656,0.1310286968946457,8,1612.62158203125,0.0,0,R_A3,2018-07-03,9
41,29,STANDARD,270.953369140625,270.953369140625,0.8050855398178101,9,1614.68603515625,0.0,0,R_A3,2018-07-03,10
41,29,STANDARD,271.88250732421875,271.88250732421875,0.8008694052696228,10,1616.75048828125,0.0,0,R_A3,2018-07-03,11
41,29,STANDARD,280.6351013183594,280.6351013183594,0.04919825866818428,11,1618.998779296875,0.0,0,R_A3,2018-07-03,12
41,29,STANDARD,280.7973937988281,280.7973937988281,0.05686085298657417,12,1621.4306640625,0.0,0,R_A3,2018-07-03,13
41,29,STANDARD,280.9599609375,280.9599609375,0.37622344493865967,13,1623.8626708984375,0.0,0,R_A3,2018-07-03,14
41,29,STANDARD,281.6867980957031,281.6867980957031,0.37456822395324707,14,1626.294677734375,0.0,0,R_A3,2018-07-03,15
41,29,STANDARD,281.2528991699219,281.2528991699219,0.5068857073783875,15,1628.690185546875,0.0,0,R_A3,2018-07-03,16
41,29,STANDARD,281.3671875,281.3671875,0.8148108720779419,16,1630.413330078125,0.0,0,R_A3,2018-07-03,17
41,29,STANDARD,285.19671630859375,285.19671630859375,0.7994945645332336,26,1632.7952880859375,0.0,0,R_A3,2018-07-03,18
41,29,STANDARD,280.0336608886719,280.0336608886719,0.09439463168382645,27,1636.4720458984375,0.0,0,R_A3,2018-07-03,19
41,29,STANDARD,280.2790832519531,280.2790832519531,0.05703354999423027,28,1640.1488037109375,0.0,0,R_A3,2018-07-03,20
41,29,STANDARD,281.863525390625,281.863525390625,0.6992342472076416,29,1643.8255615234375,0.0,0,R_A3,2018-07-03,21
41,29,STANDARD,280.79351806640625,280.79351806640625,0.0716201588511467,30,1647.5023193359375,0.0,0,R_A3,2018-07-03,22
52,30,STANDARD,278.2862854003906,278.2862854003906,0.05370902642607689,1,1631.969482421875,0.0,0,R_A4,2018-09-12,1
52,31,STANDARD,278.2275390625,278.2275390625,0.05369018763303757,1,1628.7935791015625,0.0,0,R_A4,2018-09-12,2
52,31,STANDARD,278.36456298828125,278.36456298828125,0.0557810440659523,2,1630.8482666015625,0.0,0,R_A4,2018-09-12,3
52,31,STANDARD,278.50164794921875,278.50164794921875,0.05984272062778473,3,1632.9029541015625,0.0,0,R_A4,2018-09-12,4
52,32,STANDARD,278.48114013671875,278.48114013671875,0.05698728561401367,3,1630.23388671875,0.0,0,R_A4,2018-09-12,5
52,32,STANDARD,278.6068420410156,278.6068420410156,0.23122985661029816,4,1632.111083984375,0.0,0,R_A4,2018-09-12,6
51,32,STANDARD,278.8784484863281,278.8784484863281,0.8881626129150391,4,1639.22412109375,0.0,0,R_A4,2018-09-12,7
51,32,STANDARD,278.7904357910156,278.7904357910156,0.2843206822872162,3,1637.4261474609375,0.0,0,R_A4,2018-09-12,8
51,32,STANDARD,278.6697082519531,278.6697082519531,0.14836768805980682,2,1635.6280517578125,0.0,0,R_A4,2018-09-12,9
51,33,STANDARD,278.78564453125,278.78564453125,0.207657128572464,2,1635.5814208984375,0.0,0,R_A4,2018-09-12,10
51,33,STANDARD,278.66455078125,278.66455078125,0.06094706803560257,1,1633.779052734375,0.0,0,R_A4,2018-09-12,11
50,33,STANDARD,279.1167297363281,279.1167297363281,0.25613367557525635,2,1644.179931640625,0.0,0,R_A4,2018-09-12,12
50,34,STANDARD,278.9512634277344,278.9512634277344,0.2099289894104004,2,1640.4119873046875,0.0,0,R_A4,2018-09-12,13
50,35,STANDARD,279.04638671875,279.04638671875,0.23138166964054108,2,1641.5335693359375,0.0,0,R_A4,2018-09-12,14
50,35,STANDARD,278.9223327636719,278.9223327636719,0.12135275453329086,1,1639.660400390625,0.0,0,R_A4,2018-09-12,15
49,35,STANDARD,278.8764953613281,278.8764953613281,0.24165019392967224,1,1643.170166015625,0.0,0,R_A4,2018-09-12,16
49,36,STANDARD,276.262451171875,276.262451171875,0.3114296495914459,29,1642.04638671875,0.0,0,R_A4,2018-09-12,17
48,36,STANDARD,275.3320617675781,275.3320617675781,0.07631082087755203,29,1638.9156494140625,0.0,0,R_A4,2018-09-12,18
48,37,STANDARD,276.95269775390625,276.95269775390625,0.7284409999847412,29,1646.8707275390625,0.0,0,R_A4,2018-09-12,19
48,38,STANDARD,278.3815002441406,278.3815002441406,0.3678880035877228,29,1655.2657470703125,0.0,0,R_A4,2018-09-12,20
47,38,STANDARD,278.4648132324219,278.4648132324219,0.7410815954208374,29,1658.7646484375,0.0,0,R_A4,2018-09-12,21
42,17,STANDARD,269.87982177734375,269.87982177734375,1.0,1,1695.548095703125,-3.0253306370492394e-12,0,R_A6,2018-11-07,1
42,17,STANDARD,269.9584045410156,269.9584045410156,1.0,2,1697.103271484375,-9.475910724490721e-13,0,R_A6,2018-11-07,2
42,17,STANDARD,269.9921569824219,269.9921569824219,1.0,3,1698.658447265625,-6.906450238097772e-13,0,R_A6,2018-11-07,3
42,17,STANDARD,269.9939270019531,269.9939270019531,1.0,4,1700.213623046875,-6.272626732264919e-13,0,R_A6,2018-11-07,4
42,17,STANDARD,270.0107116699219,270.0107116699219,1.0,5,1701.7689208984375,-8.073926184744284e-13,0,R_A6,2018-11-07,5
42,17,STANDARD,270.0857849121094,270.0857849121094,1.0,6,1703.3240966796875,-3.953155858216206e-11,0,R_A6,2018-11-07,6
42,17,STANDARD,269.9215087890625,269.9215087890625,1.0,7,1704.8792724609375,-7.704682031262067e-11,0,R_A6,2018-11-07,7
42,17,STANDARD,270.0726623535156,270.0726623535156,1.0,8,1706.4344482421875,-2.611591325141216e-11,0,R_A6,2018-11-07,8
42,17,STANDARD,270.51947021484375,270.51947021484375,1.0,9,1707.9896240234375,-2.71579438625158e-12,0,R_A6,2018-11-07,9
42,17,STANDARD,270.8312072753906,270.8312072753906,1.0,10,1709.544921875,-9.045257490063185e-13,0,R_A6,2018-11-07,10
42,17,STANDARD,278.6560363769531,278.6560363769531,1.0,11,1711.434326171875,4.0931032868618544e-11,0,R_A6,2018-11-07,11
42,17,STANDARD,278.8665466308594,278.8665466308594,1.0,12,1713.6578369140625,1.6000254940418124e-11,0,R_A6,2018-11-07,12
