DEPTH,SWAT,PRESSURE,WELLMODEL,CONIPOS,CONIDX,CONBPRES,DRAWDOWN,DATE,CONJPOS,CONKPOS,SGAS,WELL
1659.1368408203125,0.0789731964468956,300.7747802734375,STANDARD,22,11,300.7747802734375,0,2018-03-01,30,11,0.0,R_A2
1661.132568359375,0.07923813909292221,300.92095947265625,STANDARD,22,12,300.92095947265625,0,2018-03-01,30,12,0.0,R_A2
1663.12841796875,0.4530971646308899,301.2358093261719,STANDARD,22,13,301.2358093261719,0,2018-03-01,30,13,0.0,R_A2
1665.1241455078125,0.5042794942855835,301.48236083984375,STANDARD,22,14,301.48236083984375,0,2018-03-01,30,14,0.0,R_A2
1667.1199951171875,0.6906141638755798,301.6160583496094,STANDARD,22,15,301.6160583496094,0,2018-03-01,30,15,0.0,R_A2
1669.11572265625,0.9649244546890259,301.7489929199219,STANDARD,22,16,301.7489929199219,0,2018-03-01,30,16,0.0,R_A2
1671.111572265625,0.9508066773414612,301.8826599121094,STANDARD,22,17,301.8826599121094,0,2018-03-01,30,17,0.0,R_A2
1672.9881591796875,0.9831578731536865,302.0084533691406,STANDARD,22,18,302.0084533691406,0,2018-03-01,30,18,0.0,R_A2
1674.229736328125,0.9968774914741516,302.07232666015625,STANDARD,22,19,302.07232666015625,0,2018-03-01,29,18,0.0,R_A2
1676.1676025390625,1.0,302.9607849121094,STANDARD,22,20,302.9607849121094,0,2018-03-01,29,27,0.0,R_A2
1677.9368896484375,1.0,303.3842468261719,STANDARD,22,21,303.3842468261719,0,2018-03-01,29,28,0.0,R_A2
1679.7061767578125,1.0,303.4263916015625,STANDARD,22,22,303.4263916015625,0,2018-03-01,29,29,0.0,R_A2
1681.4754638671875,1.0,303.27105712890625,STANDARD,22,23,303.27105712890625,0,2018-03-01,29,30,0.0,R_A2
1683.2447509765625,1.0,303.02557373046875,STANDARD,22,24,303.02557373046875,0,2018-03-01,29,31,0.0,R_A2
1685.026611328125,1.0,265.50457763671875,STANDARD,31,1,265.50457763671875,0,2018-04-28,20,1,-4.161220993363855e-18,R_A5
1687.3070068359375,1.0,265.41485595703125,STANDARD,31,2,265.41485595703125,0,2018-04-28,20,2,-1.5114608376736241e-15,R_A5
1689.5875244140625,1.0,265.6308288574219,STANDARD,31,3,265.6308288574219,0,2018-04-28,20,3,-2.2772108092435073e-15,R_A5
1691.8680419921875,1.0,265.8467712402344,STANDARD,31,4,265.8467712402344,0,2018-04-28,20,4,-2.718781790141383e-15,R_A5
1694.1485595703125,1.0,266.0626220703125,STANDARD,31,5,266.0626220703125,0,2018-04-28,20,5,-8.98414706988575e-16,R_A5
1696.4290771484375,1.0,266.2785339355469,STANDARD,31,6,266.2785339355469,0,2018-04-28,20,6,-4.5097618063430316e-15,R_A5
1698.70947265625,1.0,266.85760498046875,STANDARD,31,7,266.85760498046875,0,2018-04-28,20,7,-6.560498345984723e-16,R_A5
1700.989990234375,1.0,267.1536560058594,STANDARD,31,8,267.1536560058594,0,2018-04-28,20,8,-3.0402604397775437e-15,R_A5
1703.2706298828125,1.0,268.7369079589844,STANDARD,31,9,268.7369079589844,0,2018-04-28,20,9,0.0,R_A5
1707.6488037109375,1.0,269.2276916503906,STANDARD,31,10,269.2276916503906,0,2018-04-28,20,11,2.8104492203525483e-14,R_A5
1709.5638427734375,1.0,269.4565734863281,STANDARD,31,11,269.4565734863281,0,2018-04-28,20,12,8.082457839402209e-15,R_A5
1701.7845458984375,1.0,268.29119873046875,STANDARD,31,12,268.29119873046875,0,2018-04-28,21,12,-1.4890878460849244e-11,R_A5
1703.735107421875,1.0,269.38629150390625,STANDARD,31,13,269.38629150390625,0,2018-04-28,21,13,0.0,R_A5
1705.6856689453125,1.0,269.6036682128906,STANDARD,31,14,269.6036682128906,0,2018-04-28,21,14,-1.40751897984015e-11,R_A5
1707.63623046875,1.0,269.79534912109375,STANDARD,31,15,269.79534912109375,0,2018-04-28,21,15,-2.7322185312816938e-12,R_A5
1709.5867919921875,1.0,270.13677978515625,STANDARD,31,16,270.13677978515625,0,2018-04-28,21,16,-7.417773535169092e-13,R_A5
