DEPTH,WELLMODEL,CONJPOS,PRESSURE,SWAT,CONBPRES,CONIPOS,DRAWDOWN,CONKPOS,WELL,DATE,SGAS,CONIDX
1628.435302734375,STANDARD,52,299.8043518066406,0.05120047181844711,299.8043518066406,31,0,2,R_A4,2018-01-01,0.0,3
1630.4619140625,STANDARD,52,299.9402160644531,0.1928427666425705,299.9402160644531,31,0,3,R_A4,2018-01-01,0.0,4
1632.488525390625,STANDARD,52,300.0760803222656,0.10889419913291931,300.0760803222656,31,0,4,R_A4,2018-01-01,0.0,5
1634.51513671875,STANDARD,52,300.2119445800781,0.84907066822052,300.2119445800781,31,0,5,R_A4,2018-01-01,0.0,6
1634.5816650390625,STANDARD,52,300.2164001464844,0.3213353753089905,300.2164001464844,32,0,5,R_A4,2018-01-01,0.0,7
1632.7598876953125,STANDARD,52,300.0942687988281,0.05617259442806244,300.0942687988281,32,0,4,R_A4,2018-01-01,0.0,8
1635.78271484375,STANDARD,51,300.29693603515625,0.06058254837989807,300.29693603515625,32,0,4,R_A4,2018-01-01,0.0,9
1634.010498046875,STANDARD,51,300.1781311035156,0.09978566318750381,300.1781311035156,32,0,3,R_A4,2018-01-01,0.0,10
1635.705810546875,STANDARD,51,300.2917785644531,0.17322830855846405,300.2917785644531,33,0,3,R_A4,2018-01-01,0.0,11
1637.545654296875,STANDARD,51,300.4151306152344,0.061759356409311295,300.4151306152344,33,0,4,R_A4,2018-01-01,0.0,12
1641.4090576171875,STANDARD,50,300.6741638183594,0.06366755068302155,300.6741638183594,33,0,4,R_A4,2018-01-01,0.0,13
1640.471435546875,STANDARD,50,300.6112976074219,0.06284081935882568,300.6112976074219,34,0,4,R_A4,2018-01-01,0.0,14
1638.5450439453125,STANDARD,50,300.4821472167969,0.14492610096931458,300.4821472167969,34,0,3,R_A4,2018-01-01,0.0,15
1641.3828125,STANDARD,50,300.67242431640625,0.14897166192531586,300.67242431640625,35,0,3,R_A4,2018-01-01,0.0,16
1643.23681640625,STANDARD,49,300.7967224121094,0.12365411967039108,300.7967224121094,35,0,3,R_A4,2018-01-01,0.0,17
1641.353271484375,STANDARD,49,300.6704406738281,0.23956426978111267,300.6704406738281,35,0,2,R_A4,2018-01-01,0.0,18
1643.6666259765625,STANDARD,49,300.8255615234375,0.23719742894172668,300.8255615234375,36,0,30,R_A4,2018-01-01,0.0,19
1639.729248046875,STANDARD,48,300.5615539550781,0.6481541991233826,300.5615539550781,36,0,30,R_A4,2018-01-01,0.0,20
1645.0670166015625,STANDARD,48,300.9194641113281,0.6481541991233826,300.9194641113281,37,0,30,R_A4,2018-01-01,0.0,21
1650.8533935546875,STANDARD,48,301.3074951171875,0.1876726746559143,301.3074951171875,37,0,31,R_A4,2018-01-01,0.0,22
1654.4874267578125,STANDARD,48,301.55120849609375,0.25953394174575806,301.55120849609375,38,0,31,R_A4,2018-01-01,0.0,23
1656.4820556640625,STANDARD,47,301.68499755859375,0.3176499605178833,301.68499755859375,38,0,31,R_A4,2018-01-01,0.0,24
1684.6915283203125,STANDARD,20,303.8123474121094,1.0,303.8123474121094,31,0,1,R_A5,2018-01-01,0.0,1
1687.084716796875,STANDARD,20,304.03912353515625,1.0,304.03912353515625,31,0,2,R_A5,2018-01-01,0.0,2
1689.47802734375,STANDARD,20,304.26593017578125,1.0,304.26593017578125,31,0,3,R_A5,2018-01-01,0.0,3
1691.8712158203125,STANDARD,20,304.4927062988281,1.0,304.4927062988281,31,0,4,R_A5,2018-01-01,0.0,4
1694.264404296875,STANDARD,20,304.7195129394531,1.0,304.7195129394531,31,0,5,R_A5,2018-01-01,0.0,5
1696.6575927734375,STANDARD,20,304.9462890625,1.0,304.9462890625,31,0,6,R_A5,2018-01-01,0.0,6
1699.05078125,STANDARD,20,305.4788818359375,1.0,305.4788818359375,31,0,7,R_A5,2018-01-01,0.0,7
1708.4658203125,STANDARD,20,306.06549072265625,1.0,306.06549072265625,31,0,11,R_A5,2018-01-01,0.0,8
1710.5435791015625,STANDARD,20,306.26239013671875,1.0,306.26239013671875,31,0,12,R_A5,2018-01-01,0.0,9
1712.6212158203125,STANDARD,20,306.47125244140625,1.0,306.47125244140625,31,0,13,R_A5,2018-01-01,0.0,10
1706.7178955078125,STANDARD,21,305.91180419921875,1.0,305.91180419921875,31,0,13,R_A5,2018-01-01,0.0,11
1708.5577392578125,STANDARD,21,306.0861511230469,1.0,306.0861511230469,31,0,14,R_A5,2018-01-01,0.0,12
1710.3975830078125,STANDARD,21,306.2605285644531,1.0,306.2605285644531,31,0,15,R_A5,2018-01-01,0.0,13
1712.2374267578125,STANDARD,21,306.57989501953125,1.0,306.57989501953125,31,0,16,R_A5,2018-01-01,0.0,14
1714.0772705078125,STANDARD,21,306.7542724609375,1.0,306.7542724609375,31,0,17,R_A5,2018-01-01,0.0,15
1715.51220703125,STANDARD,21,306.8902587890625,1.0,306.8902587890625,31,0,18,R_A5,2018-01-01,0.0,16
1717.1708984375,STANDARD,21,306.8903503417969,1.0,306.8903503417969,31,0,27,R_A5,2018-01-01,0.0,17
1719.4581298828125,STANDARD,21,307.1071472167969,1.0,307.1071472167969,31,0,28,R_A5,2018-01-01,0.0,18
1721.745361328125,STANDARD,21,307.62969970703125,1.0,307.62969970703125,31,0,29,R_A5,2018-01-01,0.0,19
1724.03271484375,STANDARD,21,307.84649658203125,1.0,307.84649658203125,31,0,30,R_A5,2018-01-01,0.0,20
1726.3199462890625,STANDARD,21,308.0632629394531,1.0,308.0632629394531,31,0,31,R_A5,2018-01-01,0.0,21
1693.9366455078125,STANDARD,42,304.9942321777344,1.0,304.9942321777344,17,0,1,R_A6,2018-01-01,0.0,1
1695.46240234375,STANDARD,42,305.1388244628906,1.0,305.1388244628906,17,0,2,R_A6,2018-01-01,0.0,2
1696.98828125,STANDARD,42,305.2834167480469,1.0,305.2834167480469,17,0,3,R_A6,2018-01-01,0.0,3
1698.5140380859375,STANDARD,42,305.4280090332031,1.0,305.4280090332031,17,0,4,R_A6,2018-01-01,0.0,4
1700.039794921875,STANDARD,42,305.5726013183594,1.0,305.5726013183594,17,0,5,R_A6,2018-01-01,0.0,5
1701.5655517578125,STANDARD,42,305.7171936035156,1.0,305.7171936035156,17,0,6,R_A6,2018-01-01,0.0,6
1703.09130859375,STANDARD,42,305.562744140625,1.0,305.562744140625,17,0,7,R_A6,2018-01-01,0.0,7
1704.6171875,STANDARD,42,306.00640869140625,1.0,306.00640869140625,17,0,8,R_A6,2018-01-01,0.0,8
1706.1429443359375,STANDARD,42,306.1510009765625,1.0,306.1510009765625,17,0,9,R_A6,2018-01-01,0.0,9
1707.668701171875,STANDARD,42,305.98980712890625,1.0,305.98980712890625,17,0,10,R_A6,2018-01-01,0.0,10
1709.5816650390625,STANDARD,42,306.1712341308594,1.0,306.1712341308594,17,0,11,R_A6,2018-01-01,0.0,11
1711.8817138671875,STANDARD,42,306.38922119140625,1.0,306.38922119140625,17,0,12,R_A6,2018-01-01,0.0,12
1714.1817626953125,STANDARD,42,306.619140625,1.0,306.619140625,17,0,13,R_A6,2018-01-01,0.0,13
1716.4818115234375,STANDARD,42,306.8371276855469,1.0,306.8371276855469,17,0,14,R_A6,2018-01-01,0.0,14
1718.7818603515625,STANDARD,42,307.05511474609375,1.0,307.05511474609375,17,0,15,R_A6,2018-01-01,0.0,15
1721.0819091796875,STANDARD,42,307.4181213378906,1.0,307.4181213378906,17,0,16,R_A6,2018-01-01,0.0,16
1723.3819580078125,STANDARD,42,307.6361083984375,1.0,307.6361083984375,17,0,17,R_A6,2018-01-01,0.0,17
1724.8524169921875,STANDARD,42,307.7754821777344,1.0,307.7754821777344,17,0,18,R_A6,2018-01-01,0.0,18
1726.02294921875,STANDARD,42,307.7293395996094,1.0,307.7293395996094,17,0,27,R_A6,2018-01-01,0.0,19
