CONKPOS,PRESSURE,CONJPOS,CONIPOS,CONIDX,DRAWDOWN,WELLMODEL,WELL,DEPTH,CONBPRES,DATE,SGAS,SWAT
29,289.2122802734375,21,31,19,0,STANDARD,R_A5,1722.2587890625,289.2122802734375,2018-04-28,-5.085520964354795e-17,1.0
30,287.3349304199219,21,31,20,0,STANDARD,R_A5,1724.3533935546875,287.3349304199219,2018-04-28,-1.3989113686885268e-13,1.0
31,300.4591979980469,21,31,21,0,STANDARD,R_A5,1726.4481201171875,300.4591979980469,2018-04-28,-7.05046071620593e-18,1.0
1,280.30206298828125,41,28,1,0,STANDARD,R_A3,1608.7125244140625,280.30206298828125,2018-07-03,0.0,0.6493260860443115
2,280.4291687011719,41,28,2,0,STANDARD,R_A3,1610.695556640625,280.4291687011719,2018-07-03,0.0,0.19492100179195404
3,280.5613708496094,41,28,3,0,STANDARD,R_A3,1612.678466796875,280.5613708496094,2018-07-03,0.0,0.1186867207288742
4,280.6938171386719,41,28,4,0,STANDARD,R_A3,1614.661376953125,280.6938171386719,2018-07-03,0.0,0.17478343844413757
5,280.827880859375,41,28,5,0,STANDARD,R_A3,1616.6444091796875,280.827880859375,2018-07-03,0.0,0.6511054635047913
6,280.9919738769531,41,28,6,0,STANDARD,R_A3,1618.6273193359375,280.9919738769531,2018-07-03,0.0,0.3351724147796631
7,281.1307373046875,41,28,7,0,STANDARD,R_A3,1620.6102294921875,281.1307373046875,2018-07-03,0.0,0.20147466659545898
7,280.6679992675781,41,29,8,0,STANDARD,R_A3,1613.73046875,280.6679992675781,2018-07-03,0.0,0.19575928151607513
8,280.7947692871094,41,29,9,0,STANDARD,R_A3,1615.62841796875,280.7947692871094,2018-07-03,0.0,0.1988748162984848
9,281.0110168457031,41,29,10,0,STANDARD,R_A3,1617.5262451171875,281.0110168457031,2018-07-03,0.0,0.7921364903450012
10,281.8184509277344,41,29,11,0,STANDARD,R_A3,1619.424072265625,281.8184509277344,2018-07-03,0.0,0.7914128303527832
11,284.0033874511719,41,29,12,0,STANDARD,R_A3,1621.556884765625,284.0033874511719,2018-07-03,0.0,0.04529837518930435
12,284.1614990234375,41,29,13,0,STANDARD,R_A3,1623.924560546875,284.1614990234375,2018-07-03,0.0,0.055850327014923096
13,284.3216552734375,41,29,14,0,STANDARD,R_A3,1626.292236328125,284.3216552734375,2018-07-03,0.0,0.3694095015525818
14,284.58221435546875,41,29,15,0,STANDARD,R_A3,1628.659912109375,284.58221435546875,2018-07-03,0.0,0.35265296697616577
15,284.5612487792969,41,29,16,0,STANDARD,R_A3,1630.86328125,284.5612487792969,2018-07-03,0.0,0.7917351722717285
16,284.6300048828125,41,29,17,0,STANDARD,R_A3,1632.2012939453125,284.6300048828125,2018-07-03,0.0,0.7767800092697144
27,284.0596923828125,41,29,18,0,STANDARD,R_A3,1634.2259521484375,284.0596923828125,2018-07-03,0.0,0.6514610648155212
28,284.2864074707031,41,29,19,0,STANDARD,R_A3,1637.637939453125,284.2864074707031,2018-07-03,0.0,0.04366384819149971
29,284.5142517089844,41,29,20,0,STANDARD,R_A3,1641.0498046875,284.5142517089844,2018-07-03,0.0,0.04981429874897003
30,287.5875549316406,41,29,21,0,STANDARD,R_A3,1644.4617919921875,287.5875549316406,2018-07-03,-3.7962069043828706e-09,0.9999999403953552
31,285.07977294921875,41,29,22,0,STANDARD,R_A3,1647.873779296875,285.07977294921875,2018-07-03,0.0,0.06107855588197708
1,278.3767395019531,52,30,1,0,STANDARD,R_A4,1633.4073486328125,278.3767395019531,2018-09-12,0.0,0.1319221407175064
1,278.2869567871094,52,31,2,0,STANDARD,R_A4,1629.5838623046875,278.2869567871094,2018-09-12,0.0,0.22059443593025208
2,278.42352294921875,52,31,3,0,STANDARD,R_A4,1631.636474609375,278.42352294921875,2018-09-12,0.0,0.07032334804534912
3,278.56024169921875,52,31,4,0,STANDARD,R_A4,1633.6890869140625,278.56024169921875,2018-09-12,0.0,0.05387214943766594
3,278.5975646972656,52,32,5,0,STANDARD,R_A4,1632.225830078125,278.5975646972656,2018-09-12,0.0,0.05387263000011444
3,278.55523681640625,51,32,6,0,STANDARD,R_A4,1634.1563720703125,278.55523681640625,2018-09-12,0.0,0.055363383144140244
4,278.68231201171875,51,32,7,0,STANDARD,R_A4,1636.0625,278.68231201171875,2018-09-12,0.0,0.05490770563483238
4,278.9228210449219,51,33,8,0,STANDARD,R_A4,1637.4674072265625,278.9228210449219,2018-09-12,0.0,0.056306783109903336
3,278.79547119140625,51,33,9,0,STANDARD,R_A4,1635.5567626953125,278.79547119140625,2018-09-12,0.0,0.07657290250062943
4,278.9005126953125,50,33,10,0,STANDARD,R_A4,1639.587158203125,278.9005126953125,2018-09-12,0.0,0.058796606957912445
4,279.0653991699219,50,34,11,0,STANDARD,R_A4,1640.1741943359375,279.0653991699219,2018-09-12,0.0,0.06008603051304817
3,278.93743896484375,50,34,12,0,STANDARD,R_A4,1638.2392578125,278.93743896484375,2018-09-12,0.0,0.12801705300807953
3,279.3038635253906,50,35,13,0,STANDARD,R_A4,1642.0111083984375,279.3038635253906,2018-09-12,0.0,0.14283102750778198
3,279.25543212890625,49,35,14,0,STANDARD,R_A4,1643.05810546875,279.25543212890625,2018-09-12,0.0,0.23358990252017975
2,279.1300964355469,49,35,15,0,STANDARD,R_A4,1641.205078125,279.1300964355469,2018-09-12,0.0,0.22373010218143463
1,278.68756103515625,49,35,16,0,STANDARD,R_A4,1639.3519287109375,278.68756103515625,2018-09-12,0.0,0.22212179005146027
29,277.8001403808594,49,36,17,0,STANDARD,R_A4,1641.1993408203125,277.8001403808594,2018-09-12,0.0,0.04968036338686943
29,277.451416015625,48,36,18,0,STANDARD,R_A4,1638.5205078125,277.451416015625,2018-09-12,0.0,0.050813402980566025
29,278.1039733886719,48,37,19,0,STANDARD,R_A4,1644.560791015625,278.1039733886719,2018-09-12,0.0,0.0712466761469841
30,278.53253173828125,48,37,20,0,STANDARD,R_A4,1650.352783203125,278.53253173828125,2018-09-12,0.0,0.6821385622024536
30,279.5732727050781,48,38,21,0,STANDARD,R_A4,1654.41064453125,279.5732727050781,2018-09-12,0.0,0.21221882104873657
30,279.17108154296875,47,38,22,0,STANDARD,R_A4,1654.5078125,279.17108154296875,2018-09-12,0.0,0.2213270515203476
1,275.5729064941406,42,17,1,0,STANDARD,R_A6,1694.7337646484375,275.5729064941406,2018-11-07,1.0388130649739355e-13,1.0
2,275.71722412109375,42,17,2,0,STANDARD,R_A6,1696.2685546875,275.71722412109375,2018-11-07,5.687114055510575e-14,1.0
3,275.85943603515625,42,17,3,0,STANDARD,R_A6,1697.8035888671875,275.85943603515625,2018-11-07,3.917093361368966e-14,1.0
4,275.9986572265625,42,17,4,0,STANDARD,R_A6,1699.3385009765625,275.9986572265625,2018-11-07,3.389764529726329e-14,1.0
5,276.13629150390625,42,17,5,0,STANDARD,R_A6,1700.873291015625,276.13629150390625,2018-11-07,5.238934354151632e-14,1.0
6,275.9786682128906,42,17,6,0,STANDARD,R_A6,1702.408203125,275.9786682128906,2018-11-07,2.5021885605158722e-12,1.0
7,276.1239318847656,42,17,7,0,STANDARD,R_A6,1703.943115234375,276.1239318847656,2018-11-07,4.4173002929082106e-12,1.0
8,276.2709655761719,42,17,8,0,STANDARD,R_A6,1705.47802734375,276.2709655761719,2018-11-07,2.951116781502172e-12,1.0
9,276.7221984863281,42,17,9,0,STANDARD,R_A6,1707.012939453125,276.7221984863281,2018-11-07,1.62913790530822e-13,1.0
10,276.5768737792969,42,17,10,0,STANDARD,R_A6,1708.5478515625,276.5768737792969,2018-11-07,2.7864179713565917e-11,1.0
11,276.9612731933594,42,17,11,0,STANDARD,R_A6,1710.5023193359375,276.9612731933594,2018-11-07,1.255347713800814e-12,1.0
