CONIDX,DEPTH,DATE,CONKPOS,CONIPOS,CONJPOS,PRESSURE,WELLMODEL,WELL,SWAT,SGAS,DRAWDOWN,CONBPRES
3,1689.5992431640625,2018-01-01,3,31,20,304.27740478515625,STANDARD,R_A5,1.0,0.0,0,304.27740478515625
4,1691.7796630859375,2018-01-01,4,31,20,304.4840393066406,STANDARD,R_A5,1.0,0.0,0,304.4840393066406
5,1693.9600830078125,2018-01-01,5,31,20,304.690673828125,STANDARD,R_A5,1.0,0.0,0,304.690673828125
6,1696.1405029296875,2018-01-01,6,31,20,304.89727783203125,STANDARD,R_A5,1.0,0.0,0,304.89727783203125
7,1698.3209228515625,2018-01-01,7,31,20,305.4096984863281,STANDARD,R_A5,1.0,0.0,0,305.4096984863281
8,1702.6817626953125,2018-01-01,9,31,20,305.52392578125,STANDARD,R_A5,1.0,0.0,0,305.52392578125
9,1704.8621826171875,2018-01-01,10,31,20,305.7305603027344,STANDARD,R_A5,1.0,0.0,0,305.7305603027344
10,1706.939208984375,2018-01-01,11,31,20,305.9208068847656,STANDARD,R_A5,1.0,0.0,0,305.9208068847656
11,1701.2138671875,2018-01-01,11,31,21,305.3782043457031,STANDARD,R_A5,1.0,0.0,0,305.3782043457031
12,1703.18408203125,2018-01-01,12,31,21,305.5649108886719,STANDARD,R_A5,1.0,0.0,0,305.5649108886719
13,1705.154296875,2018-01-01,13,31,21,305.76361083984375,STANDARD,R_A5,1.0,0.0,0,305.76361083984375
14,1707.12451171875,2018-01-01,14,31,21,305.9503173828125,STANDARD,R_A5,1.0,0.0,0,305.9503173828125
15,1709.0947265625,2018-01-01,15,31,21,306.1370544433594,STANDARD,R_A5,1.0,0.0,0,306.1370544433594
16,1711.06494140625,2018-01-01,16,31,21,306.4687805175781,STANDARD,R_A5,1.0,0.0,0,306.4687805175781
17,1713.0205078125,2018-01-01,17,31,21,306.65411376953125,STANDARD,R_A5,1.0,0.0,0,306.65411376953125
18,1714.373779296875,2018-01-01,18,31,21,306.7823486328125,STANDARD,R_A5,1.0,0.0,0,306.7823486328125
19,1715.0042724609375,2018-01-01,19,31,21,306.8421325683594,STANDARD,R_A5,1.0,0.0,0,306.8421325683594
20,1716.4306640625,2018-01-01,26,31,21,306.8202209472656,STANDARD,R_A5,1.0,0.0,0,306.8202209472656
21,1718.6522216796875,2018-01-01,27,31,21,307.03076171875,STANDARD,R_A5,1.0,0.0,0,307.03076171875
22,1720.873779296875,2018-01-01,28,31,21,307.5470886230469,STANDARD,R_A5,1.0,0.0,0,307.5470886230469
23,1723.095458984375,2018-01-01,29,31,21,307.7576599121094,STANDARD,R_A5,1.0,0.0,0,307.7576599121094
24,1725.31689453125,2018-01-01,30,31,21,307.96820068359375,STANDARD,R_A5,1.0,0.0,0,307.96820068359375
