SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
0.0,24,R_A4,STANDARD,301.5919189453125,47,0.12863320112228394,38,1655.5604248046875,301.5919189453125,29,0,2018-01-01
0.0,1,R_A5,STANDARD,303.8094482421875,20,1.0,31,1684.6610107421875,303.8094482421875,1,0,2018-01-01
0.0,2,R_A5,STANDARD,304.003173828125,20,1.0,31,1686.705322265625,304.003173828125,2,0,2018-01-01
0.0,3,R_A5,STANDARD,304.1968994140625,20,1.0,31,1688.74951171875,304.1968994140625,3,0,2018-01-01
0.0,4,R_A5,STANDARD,304.390625,20,1.0,31,1690.7938232421875,304.390625,4,0,2018-01-01
0.0,5,R_A5,STANDARD,304.5843505859375,20,1.0,31,1692.838134765625,304.5843505859375,5,0,2018-01-01
0.0,6,R_A5,STANDARD,304.778076171875,20,1.0,31,1694.8824462890625,304.778076171875,6,0,2018-01-01
0.0,7,R_A5,STANDARD,305.277587890625,20,1.0,31,1696.9266357421875,305.277587890625,7,0,2018-01-01
0.0,8,R_A5,STANDARD,305.0255126953125,21,1.0,31,1697.4222412109375,305.0255126953125,8,0,2018-01-01
0.0,9,R_A5,STANDARD,305.2253112792969,21,1.0,31,1699.53076171875,305.2253112792969,9,0,2018-01-01
0.0,10,R_A5,STANDARD,305.60986328125,21,1.0,31,1703.658203125,305.60986328125,11,0,2018-01-01
0.0,11,R_A5,STANDARD,305.7926940917969,21,1.0,31,1705.58740234375,305.7926940917969,12,0,2018-01-01
0.0,12,R_A5,STANDARD,305.98748779296875,21,1.0,31,1707.5166015625,305.98748779296875,13,0,2018-01-01
0.0,13,R_A5,STANDARD,306.1703186035156,21,1.0,31,1709.44580078125,306.1703186035156,14,0,2018-01-01
0.0,14,R_A5,STANDARD,306.4981689453125,21,1.0,31,1711.3751220703125,306.4981689453125,15,0,2018-01-01
0.0,15,R_A5,STANDARD,306.6809997558594,21,1.0,31,1713.3043212890625,306.6809997558594,16,0,2018-01-01
0.0,16,R_A5,STANDARD,306.8506774902344,21,1.0,31,1715.094482421875,306.8506774902344,17,0,2018-01-01
0.0,17,R_A5,STANDARD,306.945068359375,21,1.0,31,1716.090576171875,306.945068359375,18,0,2018-01-01
0.0,18,R_A5,STANDARD,306.9000549316406,21,1.0,31,1717.273193359375,306.9000549316406,27,0,2018-01-01
0.0,19,R_A5,STANDARD,307.09185791015625,21,1.0,31,1719.296875,307.09185791015625,28,0,2018-01-01
0.0,20,R_A5,STANDARD,307.5894470214844,21,1.0,31,1721.3206787109375,307.5894470214844,29,0,2018-01-01
0.0,21,R_A5,STANDARD,307.78125,21,1.0,31,1723.3443603515625,307.78125,30,0,2018-01-01
0.0,22,R_A5,STANDARD,307.9730529785156,21,1.0,31,1725.3681640625,307.9730529785156,31,0,2018-01-01
0.0,1,R_A6,STANDARD,305.11737060546875,42,1.0,17,1695.2359619140625,305.11737060546875,1,0,2018-01-01
0.0,2,R_A6,STANDARD,305.26446533203125,42,1.0,17,1696.7882080078125,305.26446533203125,2,0,2018-01-01
0.0,3,R_A6,STANDARD,305.4115905761719,42,1.0,17,1698.340576171875,305.4115905761719,3,0,2018-01-01
0.0,4,R_A6,STANDARD,305.5586853027344,42,1.0,17,1699.8929443359375,305.5586853027344,4,0,2018-01-01
0.0,5,R_A6,STANDARD,305.705810546875,42,1.0,17,1701.4453125,305.705810546875,5,0,2018-01-01
0.0,6,R_A6,STANDARD,305.5538635253906,42,1.0,17,1702.99755859375,305.5538635253906,6,0,2018-01-01
0.0,7,R_A6,STANDARD,305.70098876953125,42,1.0,17,1704.5499267578125,305.70098876953125,7,0,2018-01-01
0.0,8,R_A6,STANDARD,305.84808349609375,42,1.0,17,1706.1021728515625,305.84808349609375,8,0,2018-01-01
0.0,9,R_A6,STANDARD,306.29425048828125,42,1.0,17,1707.654541015625,306.29425048828125,9,0,2018-01-01
0.0,10,R_A6,STANDARD,306.4413757324219,42,1.0,17,1709.2069091796875,306.4413757324219,10,0,2018-01-01
0.0,11,R_A6,STANDARD,306.3176574707031,42,1.0,17,1711.1265869140625,306.3176574707031,11,0,2018-01-01
0.0,12,R_A6,STANDARD,306.5343933105469,42,1.0,17,1713.41357421875,306.5343933105469,12,0,2018-01-01
