CONJPOS,SWAT,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONIDX,CONKPOS,CONBPRES,DATE,SGAS,PRESSURE,CONIPOS
52,0.05371037498116493,0,STANDARD,1630.855712890625,R_A4,4,3,299.9256896972656,2018-01-01,0.0,299.9256896972656,31
52,0.05594010278582573,0,STANDARD,1632.9208984375,R_A4,5,4,300.06414794921875,2018-01-01,0.0,300.06414794921875,31
52,0.05836334824562073,0,STANDARD,1634.986083984375,R_A4,6,5,300.2026062011719,2018-01-01,0.0,300.2026062011719,31
52,0.05530177056789398,0,STANDARD,1630.2183837890625,R_A4,7,5,299.8829650878906,2018-01-01,0.0,299.8829650878906,32
52,0.05446724593639374,0,STANDARD,1632.06787109375,R_A4,8,6,300.0069580078125,2018-01-01,0.0,300.0069580078125,32
51,0.06220231205224991,0,STANDARD,1638.7529296875,R_A4,9,6,300.4551696777344,2018-01-01,0.0,300.4551696777344,32
51,0.06059003248810768,0,STANDARD,1637.0028076171875,R_A4,10,5,300.33782958984375,2018-01-01,0.0,300.33782958984375,32
51,0.058114297688007355,0,STANDARD,1636.666015625,R_A4,11,6,300.31524658203125,2018-01-01,0.0,300.31524658203125,33
51,0.0599115714430809,0,STANDARD,1634.8690185546875,R_A4,12,5,300.19476318359375,2018-01-01,0.0,300.19476318359375,33
50,0.06604211032390594,0,STANDARD,1643.859375,R_A4,13,5,300.79754638671875,2018-01-01,0.0,300.79754638671875,33
50,0.06719914078712463,0,STANDARD,1641.9300537109375,R_A4,14,5,300.6681823730469,2018-01-01,0.0,300.6681823730469,34
50,0.06735359132289886,0,STANDARD,1640.130615234375,R_A4,15,4,300.54754638671875,2018-01-01,0.0,300.54754638671875,34
50,0.06335602700710297,0,STANDARD,1638.331298828125,R_A4,16,3,300.4268798828125,2018-01-01,0.0,300.4268798828125,34
50,0.06015564501285553,0,STANDARD,1638.355712890625,R_A4,17,3,300.42852783203125,2018-01-01,0.0,300.42852783203125,35
50,0.20951269567012787,0,STANDARD,1636.60986328125,R_A4,18,2,300.31146240234375,2018-01-01,0.0,300.31146240234375,35
49,0.16840027272701263,0,STANDARD,1644.3271484375,R_A4,19,2,300.82891845703125,2018-01-01,0.0,300.82891845703125,35
49,0.6481541991233826,0,STANDARD,1642.5582275390625,R_A4,20,30,300.7102966308594,2018-01-01,0.0,300.7102966308594,36
48,0.6649436950683594,0,STANDARD,1639.812744140625,R_A4,21,30,300.5262145996094,2018-01-01,0.0,300.5262145996094,36
48,0.6481541991233826,0,STANDARD,1646.7291259765625,R_A4,22,30,300.989990234375,2018-01-01,0.0,300.989990234375,37
48,0.14953407645225525,0,STANDARD,1653.2471923828125,R_A4,23,30,301.4270935058594,2018-01-01,0.0,301.4270935058594,38
47,0.1909807026386261,0,STANDARD,1654.08447265625,R_A4,24,30,301.4832458496094,2018-01-01,0.0,301.4832458496094,38
20,1.0,0,STANDARD,1682.7081298828125,R_A5,1,1,303.6243896484375,2018-01-01,0.0,303.6243896484375,31
20,1.0,0,STANDARD,1684.7900390625,R_A5,2,2,303.8216857910156,2018-01-01,0.0,303.8216857910156,31
20,1.0,0,STANDARD,1686.8719482421875,R_A5,3,3,304.0189514160156,2018-01-01,0.0,304.0189514160156,31
20,1.0,0,STANDARD,1688.953857421875,R_A5,4,4,304.21624755859375,2018-01-01,0.0,304.21624755859375,31
20,1.0,0,STANDARD,1691.0357666015625,R_A5,5,5,304.4135437011719,2018-01-01,0.0,304.4135437011719,31
20,1.0,0,STANDARD,1693.11767578125,R_A5,6,6,304.61083984375,2018-01-01,0.0,304.61083984375,31
20,1.0,0,STANDARD,1695.1995849609375,R_A5,7,7,305.1139221191406,2018-01-01,0.0,305.1139221191406,31
21,1.0,0,STANDARD,1703.3004150390625,R_A5,8,11,305.5759582519531,2018-01-01,0.0,305.5759582519531,31
21,1.0,0,STANDARD,1705.318603515625,R_A5,9,12,305.7672119140625,2018-01-01,0.0,305.7672119140625,31
21,1.0,0,STANDARD,1707.336669921875,R_A5,10,13,305.9704284667969,2018-01-01,0.0,305.9704284667969,31
21,1.0,0,STANDARD,1709.3548583984375,R_A5,11,14,306.16168212890625,2018-01-01,0.0,306.16168212890625,31
21,1.0,0,STANDARD,1711.3729248046875,R_A5,12,15,306.35296630859375,2018-01-01,0.0,306.35296630859375,31
21,1.0,0,STANDARD,1713.39111328125,R_A5,13,16,306.6892395019531,2018-01-01,0.0,306.6892395019531,31
21,1.0,0,STANDARD,1715.4091796875,R_A5,14,17,306.8804931640625,2018-01-01,0.0,306.8804931640625,31
21,1.0,0,STANDARD,1716.8636474609375,R_A5,15,18,307.0183410644531,2018-01-01,0.0,307.0183410644531,31
21,1.0,0,STANDARD,1717.4287109375,R_A5,16,19,307.0718994140625,2018-01-01,0.0,307.0718994140625,31
21,1.0,0,STANDARD,1718.65966796875,R_A5,17,27,307.0314636230469,2018-01-01,0.0,307.0314636230469,31
21,1.0,0,STANDARD,1720.8819580078125,R_A5,18,28,307.2420654296875,2018-01-01,0.0,307.2420654296875,31
21,1.0,0,STANDARD,1723.1041259765625,R_A5,19,29,307.75848388671875,2018-01-01,0.0,307.75848388671875,31
21,1.0,0,STANDARD,1725.326416015625,R_A5,20,30,307.9690856933594,2018-01-01,0.0,307.9690856933594,31
21,1.0,0,STANDARD,1727.548583984375,R_A5,21,31,308.1797180175781,2018-01-01,0.0,308.1797180175781,31
42,1.0,0,STANDARD,1694.1590576171875,R_A6,1,1,305.01531982421875,2018-01-01,0.0,305.01531982421875,17
42,1.0,0,STANDARD,1695.694580078125,R_A6,2,2,305.16082763671875,2018-01-01,0.0,305.16082763671875,17
42,1.0,0,STANDARD,1697.2301025390625,R_A6,3,3,305.30633544921875,2018-01-01,0.0,305.30633544921875,17
42,1.0,0,STANDARD,1698.765625,R_A6,4,4,305.45184326171875,2018-01-01,0.0,305.45184326171875,17
42,1.0,0,STANDARD,1700.301025390625,R_A6,5,5,305.5973815917969,2018-01-01,0.0,305.5973815917969,17
42,1.0,0,STANDARD,1701.8365478515625,R_A6,6,6,305.7428894042969,2018-01-01,0.0,305.7428894042969,17
42,1.0,0,STANDARD,1703.3720703125,R_A6,7,7,305.58935546875,2018-01-01,0.0,305.58935546875,17
42,1.0,0,STANDARD,1704.9075927734375,R_A6,8,8,306.033935546875,2018-01-01,0.0,306.033935546875,17
42,1.0,0,STANDARD,1706.4432373046875,R_A6,9,9,306.179443359375,2018-01-01,0.0,306.179443359375,17
42,1.0,0,STANDARD,1707.978759765625,R_A6,10,10,306.0191955566406,2018-01-01,0.0,306.0191955566406,17
42,1.0,0,STANDARD,1709.9381103515625,R_A6,11,11,306.20501708984375,2018-01-01,0.0,306.20501708984375,17
42,1.0,0,STANDARD,1712.321533203125,R_A6,12,12,306.430908203125,2018-01-01,0.0,306.430908203125,17
42,1.0,0,STANDARD,1714.7049560546875,R_A6,13,13,306.6687316894531,2018-01-01,0.0,306.6687316894531,17
42,1.0,0,STANDARD,1717.08837890625,R_A6,14,14,306.8946228027344,2018-01-01,0.0,306.8946228027344,17
42,1.0,0,STANDARD,1719.471923828125,R_A6,15,15,307.1205139160156,2018-01-01,0.0,307.1205139160156,17
42,1.0,0,STANDARD,1721.855224609375,R_A6,16,16,307.4914245605469,2018-01-01,0.0,307.4914245605469,17
42,1.0,0,STANDARD,1724.23193359375,R_A6,17,17,307.7166748046875,2018-01-01,0.0,307.7166748046875,17
42,1.0,0,STANDARD,1725.50439453125,R_A6,18,18,307.8372802734375,2018-01-01,0.0,307.8372802734375,17
42,1.0,0,STANDARD,1726.44775390625,R_A6,19,27,307.76959228515625,2018-01-01,0.0,307.76959228515625,17
42,1.0,0,STANDARD,1728.1590576171875,R_A6,20,28,307.9317932128906,2018-01-01,0.0,307.9317932128906,17
42,1.0,0,STANDARD,1729.870361328125,R_A6,21,29,308.3997802734375,2018-01-01,0.0,308.3997802734375,17
42,1.0,0,STANDARD,1731.581787109375,R_A6,22,30,308.5619812011719,2018-01-01,0.0,308.5619812011719,17
42,1.0,0,STANDARD,1733.2930908203125,R_A6,23,31,308.41839599609375,2018-01-01,0.0,308.41839599609375,17
30,0.0568234957754612,0,STANDARD,1639.41943359375,R_A2,1,1,299.4302673339844,2018-03-01,0.0,299.4302673339844,22
30,0.05900188535451889,0,STANDARD,1641.328369140625,R_A2,2,2,299.5582580566406,2018-03-01,0.0,299.5582580566406,22
30,0.062828429043293,0,STANDARD,1643.2373046875,R_A2,3,3,299.6861877441406,2018-03-01,0.0,299.6861877441406,22
30,0.0692209005355835,0,STANDARD,1645.1463623046875,R_A2,4,4,299.81414794921875,2018-03-01,0.0,299.81414794921875,22
30,0.07266508787870407,0,STANDARD,1647.055419921875,R_A2,5,5,299.9421081542969,2018-03-01,0.0,299.9421081542969,22
30,0.31064146757125854,0,STANDARD,1648.96435546875,R_A2,6,6,300.0791320800781,2018-03-01,0.0,300.0791320800781,22
30,0.9023392796516418,0,STANDARD,1650.8734130859375,R_A2,7,7,300.2079772949219,2018-03-01,0.0,300.2079772949219,22
30,0.8771438598632812,0,STANDARD,1652.782470703125,R_A2,8,8,300.3385925292969,2018-03-01,0.0,300.3385925292969,22
30,0.9138564467430115,0,STANDARD,1654.69140625,R_A2,9,9,300.57977294921875,2018-03-01,0.0,300.57977294921875,22
30,0.9235319495201111,0,STANDARD,1656.6004638671875,R_A2,10,10,300.8067626953125,2018-03-01,0.0,300.8067626953125,22
30,0.08493789285421371,0,STANDARD,1658.63232421875,R_A2,11,11,300.6635437011719,2018-03-01,0.0,300.6635437011719,22
30,0.09235938638448715,0,STANDARD,1660.787109375,R_A2,12,12,300.8135070800781,2018-03-01,0.0,300.8135070800781,22
30,0.4854242503643036,0,STANDARD,1662.94189453125,R_A2,13,13,301.03045654296875,2018-03-01,0.0,301.03045654296875,22
30,0.5427915453910828,0,STANDARD,1665.0966796875,R_A2,14,14,301.17645263671875,2018-03-01,0.0,301.17645263671875,22
30,0.7221879363059998,0,STANDARD,1667.25146484375,R_A2,15,15,301.3216857910156,2018-03-01,0.0,301.3216857910156,22
30,0.9748072028160095,0,STANDARD,1669.40625,R_A2,16,16,301.4664306640625,2018-03-01,0.0,301.4664306640625,22
30,0.9679771065711975,0,STANDARD,1671.56103515625,R_A2,17,17,301.6114501953125,2018-03-01,0.0,301.6114501953125,22
30,0.9893940687179565,0,STANDARD,1673.5869140625,R_A2,18,18,301.7476806640625,2018-03-01,0.0,301.7476806640625,22
30,1.0,0,STANDARD,1675.5753173828125,R_A2,19,27,302.4457092285156,2018-03-01,-2.390911429885241e-15,302.4457092285156,22
30,1.0,0,STANDARD,1677.36083984375,R_A2,20,28,302.4663391113281,2018-03-01,-3.846701060981894e-13,302.4663391113281,22
29,0.838919460773468,0,STANDARD,1674.4620361328125,R_A2,21,28,301.9167175292969,2018-03-01,0.0,301.9167175292969,22
29,1.0,0,STANDARD,1676.4622802734375,R_A2,22,29,302.9364929199219,2018-03-01,1.5206128592621174e-14,302.9364929199219,22
29,1.0,0,STANDARD,1678.4625244140625,R_A2,23,30,303.3490905761719,2018-03-01,3.698620609679211e-15,303.3490905761719,22
29,1.0,0,STANDARD,1680.4627685546875,R_A2,24,31,303.6292724609375,2018-03-01,2.831842477391466e-15,303.6292724609375,22
20,1.0,0,STANDARD,1682.7081298828125,R_A5,1,1,269.3963928222656,2018-04-28,-4.738646974811189e-12,269.3963928222656,31
20,1.0,0,STANDARD,1684.7900390625,R_A5,2,2,269.59344482421875,2018-04-28,-4.610674255584035e-12,269.59344482421875,31
20,1.0,0,STANDARD,1686.8719482421875,R_A5,3,3,269.7904968261719,2018-04-28,-4.30499516243521e-12,269.7904968261719,31
20,1.0,0,STANDARD,1688.953857421875,R_A5,4,4,269.9875793457031,2018-04-28,-4.6126015333658454e-12,269.9875793457031,31
20,1.0,0,STANDARD,1691.0357666015625,R_A5,5,5,270.1846923828125,2018-04-28,-4.083464035659068e-12,270.1846923828125,31
20,1.0,0,STANDARD,1693.11767578125,R_A5,6,6,270.3818664550781,2018-04-28,-3.628087413831693e-12,270.3818664550781,31
20,1.0,0,STANDARD,1695.1995849609375,R_A5,7,7,271.12176513671875,2018-04-28,-2.102782330854966e-13,271.12176513671875,31
21,1.0,0,STANDARD,1703.3004150390625,R_A5,8,11,264.9901123046875,2018-04-28,3.2757614336191305e-15,264.9901123046875,31
21,1.0,0,STANDARD,1705.318603515625,R_A5,9,12,265.17059326171875,2018-04-28,2.5260360548618778e-15,265.17059326171875,31
21,1.0,0,STANDARD,1707.336669921875,R_A5,10,13,265.37261962890625,2018-04-28,1.2866902954358712e-16,265.37261962890625,31
21,1.0,0,STANDARD,1709.3548583984375,R_A5,11,14,265.5616149902344,2018-04-28,1.7680980299365046e-16,265.5616149902344,31
21,1.0,0,STANDARD,1711.3729248046875,R_A5,12,15,265.7384948730469,2018-04-28,3.942765654156867e-17,265.7384948730469,31
21,1.0,0,STANDARD,1713.39111328125,R_A5,13,16,265.98541259765625,2018-04-28,4.3409139873221184e-18,265.98541259765625,31
21,1.0,0,STANDARD,1715.4091796875,R_A5,14,17,266.0528259277344,2018-04-28,8.231546417936708e-18,266.0528259277344,31
21,1.0,0,STANDARD,1716.8636474609375,R_A5,15,18,266.1312255859375,2018-04-28,3.6313137901210534e-18,266.1312255859375,31
21,1.0,0,STANDARD,1717.4287109375,R_A5,16,19,266.16986083984375,2018-04-28,0.0,266.16986083984375,31
21,1.0,0,STANDARD,1718.65966796875,R_A5,17,27,265.6874084472656,2018-04-28,1.162050985434177e-16,265.6874084472656,31
21,1.0,0,STANDARD,1720.8819580078125,R_A5,18,28,265.8843078613281,2018-04-28,7.248077473267299e-17,265.8843078613281,31
21,1.0,0,STANDARD,1723.1041259765625,R_A5,19,29,272.921142578125,2018-04-28,1.4346305706576995e-21,272.921142578125,31
21,1.0,0,STANDARD,1725.326416015625,R_A5,20,30,294.38360595703125,2018-04-28,2.405919757739947e-25,294.38360595703125,31
21,1.0,0,STANDARD,1727.548583984375,R_A5,21,31,303.7508544921875,2018-04-28,2.988907110441922e-27,303.7508544921875,31
41,0.6484670639038086,0,STANDARD,1608.8272705078125,R_A3,1,1,294.5669250488281,2018-07-03,0.0,294.5669250488281,28
41,0.19793634116649628,0,STANDARD,1610.8731689453125,R_A3,2,2,294.7070617675781,2018-07-03,0.0,294.7070617675781,28
41,0.19828499853610992,0,STANDARD,1612.9190673828125,R_A3,3,3,294.84405517578125,2018-07-03,0.0,294.84405517578125,28
41,0.38033735752105713,0,STANDARD,1614.96484375,R_A3,4,4,294.9886779785156,2018-07-03,0.0,294.9886779785156,28
41,0.8342381715774536,0,STANDARD,1617.0107421875,R_A3,5,5,295.1051330566406,2018-07-03,0.0,295.1051330566406,28
41,0.648650586605072,0,STANDARD,1619.0565185546875,R_A3,6,6,295.1841125488281,2018-07-03,0.0,295.1841125488281,28
41,0.6697835922241211,0,STANDARD,1609.557861328125,R_A3,7,6,294.55767822265625,2018-07-03,0.0,294.55767822265625,29
41,0.24177995324134827,0,STANDARD,1611.5655517578125,R_A3,8,7,294.6832275390625,2018-07-03,0.0,294.6832275390625,29
41,0.20057988166809082,0,STANDARD,1613.5732421875,R_A3,9,8,294.8175964355469,2018-07-03,0.0,294.8175964355469,29
41,0.4056839346885681,0,STANDARD,1615.580810546875,R_A3,10,9,294.952392578125,2018-07-03,0.0,294.952392578125,29
41,0.8095304369926453,0,STANDARD,1617.5885009765625,R_A3,11,10,295.2481689453125,2018-07-03,0.0,295.2481689453125,29
41,0.04991732910275459,0,STANDARD,1619.7696533203125,R_A3,12,11,290.8221435546875,2018-07-03,0.0,290.8221435546875,29
41,0.05995237082242966,0,STANDARD,1622.124267578125,R_A3,13,12,290.9796447753906,2018-07-03,0.0,290.9796447753906,29
41,0.3766830265522003,0,STANDARD,1624.47900390625,R_A3,14,13,291.1383972167969,2018-07-03,0.0,291.1383972167969,29
